commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,7075685,6768021,40040
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,7075804,6725477,36818
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,7129911,6720836,40141
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,7066189,7167779,50553
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,7024804,6652402,38706
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,7027135,6557657,36449
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,7013568,6627833,37991
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,7017123,6577467,36422
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,7041011,6684805,39749
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,7030510,6633876,39466
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,7055262,6731594,37979
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,7167717,6721460,40106
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7034789,6588354,38387
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,7017866,6673575,38706
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,7016771,6605131,41800
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,7030703,6662757,39246
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,7054404,6584516,39243
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,7068782,6765867,39193
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,7079830,6726925,39535
5e143a8302dd441188c7cfe35e603414a00bc0ee,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,7035652,6624594,38313
