commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6728287,6080386,32559
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,7128141,7585968,33377
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6769973,6118282,32031
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6299841,6203958,32732
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6975746,6969585,32950
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,7037221,7653168,35688
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,7013684,7194572,32543
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6575031,6291363,31395
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6535974,6517026,31859
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6318221,5923075,31821
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6455076,5934637,32154
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6331288,6768592,33707
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6280179,5982768,31010
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6488946,7401396,49091
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6526998,6044053,30609
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6310252,6272691,32273
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6294234,5955029,31636
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6295812,5968638,30136
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6303415,5935125,32798
6374efcebfa2d90a17996807b027877c19275775,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,7008122,6423045,32723
