commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,7130594,7443307,34687
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,7199208,7875142,36101
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,7150128,8392074,35245
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,7325930,7779245,38863
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,8532546,7540121,37071
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6926934,7373230,34102
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6865808,6926420,34526
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,7201850,7086420,37893
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,7451501,7433776,35493
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,7119962,7270227,57090
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6868015,7295379,35901
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,7097313,7107900,34264
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6982607,7202950,33914
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6902602,7595673,34017
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,7247989,7420004,32603
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6729209,7638030,33087
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,7100979,7708888,32937
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6520614,7479951,36116
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6892499,7104720,33633
678a92512c8939ea02bf352a2c0114c9cce644c7,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,7002867,7028834,33161
