commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6725379,7090454,33549
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6563417,6900327,32838
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6458473,6819973,33183
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6435251,6994864,32155
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6645054,6649085,33097
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6465621,6637164,33577
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6442086,6655201,31985
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6264807,6703451,31709
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6329550,6976323,49157
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6294356,7233693,48397
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6626964,7564958,32845
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6563214,7032317,33291
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7134188,6757929,32452
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6281655,6573086,31517
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,7162750,9442866,35983
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,7075413,7841817,35346
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6994234,7786065,35176
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,7016218,7161915,35990
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6999205,7278525,34235
a1e72761288d58198232e441df521f4b52d08f38,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6840186,6716156,34536
