commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6751264,8619224,57306
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6830290,7510283,32047
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,7623395,6277404,32908
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,7014519,6972164,32096
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6345399,6905771,58208
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,7737093,8030772,33347
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6311967,6700307,32883
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6599015,7495445,40762
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,7421010,6128983,32628
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6307153,6258202,32088
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6323801,5912416,31551
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6338660,5898265,32499
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6240215,5989387,31641
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6444029,6990219,31943
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6640015,7476853,32955
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6921129,7283440,32581
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6826029,6466384,31524
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6296416,5935509,30818
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,7961205,7216488,32339
c1da15b5ebfdee0dfc30d1e1d48932e7a0b58b91,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6286009,5879507,30178
