commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6620273,6461806,31885
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6477601,7062791,34113
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,7383968,7290822,41326
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,7162953,6708799,34797
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,7107321,6769560,36820
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6597579,6468551,30891
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6330855,6283104,30179
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6377644,6241724,30290
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6401912,6173983,31025
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6394365,6205987,31498
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6483676,6227086,29822
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6395756,6233953,29970
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6415170,6331133,31636
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6371648,6328195,30624
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6350648,6446244,30754
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6388625,6532663,50164
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6385141,6217955,30657
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6348750,6175121,30208
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6273343,6221052,30352
5bcde9da75af753dee5cd496a021f320465a74fd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6464301,6498445,30229
