commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6151622,6004801,29317
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6304969,5993202,29490
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6150325,6029894,29867
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6291099,6093711,29620
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6252479,6058459,29245
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6293779,6105440,29539
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6249967,6023014,29754
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6296264,6016240,29632
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6156103,6011759,28655
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6266323,6780542,31197
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6313332,6009584,30795
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6218618,6019005,30632
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6163926,6014370,32005
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6205684,7303204,30755
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,7291963,8050958,43605
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6973303,7165621,39628
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6874662,6883064,31523
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6610379,6760358,31088
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6244308,6024534,30805
a51017e08,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6285912,6121335,30408
