commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6331101,6344029,33696
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6318003,5925520,31537
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6308881,5884837,32305
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6785235,6014042,34557
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6326490,5920423,31918
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6306927,5989952,31760
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6304379,5993657,33531
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6332053,5893017,31098
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6809687,5931874,31714
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6236829,7224087,32864
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,7025295,7861199,32413
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,7728235,7637194,39258
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7118498,7326977,54534
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6763459,7010984,33437
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6552615,6625482,33642
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,7362932,8635820,42582
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6476115,6431256,32061
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6342431,6415339,32771
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,8157827,6664848,33494
a95663e96,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6316091,5888310,31366
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6800441,6838616,35290
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6381668,5950264,31848
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6328204,5870015,30032
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6355683,6311756,34373
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6342143,5908192,31162
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6336922,6125742,35759
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6344939,5895544,35086
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6333066,6199945,32313
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6659600,5964606,31383
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6301847,5907374,31636
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6245780,5855427,29520
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6252055,5906209,30009
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6241565,5871893,29903
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6247083,5860312,30002
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6313512,5917744,29917
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6479887,5852539,30788
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6248292,5943561,29348
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6508618,5850210,29733
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6216524,5851746,30033
a95663e96-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6340067,6132938,30622
