commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6364956,6353025,33804
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6329044,5895759,31618
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6618149,7708003,45936
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6522326,5929429,32858
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,7879502,8303538,32627
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,7814833,9325055,43908
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,9203180,8946448,33059
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,7569590,9349730,40881
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,9289259,8194791,33099
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,7471404,10098886,43215
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,8857539,7568941,34367
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,7068018,9488833,43648
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7909819,9006157,39783
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6895014,9621082,40790
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,9120302,9088566,73523
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,7258847,11943385,37872
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,8297252,7665667,34219
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6890457,7143027,34207
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6424827,6371636,35503
1db33f3a858eecb00c82c99efa1551e66845e9dc,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6421394,8330784,43888
