commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6765305,6822543,33908
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6408368,6044152,33112
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6347979,6180774,34428
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6321434,5960169,33642
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6381484,5922069,33008
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6398847,5949515,32794
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6346567,5873943,32785
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6352289,5877746,33140
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6385677,5967245,32667
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6344148,5894919,33077
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6340147,6001960,33227
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6659491,6801016,35032
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7256070,6938485,67956
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6869886,7952632,34119
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6892860,6895303,33303
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6457577,6541986,32273
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6416954,6122849,34078
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6308895,6196455,33795
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6427084,5911436,33794
c822b89df,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6329355,5841857,30957
