commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,dirty_sync_ns,clean_sync_ns,unmount_ns
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,21773,218,11927
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,20704,220,12057
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,26685,439,15770
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,20229,279,10309
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,19692,239,10469
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,19053,286,10837
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,18634,190,10218
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,18788,224,10276
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,18861,245,10287
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,19330,264,10371
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,18911,194,10002
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,19449,221,10275
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,18638,194,9697
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,18388,214,10188
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,18821,210,30494
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,18613,199,9619
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,18324,201,9507
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,18359,225,9880
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,18818,191,10508
14220cfeb,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,18632,218,10279
