commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,dirty_sync_ns,clean_sync_ns,unmount_ns
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,9109,248,6058
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,8458,231,5664
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,8695,263,6088
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,8160,197,4993
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,7808,171,5064
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,7917,223,5094
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,8102,226,5315
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,7598,168,5071
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,7598,184,5109
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,7470,183,5324
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,8117,206,5380
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,7538,208,5111
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,7903,194,5336
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,7536,230,5343
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,7826,187,5114
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,8032,187,4996
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,7911,183,5076
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,7396,165,5182
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,8792,286,5835
2ffe3de0b,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,8703,189,5976
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,8454,280,5641
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,8843,305,5576
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,8368,263,5620
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,8818,270,5558
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,11476,317,5530
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,8401,270,5557
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,8325,203,5582
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,8345,222,5753
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,8173,241,5422
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,8102,209,5528
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,8049,217,5562
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,8477,226,6078
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,8117,230,5730
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,8018,253,5289
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,8685,262,5614
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,9163,222,5768
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,8246,226,5215
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,7912,226,5301
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,7939,214,5276
2ffe3de0b-repeat,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,7659,211,5140
