commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,8348030,11754297,43413
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,8185299,10792851,47061
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,8575541,11877149,44036
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,8500622,11981547,44812
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,8335113,9538787,41723
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,7873206,9410247,45665
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,8203789,12284534,50651
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,8302141,12150067,46365
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,8087560,11396883,45156
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,8292271,10598332,45560
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,8132511,11169192,44336
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,8082724,10187768,42407
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7975324,10226300,41915
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,7957061,10125432,42234
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,8183734,10350719,42026
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,8533919,10398129,47516
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,8291946,10956382,44142
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,8170697,11226617,44056
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,8013609,10368283,49554
07e8243e9f5d253c2718853743a62e0fc032d1db,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,7818386,10365640,44374
