commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,dirty_sync_ns,clean_sync_ns,unmount_ns
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,7061,3094,10506
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,6954,2991,10521
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,6904,3087,10592
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,6859,2953,11147
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,7351,3013,12900
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,6969,3001,10690
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,6785,2982,10142
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,6691,2921,10349
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,6542,2978,10221
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,6751,2946,10387
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,6791,2999,10202
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,6782,2962,10380
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,6860,3002,10276
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,6733,2896,10171
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,6396,2925,9950
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,6594,2894,10589
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,6673,2907,10018
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,6515,2913,10336
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,6688,2986,10124
6e27704c4,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,6324,2829,10066
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,22862,254,9285
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,22192,239,12010
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,21710,250,9390
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,21704,218,9386
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,20933,209,9110
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,22367,275,9527
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,25550,502,12101
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,24709,247,10009
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,24530,241,10654
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,23433,268,9826
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,22204,266,9590
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,25484,264,9516
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,22480,266,9676
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,21878,228,9313
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,22339,249,9709
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,22072,246,9919
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,22455,266,9577
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,21593,224,9244
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,21581,233,9463
00e64e1fe,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,22411,246,9481
