workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,3acc11385,0,0,6714047,6342889,19401,,,
sequential,baseline,3acc11385,0,1,6393967,6426383,25101,,,
sequential,baseline,3acc11385,0,2,6695514,6376389,18495,,,
sequential,baseline,3acc11385,0,3,6315649,6259652,18791,,,
sequential,baseline,3acc11385,0,4,6315789,6255437,18307,,,
sequential,baseline,3acc11385,0,5,6309866,5993108,17038,,,
sequential,baseline,3acc11385,0,6,6782125,6678823,18094,,,
sequential,baseline,3acc11385,0,7,6519783,6437546,18088,,,
sequential,baseline,3acc11385,0,8,6722379,6025026,18519,,,
sequential,baseline,3acc11385,0,9,6322907,6465088,16984,,,
sequential,baseline,3acc11385,0,10,6355165,6302038,17959,,,
sequential,baseline,3acc11385,0,11,6375472,6064391,18128,,,
sequential,baseline,3acc11385,0,12,6319618,6813086,18245,,,
sequential,baseline,3acc11385,0,13,6728979,8460131,18496,,,
sequential,baseline,3acc11385,0,14,7178784,8677399,18239,,,
sequential,baseline,3acc11385,0,15,6714099,7788147,18612,,,
sequential,baseline,3acc11385,0,16,6380119,8236484,18981,,,
sequential,baseline,3acc11385,0,17,6977282,8413765,20230,,,
sequential,baseline,3acc11385,0,18,7210088,8413666,40937,,,
sequential,baseline,3acc11385,0,19,7167064,8300081,18479,,,
sequential,implementation,9af7a5f36,0,0,6796603,7336630,19248,,,
sequential,implementation,9af7a5f36,0,1,6558796,9443427,26358,,,
sequential,implementation,9af7a5f36,0,2,6955527,7955156,21477,,,
sequential,implementation,9af7a5f36,0,3,7466683,6325452,19448,,,
sequential,implementation,9af7a5f36,0,4,6465791,7044264,19095,,,
sequential,implementation,9af7a5f36,0,5,6322567,5999494,18128,,,
sequential,implementation,9af7a5f36,0,6,6314712,6034264,19152,,,
sequential,implementation,9af7a5f36,0,7,6327285,6743923,18204,,,
sequential,implementation,9af7a5f36,0,8,6977125,6927010,18939,,,
sequential,implementation,9af7a5f36,0,9,6425682,6684614,18123,,,
sequential,implementation,9af7a5f36,0,10,6481652,8568775,36013,,,
sequential,implementation,9af7a5f36,0,11,6836357,7254851,19070,,,
sequential,implementation,9af7a5f36,0,12,6566737,7479641,18993,,,
sequential,implementation,9af7a5f36,0,13,6376105,7206612,19357,,,
sequential,implementation,9af7a5f36,0,14,6506162,7309474,19802,,,
sequential,implementation,9af7a5f36,0,15,7070785,7531150,19121,,,
sequential,implementation,9af7a5f36,0,16,6948405,7840322,25454,,,
sequential,implementation,9af7a5f36,0,17,7063396,6730741,19658,,,
sequential,implementation,9af7a5f36,0,18,6700928,6378324,18141,,,
sequential,implementation,9af7a5f36,0,19,7397238,7144766,18621,,,
sync-cycle,baseline,3acc11385,0,0,,,,10937,263,6816
sync-cycle,baseline,3acc11385,0,1,,,,10127,263,7057
sync-cycle,baseline,3acc11385,0,2,,,,9070,237,5851
sync-cycle,baseline,3acc11385,0,3,,,,8525,200,6346
sync-cycle,baseline,3acc11385,0,4,,,,8592,193,5988
sync-cycle,baseline,3acc11385,0,5,,,,7956,172,5316
sync-cycle,baseline,3acc11385,0,6,,,,10386,207,7007
sync-cycle,baseline,3acc11385,0,7,,,,25974,261,6844
sync-cycle,baseline,3acc11385,0,8,,,,9801,253,6336
sync-cycle,baseline,3acc11385,0,9,,,,8993,223,6093
sync-cycle,baseline,3acc11385,0,10,,,,8500,225,5584
sync-cycle,baseline,3acc11385,0,11,,,,9722,273,7136
sync-cycle,baseline,3acc11385,0,12,,,,9459,197,6547
sync-cycle,baseline,3acc11385,0,13,,,,10607,214,6193
sync-cycle,baseline,3acc11385,0,14,,,,9184,243,6235
sync-cycle,baseline,3acc11385,0,15,,,,9922,297,6383
sync-cycle,baseline,3acc11385,0,16,,,,7985,215,5523
sync-cycle,baseline,3acc11385,0,17,,,,7968,263,5766
sync-cycle,baseline,3acc11385,0,18,,,,8186,168,5873
sync-cycle,baseline,3acc11385,0,19,,,,8750,264,5781
sync-cycle,implementation,9af7a5f36,0,0,,,,9983,197,6576
sync-cycle,implementation,9af7a5f36,0,1,,,,11441,225,6918
sync-cycle,implementation,9af7a5f36,0,2,,,,8825,232,5669
sync-cycle,implementation,9af7a5f36,0,3,,,,9114,310,6300
sync-cycle,implementation,9af7a5f36,0,4,,,,9160,239,6654
sync-cycle,implementation,9af7a5f36,0,5,,,,9384,214,6386
sync-cycle,implementation,9af7a5f36,0,6,,,,9459,199,6096
sync-cycle,implementation,9af7a5f36,0,7,,,,12223,200,7887
sync-cycle,implementation,9af7a5f36,0,8,,,,11310,228,8095
sync-cycle,implementation,9af7a5f36,0,9,,,,11475,213,7513
sync-cycle,implementation,9af7a5f36,0,10,,,,12295,184,7785
sync-cycle,implementation,9af7a5f36,0,11,,,,12054,187,7888
sync-cycle,implementation,9af7a5f36,0,12,,,,13678,313,9128
sync-cycle,implementation,9af7a5f36,0,13,,,,11434,211,7464
sync-cycle,implementation,9af7a5f36,0,14,,,,11856,248,7997
sync-cycle,implementation,9af7a5f36,0,15,,,,12243,334,8968
sync-cycle,implementation,9af7a5f36,0,16,,,,11724,282,8370
sync-cycle,implementation,9af7a5f36,0,17,,,,9653,214,7340
sync-cycle,implementation,9af7a5f36,0,18,,,,10461,271,7221
sync-cycle,implementation,9af7a5f36,0,19,,,,10213,244,6881
sequential,implementation,9af7a5f36,1,0,7078310,7777413,18685,,,
sequential,implementation,9af7a5f36,1,1,7361868,7913556,38462,,,
sequential,implementation,9af7a5f36,1,2,7315008,8417201,17906,,,
sequential,implementation,9af7a5f36,1,3,6999108,7420488,22144,,,
sequential,implementation,9af7a5f36,1,4,6875282,7015951,20927,,,
sequential,implementation,9af7a5f36,1,5,6991468,7583744,18467,,,
sequential,implementation,9af7a5f36,1,6,6963028,7703712,26712,,,
sequential,implementation,9af7a5f36,1,7,7260020,6857779,18505,,,
sequential,implementation,9af7a5f36,1,8,7152628,6324485,20839,,,
sequential,implementation,9af7a5f36,1,9,6526834,6997856,18467,,,
