commit,arch,backend,feature,workload,entries,batch_entries,warmups,runs,run,readdir_ns,calls
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,0,8511148,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,1,8423179,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,2,8426396,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,3,8418599,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,4,8288215,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,5,8160967,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,6,9319454,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,7,10088703,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,8,8675485,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,9,8443023,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,0,231991,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,1,232534,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,2,229736,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,3,230262,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,4,229915,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,5,230818,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,6,233711,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,7,229927,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,8,231388,802
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,1,3,10,9,231279,802
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,0,189715,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,1,183275,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,2,181437,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,3,183292,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,4,182731,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,5,181615,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,6,180322,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,7,179752,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,8,178600,7
7bb3b194d,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,9,181830,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,0,132837,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,1,130176,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,2,129908,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,3,130636,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,4,129197,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,5,130912,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,6,129071,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,7,128578,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,8,130416,7
336b58863,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,800,128,3,10,9,128705,7
