workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,3c961e45e,0,0,7428199,9676499,21940,,,
sequential,baseline,3c961e45e,0,1,6945685,8352854,20573,,,
sequential,baseline,3c961e45e,0,2,6944925,9669132,22746,,,
sequential,baseline,3c961e45e,0,3,6844202,11032469,25872,,,
sequential,baseline,3c961e45e,0,4,7209804,9844691,21612,,,
sequential,baseline,3c961e45e,0,5,7022089,8886960,20817,,,
sequential,baseline,3c961e45e,0,6,6625923,8240211,19587,,,
sequential,baseline,3c961e45e,0,7,6831211,8688629,21982,,,
sequential,baseline,3c961e45e,0,8,7089575,9124013,21340,,,
sequential,baseline,3c961e45e,0,9,6939440,10507103,20044,,,
sequential,baseline,3c961e45e,0,10,6851821,8861592,21520,,,
sequential,baseline,3c961e45e,0,11,6844208,9073074,37671,,,
sequential,baseline,3c961e45e,0,12,7320604,9775672,21470,,,
sequential,baseline,3c961e45e,0,13,7774616,10014613,23609,,,
sequential,baseline,3c961e45e,0,14,7526626,9713773,21614,,,
sequential,baseline,3c961e45e,0,15,6922438,9117495,22019,,,
sequential,baseline,3c961e45e,0,16,6962699,9982434,23722,,,
sequential,baseline,3c961e45e,0,17,7060751,8484065,20799,,,
sequential,baseline,3c961e45e,0,18,7067087,9548680,24423,,,
sequential,baseline,3c961e45e,0,19,6835318,8963755,22079,,,
sync-cycle,baseline,3c961e45e,0,0,,,,12262,241,8107
sync-cycle,baseline,3c961e45e,0,1,,,,12257,211,8310
sync-cycle,baseline,3c961e45e,0,2,,,,13983,286,8420
sync-cycle,baseline,3c961e45e,0,3,,,,13345,309,8256
sync-cycle,baseline,3c961e45e,0,4,,,,13512,215,8424
sync-cycle,baseline,3c961e45e,0,5,,,,12744,222,8161
sync-cycle,baseline,3c961e45e,0,6,,,,11366,289,7476
sync-cycle,baseline,3c961e45e,0,7,,,,11861,287,7962
sync-cycle,baseline,3c961e45e,0,8,,,,12802,308,8590
sync-cycle,baseline,3c961e45e,0,9,,,,13438,270,8298
sync-cycle,baseline,3c961e45e,0,10,,,,12113,208,7541
sync-cycle,baseline,3c961e45e,0,11,,,,13394,228,8133
sync-cycle,baseline,3c961e45e,0,12,,,,11786,198,7824
sync-cycle,baseline,3c961e45e,0,13,,,,13199,254,9020
sync-cycle,baseline,3c961e45e,0,14,,,,12931,233,8155
sync-cycle,baseline,3c961e45e,0,15,,,,12989,273,8625
sync-cycle,baseline,3c961e45e,0,16,,,,13437,243,8526
sync-cycle,baseline,3c961e45e,0,17,,,,13720,275,9328
sync-cycle,baseline,3c961e45e,0,18,,,,12892,319,8907
sync-cycle,baseline,3c961e45e,0,19,,,,13053,285,28252
sequential,implementation,6c61a4c2a8,0,0,7160661,10353192,22981,,,
sequential,implementation,6c61a4c2a8,0,1,7324365,9831769,26408,,,
sequential,implementation,6c61a4c2a8,0,2,7234602,10180236,22980,,,
sequential,implementation,6c61a4c2a8,0,3,7311601,9459543,20934,,,
sequential,implementation,6c61a4c2a8,0,4,6995371,8906089,21585,,,
sequential,implementation,6c61a4c2a8,0,5,6898641,8455438,20859,,,
sequential,implementation,6c61a4c2a8,0,6,6926576,8564367,20764,,,
sequential,implementation,6c61a4c2a8,0,7,7134548,8828207,20434,,,
sequential,implementation,6c61a4c2a8,0,8,7194838,10518935,23387,,,
sequential,implementation,6c61a4c2a8,0,9,6838451,9507542,20893,,,
sequential,implementation,6c61a4c2a8,0,10,6850492,8899781,21590,,,
sequential,implementation,6c61a4c2a8,0,11,7164290,8869458,19586,,,
sequential,implementation,6c61a4c2a8,0,12,7189056,9697459,21911,,,
sequential,implementation,6c61a4c2a8,0,13,7506987,9783246,26764,,,
sequential,implementation,6c61a4c2a8,0,14,7215988,10368176,24410,,,
sequential,implementation,6c61a4c2a8,0,15,7011362,9814954,25322,,,
sequential,implementation,6c61a4c2a8,0,16,6818863,10801317,23823,,,
sequential,implementation,6c61a4c2a8,0,17,7453305,8861794,23583,,,
sequential,implementation,6c61a4c2a8,0,18,6467563,8287725,18829,,,
sequential,implementation,6c61a4c2a8,0,19,6885623,8532750,20064,,,
sync-cycle,implementation,6c61a4c2a8,0,0,,,,12479,247,8217
sync-cycle,implementation,6c61a4c2a8,0,1,,,,14613,237,9494
sync-cycle,implementation,6c61a4c2a8,0,2,,,,13568,317,24774
sync-cycle,implementation,6c61a4c2a8,0,3,,,,13659,307,9093
sync-cycle,implementation,6c61a4c2a8,0,4,,,,13270,226,8666
sync-cycle,implementation,6c61a4c2a8,0,5,,,,19879,317,10338
