workload,variant,commit,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,09460a38d913,0,6431989,5957699,17810,,,
sequential,baseline,09460a38d913,1,6344200,5972965,18137,,,
sequential,baseline,09460a38d913,2,6337872,5918026,17254,,,
sequential,baseline,09460a38d913,3,6345649,5893135,18809,,,
sequential,baseline,09460a38d913,4,6332353,5908302,18066,,,
sequential,baseline,09460a38d913,5,6324851,5909187,20200,,,
sequential,baseline,09460a38d913,6,6339255,5989193,18310,,,
sequential,baseline,09460a38d913,7,6331120,6036827,17768,,,
sequential,baseline,09460a38d913,8,6225808,5935408,17245,,,
sequential,baseline,09460a38d913,9,6452026,5937828,17612,,,
sequential,baseline,09460a38d913,10,6461676,6156490,17977,,,
sequential,baseline,09460a38d913,11,6271617,5864966,17667,,,
sequential,baseline,09460a38d913,12,6238871,6109933,17360,,,
sequential,baseline,09460a38d913,13,6439364,6123831,18477,,,
sequential,baseline,09460a38d913,14,6417690,6020648,18222,,,
sequential,baseline,09460a38d913,15,6300430,5935337,18003,,,
sequential,baseline,09460a38d913,16,6242070,6000878,16237,,,
sequential,baseline,09460a38d913,17,6276197,5862767,17889,,,
sequential,baseline,09460a38d913,18,6361256,6016604,18156,,,
sequential,baseline,09460a38d913,19,6248188,5882224,18945,,,
sequential,implementation,222da1964,0,6330457,5919866,16238,,,
sequential,implementation,222da1964,1,6368489,5872716,17423,,,
sequential,implementation,222da1964,2,6364191,5915912,17505,,,
sequential,implementation,222da1964,3,6382746,6055385,17426,,,
sequential,implementation,222da1964,4,6280386,5942437,16136,,,
sequential,implementation,222da1964,5,6340851,5959584,16282,,,
sequential,implementation,222da1964,6,6271135,5920991,16766,,,
sequential,implementation,222da1964,7,6333900,5910379,17038,,,
sequential,implementation,222da1964,8,6304170,6130531,16316,,,
sequential,implementation,222da1964,9,6328131,6322900,16131,,,
sequential,implementation,222da1964,10,6409410,5890875,17477,,,
sequential,implementation,222da1964,11,6256841,6041582,16609,,,
sequential,implementation,222da1964,12,6332227,5994555,19302,,,
sequential,implementation,222da1964,13,6457446,6011859,16444,,,
sequential,implementation,222da1964,14,6326567,5912638,16630,,,
sequential,implementation,222da1964,15,6346426,5886484,17486,,,
sequential,implementation,222da1964,16,6479821,6004976,18008,,,
sequential,implementation,222da1964,17,6357539,5912066,17361,,,
sequential,implementation,222da1964,18,6398935,5901027,17703,,,
sequential,implementation,222da1964,19,6255208,6309344,17259,,,
sync-cycle,baseline,09460a38d913,0,,,,8033,209,5018
sync-cycle,baseline,09460a38d913,1,,,,7766,219,5202
sync-cycle,baseline,09460a38d913,2,,,,10263,370,7296
sync-cycle,baseline,09460a38d913,3,,,,8471,253,4977
sync-cycle,baseline,09460a38d913,4,,,,7697,229,4848
sync-cycle,baseline,09460a38d913,5,,,,7674,210,4835
sync-cycle,baseline,09460a38d913,6,,,,7951,215,5023
sync-cycle,baseline,09460a38d913,7,,,,7861,207,4913
sync-cycle,baseline,09460a38d913,8,,,,7778,184,4892
sync-cycle,baseline,09460a38d913,9,,,,7342,214,4843
sync-cycle,baseline,09460a38d913,10,,,,7887,223,5436
sync-cycle,baseline,09460a38d913,11,,,,7850,214,5113
sync-cycle,baseline,09460a38d913,12,,,,7513,197,5219
sync-cycle,baseline,09460a38d913,13,,,,7850,238,5046
sync-cycle,baseline,09460a38d913,14,,,,9670,227,4943
sync-cycle,baseline,09460a38d913,15,,,,8440,306,5353
sync-cycle,baseline,09460a38d913,16,,,,7834,184,5051
sync-cycle,baseline,09460a38d913,17,,,,7975,186,4814
sync-cycle,baseline,09460a38d913,18,,,,8648,260,5335
sync-cycle,baseline,09460a38d913,19,,,,7421,185,4961
sync-cycle,implementation,222da1964,0,,,,7443,193,4995
sync-cycle,implementation,222da1964,1,,,,7799,208,5533
sync-cycle,implementation,222da1964,2,,,,8148,182,5335
sync-cycle,implementation,222da1964,3,,,,7627,208,4979
sync-cycle,implementation,222da1964,4,,,,8051,198,5223
sync-cycle,implementation,222da1964,5,,,,8498,216,5069
sync-cycle,implementation,222da1964,6,,,,7546,199,4960
sync-cycle,implementation,222da1964,7,,,,8045,192,5593
sync-cycle,implementation,222da1964,8,,,,8141,224,5482
sync-cycle,implementation,222da1964,9,,,,7972,218,5173
sync-cycle,implementation,222da1964,10,,,,8035,201,5250
sync-cycle,implementation,222da1964,11,,,,8277,201,5093
sync-cycle,implementation,222da1964,12,,,,7834,210,5385
sync-cycle,implementation,222da1964,13,,,,8729,208,5275
sync-cycle,implementation,222da1964,14,,,,7906,207,5060
sync-cycle,implementation,222da1964,15,,,,7942,224,5045
sync-cycle,implementation,222da1964,16,,,,7802,210,4991
sync-cycle,implementation,222da1964,17,,,,8435,214,5002
sync-cycle,implementation,222da1964,18,,,,8062,201,5404
sync-cycle,implementation,222da1964,19,,,,7807,196,5474
