workload,variant,commit,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,d37d299c1,0,6179300,5987096,17055,,,
sequential,baseline,d37d299c1,1,6131553,5898322,17700,,,
sequential,baseline,d37d299c1,2,6173333,5866265,15364,,,
sequential,baseline,d37d299c1,3,6136799,5887063,16495,,,
sequential,baseline,d37d299c1,4,6175027,6781024,17918,,,
sequential,baseline,d37d299c1,5,6138045,5943356,16925,,,
sequential,baseline,d37d299c1,6,6176252,5865909,16568,,,
sequential,baseline,d37d299c1,7,6142134,5899042,15952,,,
sequential,baseline,d37d299c1,8,6174046,5876959,17261,,,
sequential,baseline,d37d299c1,9,6142749,5928599,18094,,,
sequential,baseline,d37d299c1,10,6253402,5871056,18634,,,
sequential,baseline,d37d299c1,11,6136831,5847069,17431,,,
sequential,baseline,d37d299c1,12,6169699,5880308,16913,,,
sequential,baseline,d37d299c1,13,6139695,5989700,17381,,,
sequential,baseline,d37d299c1,14,6170095,5859811,16158,,,
sequential,baseline,d37d299c1,15,6301055,6041422,16236,,,
sequential,baseline,d37d299c1,16,6151051,6164844,18128,,,
sequential,baseline,d37d299c1,17,6189543,6461233,19239,,,
sequential,baseline,d37d299c1,18,6798086,6893109,18207,,,
sequential,baseline,d37d299c1,19,6802604,7808285,17677,,,
sequential,baseline,d37d299c1,20,6871347,7009276,18918,,,
sequential,baseline,d37d299c1,21,6657252,5949628,18826,,,
sequential,baseline,d37d299c1,22,6278450,6097409,17495,,,
sequential,baseline,d37d299c1,23,6253764,5913803,17387,,,
sequential,baseline,d37d299c1,24,6270472,5888318,17220,,,
sequential,baseline,d37d299c1,25,6232183,5928442,19236,,,
sequential,baseline,d37d299c1,26,6271867,5966345,16793,,,
sequential,baseline,d37d299c1,27,6277347,5911227,17650,,,
sequential,baseline,d37d299c1,28,6261443,7112724,16750,,,
sequential,baseline,d37d299c1,29,6263659,5900064,17433,,,
sequential,baseline,d37d299c1,30,6264560,5880245,16996,,,
sequential,baseline,d37d299c1,31,6224719,5898227,16406,,,
sequential,baseline,d37d299c1,32,8017468,5955555,17811,,,
sequential,baseline,d37d299c1,33,6234185,5888258,15648,,,
sequential,baseline,d37d299c1,34,6271356,6900593,19453,,,
sequential,baseline,d37d299c1,35,6783619,6935502,19312,,,
sequential,baseline,d37d299c1,36,6403021,6514346,17937,,,
sequential,baseline,d37d299c1,37,6230821,6998686,25749,,,
sequential,baseline,d37d299c1,38,6278122,6746891,17859,,,
sequential,baseline,d37d299c1,39,6387621,6930056,18938,,,
sequential,baseline,d37d299c1,40,6285151,6375331,17218,,,
sequential,baseline,d37d299c1,41,6295830,6373509,18429,,,
sequential,baseline,d37d299c1,42,6388070,7547108,18127,,,
sequential,baseline,d37d299c1,43,6430172,6393700,19228,,,
sequential,baseline,d37d299c1,44,6610143,7288361,18837,,,
sequential,baseline,d37d299c1,45,6305930,6786939,17831,,,
sequential,baseline,d37d299c1,46,6398483,7058930,18491,,,
sequential,baseline,d37d299c1,47,6592167,6241178,18380,,,
sequential,baseline,d37d299c1,48,7101046,6633431,17600,,,
sequential,baseline,d37d299c1,49,6679946,7551314,17579,,,
sequential,implementation,a3b761580,0,6473289,6044695,18433,,,
sequential,implementation,a3b761580,1,6282418,6111020,17748,,,
sequential,implementation,a3b761580,2,6862395,6096357,19065,,,
sequential,implementation,a3b761580,3,6280229,5950598,17510,,,
sequential,implementation,a3b761580,4,6248739,5993428,17274,,,
sequential,implementation,a3b761580,5,6282739,5953624,16613,,,
sequential,implementation,a3b761580,6,6253451,5954118,16958,,,
sequential,implementation,a3b761580,7,6538953,5953986,18891,,,
sequential,implementation,a3b761580,8,6256603,5938432,17728,,,
sequential,implementation,a3b761580,9,6184505,5900015,16708,,,
sequential,implementation,a3b761580,10,6497960,5949096,18263,,,
sequential,implementation,a3b761580,11,6532161,6407537,17574,,,
sequential,implementation,a3b761580,12,6878427,6160874,19252,,,
sequential,implementation,a3b761580,13,6676193,6371111,35392,,,
sequential,implementation,a3b761580,14,6353088,5966066,17276,,,
sequential,implementation,a3b761580,15,6280384,5977639,16792,,,
sequential,implementation,a3b761580,16,6261490,6188939,17823,,,
sequential,implementation,a3b761580,17,6277479,5934083,16966,,,
sequential,implementation,a3b761580,18,6252093,6481798,17450,,,
sequential,implementation,a3b761580,19,6248833,5940348,18390,,,
sequential,implementation,a3b761580,20,6168603,5986197,17368,,,
sequential,implementation,a3b761580,21,6196439,5915049,18815,,,
sequential,implementation,a3b761580,22,6157782,6065125,18188,,,
sequential,implementation,a3b761580,23,6180265,5899801,16900,,,
sequential,implementation,a3b761580,24,6160978,5921751,17227,,,
sequential,implementation,a3b761580,25,6256878,6012572,17180,,,
sequential,implementation,a3b761580,26,6143925,6304948,18050,,,
sequential,implementation,a3b761580,27,6727950,6891809,18767,,,
sequential,implementation,a3b761580,28,6751580,7782666,18806,,,
sequential,implementation,a3b761580,29,7403943,7450188,18981,,,
sequential,implementation,a3b761580,30,6854716,6340615,18591,,,
sequential,implementation,a3b761580,31,6333385,5963070,17825,,,
sequential,implementation,a3b761580,32,6248030,6032023,17403,,,
sequential,implementation,a3b761580,33,6284363,5951290,17000,,,
sequential,implementation,a3b761580,34,6246590,5969698,17754,,,
sequential,implementation,a3b761580,35,6288460,5930264,17131,,,
sequential,implementation,a3b761580,36,6264327,5915742,18218,,,
sequential,implementation,a3b761580,37,6306464,5975795,17270,,,
sequential,implementation,a3b761580,38,6253196,5928624,17703,,,
sequential,implementation,a3b761580,39,6352438,5947310,18092,,,
sequential,implementation,a3b761580,40,6256119,5920543,17493,,,
sequential,implementation,a3b761580,41,6191323,5920899,17017,,,
sequential,implementation,a3b761580,42,6253452,5934623,18185,,,
sequential,implementation,a3b761580,43,6181968,5902490,17203,,,
sequential,implementation,a3b761580,44,6167108,5899192,18566,,,
sequential,implementation,a3b761580,45,6195879,5908695,16451,,,
sequential,implementation,a3b761580,46,6332008,6034813,17405,,,
sequential,implementation,a3b761580,47,6191226,5913110,17587,,,
sequential,implementation,a3b761580,48,6166534,5945178,16836,,,
sequential,implementation,a3b761580,49,6197955,5925806,18565,,,
sync-cycle,baseline,d37d299c1,0,,,,7902,185,5407
sync-cycle,baseline,d37d299c1,1,,,,8565,206,5733
sync-cycle,baseline,d37d299c1,2,,,,8419,266,5441
sync-cycle,baseline,d37d299c1,3,,,,8327,232,5071
sync-cycle,baseline,d37d299c1,4,,,,7788,169,4951
sync-cycle,baseline,d37d299c1,5,,,,7409,184,4815
sync-cycle,baseline,d37d299c1,6,,,,7269,177,4752
sync-cycle,baseline,d37d299c1,7,,,,7127,193,4916
sync-cycle,baseline,d37d299c1,8,,,,7838,174,5336
sync-cycle,baseline,d37d299c1,9,,,,7712,177,5450
sync-cycle,baseline,d37d299c1,10,,,,7088,168,5007
sync-cycle,baseline,d37d299c1,11,,,,7504,182,4607
sync-cycle,baseline,d37d299c1,12,,,,7089,177,5198
sync-cycle,baseline,d37d299c1,13,,,,7297,194,5007
sync-cycle,baseline,d37d299c1,14,,,,7514,188,5171
sync-cycle,baseline,d37d299c1,15,,,,8054,233,5618
sync-cycle,baseline,d37d299c1,16,,,,7219,194,4917
sync-cycle,baseline,d37d299c1,17,,,,7916,170,7331
sync-cycle,baseline,d37d299c1,18,,,,7446,175,5232
sync-cycle,baseline,d37d299c1,19,,,,7080,194,4913
sync-cycle,baseline,d37d299c1,20,,,,7469,170,5079
sync-cycle,baseline,d37d299c1,21,,,,7079,172,4891
sync-cycle,baseline,d37d299c1,22,,,,7183,165,4915
sync-cycle,baseline,d37d299c1,23,,,,7233,218,5368
sync-cycle,baseline,d37d299c1,24,,,,7111,174,5109
sync-cycle,baseline,d37d299c1,25,,,,7251,154,5307
sync-cycle,baseline,d37d299c1,26,,,,7851,174,5297
sync-cycle,baseline,d37d299c1,27,,,,8375,171,5478
sync-cycle,baseline,d37d299c1,28,,,,7225,190,5122
sync-cycle,baseline,d37d299c1,29,,,,7987,212,5706
sync-cycle,baseline,d37d299c1,30,,,,7632,160,5205
sync-cycle,baseline,d37d299c1,31,,,,7840,190,5286
sync-cycle,baseline,d37d299c1,32,,,,7623,195,5279
sync-cycle,baseline,d37d299c1,33,,,,7810,242,5642
sync-cycle,baseline,d37d299c1,34,,,,7444,208,4744
sync-cycle,baseline,d37d299c1,35,,,,8253,235,5547
sync-cycle,baseline,d37d299c1,36,,,,8323,266,5673
sync-cycle,baseline,d37d299c1,37,,,,10100,254,8824
sync-cycle,baseline,d37d299c1,38,,,,11107,378,9722
sync-cycle,baseline,d37d299c1,39,,,,9536,253,8757
sync-cycle,baseline,d37d299c1,40,,,,10528,238,7436
sync-cycle,baseline,d37d299c1,41,,,,10253,359,6409
