commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
a91e89cd8,0,0,0,27766,585,20755
a91e89cd8,0,0,1,29868,546,20458
a91e89cd8,0,0,2,25247,454,17183
a91e89cd8,0,0,3,24441,480,15708
a91e89cd8,0,0,4,22837,541,14792
a91e89cd8,0,0,5,25453,611,16814
a91e89cd8,0,0,6,21381,566,14497
a91e89cd8,0,0,7,22550,680,16172
a91e89cd8,0,0,8,21547,486,16057
a91e89cd8,0,0,9,26963,717,19653
a91e89cd8,0,0,10,23618,763,18584
a91e89cd8,0,0,11,23827,547,16725
a91e89cd8,0,0,12,22221,608,15319
a91e89cd8,0,0,13,22106,780,16771
a91e89cd8,0,0,14,21298,605,14955
a91e89cd8,0,0,15,23204,570,16126
a91e89cd8,0,0,16,25839,449,18913
a91e89cd8,0,0,17,24034,486,17488
a91e89cd8,0,0,18,24040,682,15272
a91e89cd8,0,0,19,22256,599,15927
897d40a01,0,1,0,23333,383,16647
897d40a01,0,1,1,21675,463,14754
897d40a01,0,1,2,22881,415,16216
897d40a01,0,1,3,21279,468,15703
897d40a01,0,1,4,27461,402,24872
897d40a01,0,1,5,21501,409,15427
897d40a01,0,1,6,22843,457,21509
897d40a01,0,1,7,21719,518,16585
897d40a01,0,1,8,26029,389,18150
897d40a01,0,1,9,21449,494,16238
897d40a01,0,1,10,26210,575,18895
897d40a01,0,1,11,21596,537,15038
897d40a01,0,1,12,23798,666,15856
897d40a01,0,1,13,27915,419,18625
897d40a01,0,1,14,25261,435,18949
897d40a01,0,1,15,18293,368,11819
897d40a01,0,1,16,20075,660,13766
897d40a01,0,1,17,16806,291,10192
897d40a01,0,1,18,16989,319,11696
897d40a01,0,1,19,17342,255,11313
897d40a01,1,0,0,18037,382,11972
897d40a01,1,0,1,624327,1112,17613
897d40a01,1,0,2,21565,363,14111
897d40a01,1,0,3,24237,563,16158
897d40a01,1,0,4,26341,434,20175
897d40a01,1,0,5,18086,508,12447
897d40a01,1,0,6,15724,257,9535
897d40a01,1,0,7,15437,269,9956
897d40a01,1,0,8,23376,404,23739
897d40a01,1,0,9,21753,397,15220
897d40a01,1,0,10,18799,566,14227
897d40a01,1,0,11,21260,553,14706
897d40a01,1,0,12,19667,428,15466
897d40a01,1,0,13,22796,546,15437
897d40a01,1,0,14,20163,525,14602
897d40a01,1,0,15,21186,530,16491
897d40a01,1,0,16,20332,859,16169
897d40a01,1,0,17,20669,467,15613
897d40a01,1,0,18,20689,513,14817
897d40a01,1,0,19,21312,513,15710
a91e89cd8,1,1,0,20390,435,15466
a91e89cd8,1,1,1,20257,447,13907
a91e89cd8,1,1,2,19726,551,13846
a91e89cd8,1,1,3,22624,862,15049
a91e89cd8,1,1,4,19925,906,13797
a91e89cd8,1,1,5,21439,571,14776
a91e89cd8,1,1,6,19856,465,13880
a91e89cd8,1,1,7,19436,580,13790
a91e89cd8,1,1,8,20941,582,15538
a91e89cd8,1,1,9,21483,741,14999
a91e89cd8,1,1,10,18218,567,13169
a91e89cd8,1,1,11,18322,849,13807
a91e89cd8,1,1,12,19431,487,13905
a91e89cd8,1,1,13,19396,553,13599
a91e89cd8,1,1,14,19869,558,13527
a91e89cd8,1,1,15,19632,514,13171
a91e89cd8,1,1,16,18898,437,14090
a91e89cd8,1,1,17,19839,576,14184
a91e89cd8,1,1,18,19767,545,13908
a91e89cd8,1,1,19,18977,506,13039
a91e89cd8,2,0,0,21742,563,16513
a91e89cd8,2,0,1,20481,612,15262
a91e89cd8,2,0,2,20967,585,15884
a91e89cd8,2,0,3,20242,683,14729
a91e89cd8,2,0,4,21464,612,16440
a91e89cd8,2,0,5,21480,698,15096
a91e89cd8,2,0,6,20476,619,15169
a91e89cd8,2,0,7,21908,907,16145
a91e89cd8,2,0,8,21620,883,14687
a91e89cd8,2,0,9,21877,755,14818
a91e89cd8,2,0,10,21184,647,14839
a91e89cd8,2,0,11,21087,651,14766
a91e89cd8,2,0,12,20196,636,15421
a91e89cd8,2,0,13,20186,582,15617
a91e89cd8,2,0,14,21463,580,15100
a91e89cd8,2,0,15,19385,618,15508
a91e89cd8,2,0,16,21424,595,14691
a91e89cd8,2,0,17,20886,542,15404
a91e89cd8,2,0,18,21111,663,16188
a91e89cd8,2,0,19,21498,571,14409
897d40a01,2,1,0,22200,801,14926
897d40a01,2,1,1,21792,657,15847
897d40a01,2,1,2,21612,658,15166
897d40a01,2,1,3,22754,622,15794
897d40a01,2,1,4,22448,560,16866
897d40a01,2,1,5,22121,562,14259
897d40a01,2,1,6,27771,648,15106
897d40a01,2,1,7,21596,648,15600
897d40a01,2,1,8,21367,562,15243
897d40a01,2,1,9,22110,497,15004
897d40a01,2,1,10,21375,454,13934
897d40a01,2,1,11,20730,534,14143
897d40a01,2,1,12,20722,617,15850
897d40a01,2,1,13,22141,443,14830
897d40a01,2,1,14,21618,464,14624
897d40a01,2,1,15,20555,458,14233
897d40a01,2,1,16,20177,623,14123
897d40a01,2,1,17,20961,515,15214
897d40a01,2,1,18,20914,545,15108
897d40a01,2,1,19,23211,434,14986
897d40a01,3,0,0,21990,576,14621
897d40a01,3,0,1,21558,514,13570
897d40a01,3,0,2,21354,744,15015
897d40a01,3,0,3,19507,444,17602
897d40a01,3,0,4,21335,605,14926
897d40a01,3,0,5,19781,576,13421
897d40a01,3,0,6,20387,565,15548
897d40a01,3,0,7,20811,640,15136
897d40a01,3,0,8,19890,647,15352
897d40a01,3,0,9,20066,516,14371
897d40a01,3,0,10,20613,647,15025
897d40a01,3,0,11,21737,684,15279
897d40a01,3,0,12,20133,615,14877
897d40a01,3,0,13,21013,611,14302
897d40a01,3,0,14,21066,548,14619
897d40a01,3,0,15,21608,581,14355
897d40a01,3,0,16,21012,642,14835
897d40a01,3,0,17,20482,672,15500
897d40a01,3,0,18,20905,591,13958
897d40a01,3,0,19,19867,594,14406
a91e89cd8,3,1,0,23273,653,16490
a91e89cd8,3,1,1,16101,374,11768
a91e89cd8,3,1,2,22855,650,15984
a91e89cd8,3,1,3,21091,694,14346
a91e89cd8,3,1,4,21052,711,14973
a91e89cd8,3,1,5,22104,675,14058
a91e89cd8,3,1,6,20235,511,14504
a91e89cd8,3,1,7,20646,681,14106
a91e89cd8,3,1,8,22588,656,15666
