workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,c3a619d97,expanded,0,6298053,6184173,17045,,,
sequential,baseline,c3a619d97,expanded,1,6268147,6301365,18668,,,
sequential,baseline,c3a619d97,expanded,2,6226551,5892468,18612,,,
sequential,baseline,c3a619d97,expanded,3,6227055,6474431,18113,,,
sequential,baseline,c3a619d97,expanded,4,6211323,6308199,17857,,,
sequential,baseline,c3a619d97,expanded,5,6234228,6289607,18040,,,
sequential,baseline,c3a619d97,expanded,6,6208768,6188393,16957,,,
sequential,baseline,c3a619d97,expanded,7,6219847,6220013,17628,,,
sequential,baseline,c3a619d97,expanded,8,6215983,6147277,17646,,,
sequential,baseline,c3a619d97,expanded,9,6227446,6102643,16537,,,
sequential,baseline,c3a619d97,expanded,10,6200258,6084343,16844,,,
sequential,baseline,c3a619d97,expanded,11,6396133,5900565,18771,,,
sequential,baseline,c3a619d97,expanded,12,6208160,6004311,16729,,,
sequential,baseline,c3a619d97,expanded,13,6308845,5915780,18253,,,
sequential,baseline,c3a619d97,expanded,14,6548566,5921310,18764,,,
sequential,baseline,c3a619d97,expanded,15,6262493,6004090,17220,,,
sequential,baseline,c3a619d97,expanded,16,6206894,6436031,16958,,,
sequential,baseline,c3a619d97,expanded,17,6350878,6044551,17275,,,
sequential,baseline,c3a619d97,expanded,18,6358080,5957289,18526,,,
sequential,baseline,c3a619d97,expanded,19,6478016,7261491,18234,,,
sequential,baseline,c3a619d97,expanded,20,6897539,7769714,19076,,,
sequential,baseline,c3a619d97,expanded,21,7061149,7201588,26850,,,
sequential,baseline,c3a619d97,expanded,22,7112077,6810414,19088,,,
sequential,baseline,c3a619d97,expanded,23,6610624,5970923,17446,,,
sequential,baseline,c3a619d97,expanded,24,6332027,5940523,18618,,,
sequential,baseline,c3a619d97,expanded,25,6415850,5995496,19045,,,
sequential,baseline,c3a619d97,expanded,26,6301032,5978644,17253,,,
sequential,baseline,c3a619d97,expanded,27,6373744,5946601,19120,,,
sequential,baseline,c3a619d97,expanded,28,6303917,5932496,18031,,,
sequential,baseline,c3a619d97,expanded,29,6329326,5913090,17236,,,
sequential,baseline,c3a619d97,expanded,30,6449541,5911657,18212,,,
sequential,baseline,c3a619d97,expanded,31,6371599,5962554,18111,,,
sequential,baseline,c3a619d97,expanded,32,6239424,5909442,21054,,,
sequential,baseline,c3a619d97,expanded,33,6337166,5886593,18194,,,
sequential,baseline,c3a619d97,expanded,34,6371784,6361774,16614,,,
sequential,baseline,c3a619d97,expanded,35,6528605,6132810,17546,,,
sequential,baseline,c3a619d97,expanded,36,6379462,5878558,18095,,,
sequential,baseline,c3a619d97,expanded,37,6291220,6108374,16932,,,
sequential,baseline,c3a619d97,expanded,38,6399114,5986488,17234,,,
sequential,baseline,c3a619d97,expanded,39,6632277,5914373,17634,,,
sequential,baseline,c3a619d97,expanded,40,6257452,6238427,17409,,,
sequential,baseline,c3a619d97,expanded,41,6233277,6281836,18307,,,
sequential,baseline,c3a619d97,expanded,42,6469340,6123262,17647,,,
sequential,baseline,c3a619d97,expanded,43,6343653,6264896,17800,,,
sequential,baseline,c3a619d97,expanded,44,6311185,6225366,18354,,,
sequential,baseline,c3a619d97,expanded,45,6320674,5960483,17701,,,
sequential,baseline,c3a619d97,expanded,46,6320565,6123501,18257,,,
sequential,baseline,c3a619d97,expanded,47,6333211,6114046,17522,,,
sequential,baseline,c3a619d97,expanded,48,6356132,6160632,18198,,,
sequential,baseline,c3a619d97,expanded,49,6415784,7639510,18478,,,
sequential,baseline,c3a619d97,expanded,50,6941844,8055312,18619,,,
sequential,baseline,c3a619d97,expanded,51,7027505,7821046,18921,,,
sequential,baseline,c3a619d97,expanded,52,7291489,6708082,18857,,,
sequential,baseline,c3a619d97,expanded,53,6484698,5982121,17682,,,
sequential,baseline,c3a619d97,expanded,54,6371209,5931117,17832,,,
sequential,baseline,c3a619d97,expanded,55,6313332,5912412,16117,,,
sequential,baseline,c3a619d97,expanded,56,6311142,6182172,17854,,,
sequential,baseline,c3a619d97,expanded,57,6317845,6078959,18005,,,
sequential,baseline,c3a619d97,expanded,58,6310061,6128890,17871,,,
sequential,baseline,c3a619d97,expanded,59,6324907,6157155,17422,,,
sequential,baseline,c3a619d97,expanded,60,6309340,5954919,17726,,,
sequential,baseline,c3a619d97,expanded,61,6376265,5944732,18292,,,
sequential,baseline,c3a619d97,expanded,62,6302322,5953528,16587,,,
sequential,baseline,c3a619d97,expanded,63,6372154,5923975,17087,,,
sequential,baseline,c3a619d97,expanded,64,6216690,5984050,16625,,,
sequential,baseline,c3a619d97,expanded,65,6228688,6031965,17340,,,
sequential,baseline,c3a619d97,expanded,66,6453487,6084918,17827,,,
sequential,baseline,c3a619d97,expanded,67,6522184,6074970,17505,,,
sequential,baseline,c3a619d97,expanded,68,6293434,6268579,17378,,,
sequential,baseline,c3a619d97,expanded,69,6753177,6125535,17039,,,
sequential,baseline,c3a619d97,expanded,70,6593513,5978210,17436,,,
sequential,baseline,c3a619d97,expanded,71,6382249,6013847,17169,,,
sequential,baseline,c3a619d97,expanded,72,6356728,5901764,18428,,,
sequential,baseline,c3a619d97,expanded,73,6493574,6092946,16305,,,
sequential,baseline,c3a619d97,expanded,74,6393047,5917323,17345,,,
