policy,step,elapsed_ms,setpoint_milli_c,measured_milli_c,actuator_permille,error_milli_c
manual-fixed,0,100,45000,20140,500,24860
manual-fixed,1,200,45000,20279,500,24721
manual-fixed,2,300,45000,20418,500,24582
manual-fixed,3,400,45000,20557,500,24443
manual-fixed,4,500,45000,20694,500,24306
manual-fixed,5,600,45000,20832,500,24168
manual-fixed,6,700,45000,20968,500,24032
manual-fixed,7,800,45000,21104,500,23896
manual-fixed,8,900,45000,21240,500,23760
manual-fixed,9,1000,45000,21375,500,23625
manual-fixed,10,1100,45000,21510,500,23490
manual-fixed,11,1200,45000,21644,500,23356
manual-fixed,12,1300,45000,21777,500,23223
manual-fixed,13,1400,45000,21910,500,23090
manual-fixed,14,1500,45000,22042,500,22958
manual-fixed,15,1600,45000,22174,500,22826
manual-fixed,16,1700,45000,22305,500,22695
manual-fixed,17,1800,45000,22436,500,22564
manual-fixed,18,1900,45000,22566,500,22434
manual-fixed,19,2000,45000,22696,500,22304
manual-fixed,20,2100,45000,22825,500,22175
manual-fixed,21,2200,45000,22954,500,22046
manual-fixed,22,2300,45000,23082,500,21918
manual-fixed,23,2400,45000,23210,500,21790
manual-fixed,24,2500,45000,23337,500,21663
manual-fixed,25,2600,45000,23464,500,21536
manual-fixed,26,2700,45000,23590,500,21410
manual-fixed,27,2800,45000,23715,500,21285
manual-fixed,28,2900,45000,23841,500,21159
manual-fixed,29,3000,45000,23965,500,21035
manual-fixed,30,3100,45000,24089,500,20911
manual-fixed,31,3200,45000,24213,500,20787
manual-fixed,32,3300,45000,24336,500,20664
manual-fixed,33,3400,45000,24459,500,20541
manual-fixed,34,3500,45000,24581,500,20419
manual-fixed,35,3600,45000,24703,500,20297
manual-fixed,36,3700,45000,24824,500,20176
manual-fixed,37,3800,45000,24945,500,20055
manual-fixed,38,3900,45000,25065,500,19935
manual-fixed,39,4000,45000,25185,500,19815
manual-fixed,40,4100,45000,25304,500,19696
manual-fixed,41,4200,45000,25423,500,19577
manual-fixed,42,4300,45000,25541,500,19459
manual-fixed,43,4400,45000,25659,500,19341
manual-fixed,44,4500,45000,25776,500,19224
manual-fixed,45,4600,45000,25893,500,19107
manual-fixed,46,4700,45000,26009,500,18991
manual-fixed,47,4800,45000,26125,500,18875
