sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,1582,19610,149473,147891,18028,129863,45000,20000,20266,951,951,24734
2,150039,150289,159444,9405,250,9155,45000,20266,20543,992,992,24457
3,250101,250313,259480,9379,212,9167,45000,20543,20817,986,986,24183
4,350174,350380,359468,9294,206,9088,45000,20817,21088,979,979,23912
5,450228,450435,459463,9235,207,9028,45000,21088,21356,972,972,23644
6,550281,550484,559455,9174,203,8971,45000,21356,21620,965,965,23380
7,650335,650540,659470,9135,205,8930,45000,21620,21882,958,958,23118
8,750391,750593,759474,9083,202,8881,45000,21882,22141,951,951,22859
9,850444,850650,859460,9016,206,8810,45000,22141,22397,944,944,22603
10,950498,950700,959466,8968,202,8766,45000,22397,22649,937,937,22351
11,1050552,1050754,1059467,8915,202,8713,45000,22649,22899,931,931,22101
12,1150605,1150807,1159461,8856,202,8654,45000,22899,23147,924,924,21853
13,1250659,1250861,1259468,8809,202,8607,45000,23147,23391,917,917,21609
14,1350713,1350914,1359470,8757,201,8556,45000,23391,23632,911,911,21368
15,1450767,1450968,1459463,8696,201,8495,45000,23632,23871,905,905,21129
16,1550820,1551021,1559471,8651,201,8450,45000,23871,24107,898,898,20893
17,1650875,1651078,1659468,8593,203,8390,45000,24107,24340,892,892,20660
18,1750928,1751129,1759461,8533,201,8332,45000,24340,24571,886,886,20429
19,1850982,1851183,1859459,8477,201,8276,45000,24571,24799,879,879,20201
20,1951035,1951237,1959469,8434,202,8232,45000,24799,25024,873,873,19976
21,2051089,2051290,2059470,8381,201,8180,45000,25024,25247,867,867,19753
22,2151143,2151346,2159462,8319,203,8116,45000,25247,25467,861,861,19533
23,2251197,2251398,2259459,8262,201,8061,45000,25467,25685,856,856,19315
24,2351250,2351451,2359477,8227,201,8026,45000,25685,25900,850,850,19100
25,2451305,2451506,2459467,8162,201,7961,45000,25900,26113,844,844,18887
26,2551358,2551560,2559459,8101,202,7899,45000,26113,26323,838,838,18677
27,2651412,2651614,2659453,8041,202,7839,45000,26323,26531,833,833,18469
28,2751465,2751667,2759473,8008,202,7806,45000,26531,26736,827,827,18264
29,2851520,2851721,2859474,7954,201,7753,45000,26736,26940,822,822,18060
30,2951574,2951775,2959462,7888,201,7687,45000,26940,27140,816,816,17860
31,3051628,3051829,3059456,7828,201,7627,45000,27140,27339,811,811,17661
32,3151681,3151883,3159511,7830,202,7628,45000,27339,27535,806,806,17465
33,3251739,3251941,3259503,7764,202,7562,45000,27535,27729,801,801,17271
34,3351792,3351993,3359510,7718,201,7517,45000,27729,27921,795,795,17079
35,3451847,3452048,3459467,7620,201,7419,45000,27921,28110,790,790,16890
36,3551900,3552101,3559460,7560,201,7359,45000,28110,28298,785,785,16702
37,3651955,3652156,3659451,7496,201,7295,45000,28298,28483,780,780,16517
38,3752010,3752210,3759469,7459,200,7259,45000,28483,28666,775,775,16334
39,3852064,3852265,3859461,7397,201,7196,45000,28666,28847,770,770,16153
40,3952117,3952318,3959460,7343,201,7142,45000,28847,29026,766,766,15974
41,4052171,4052382,4059476,7305,211,7094,45000,29026,29203,761,761,15797
42,4152225,4152426,4159466,7241,201,7040,45000,29203,29378,756,756,15622
43,4252279,4252481,4259460,7181,202,6979,45000,29378,29551,752,752,15449
44,4352332,4352534,4359467,7135,202,6933,45000,29551,29722,747,747,15278
45,4452387,4452588,4459468,7081,201,6880,45000,29722,29891,742,742,15109
46,4552440,4552642,4559461,7021,202,6819,45000,29891,30058,738,738,14942
47,4652494,4652694,4659470,6976,200,6776,45000,30058,30223,733,733,14777
48,4752548,4752749,4759468,6920,201,6719,45000,30223,30386,729,729,14614
49,4852601,4852803,4859465,6864,202,6662,45000,30386,30548,725,725,14452
50,4952655,4952857,4959464,6809,202,6607,45000,30548,30707,720,720,14293
51,5052708,5052910,5059468,6760,202,6558,45000,30707,30865,716,716,14135
52,5152763,5152963,5159469,6706,200,6506,45000,30865,31021,712,712,13979
53,5252816,5253019,5259472,6656,203,6453,45000,31021,31175,708,708,13825
54,5352869,5353072,5359461,6592,203,6389,45000,31175,31327,704,704,13673
55,5452923,5453125,5459475,6552,202,6350,45000,31327,31478,700,700,13522
56,5552978,5553179,5559464,6486,201,6285,45000,31478,31627,696,696,13373
57,5653031,5653232,5659460,6429,201,6228,45000,31627,31774,692,692,13226
58,5753085,5753287,5759451,6366,202,6164,45000,31774,31920,688,688,13080
59,5853139,5853341,5859472,6333,202,6131,45000,31920,32063,684,684,12937
60,5953193,5953424,5959465,6272,231,6041,45000,32063,32206,680,680,12794
61,6053247,6053478,6059463,6216,231,5985,45000,32206,32346,676,676,12654
62,6153301,6153528,6159469,6168,227,5941,45000,32346,32485,673,673,12515
63,6253355,6253577,6259478,6123,222,5901,45000,32485,32622,669,669,12378
64,6353409,6353610,6359472,6063,201,5862,45000,32622,32758,665,665,12242
65,6453461,6453665,6459477,6016,204,5812,45000,32758,32893,662,662,12107
66,6553515,6553715,6559465,5950,200,5750,45000,32893,33025,658,658,11975
67,6653568,6653770,6659459,5891,202,5689,45000,33025,33156,655,655,11844
68,6753621,6753821,6759470,5849,200,5649,45000,33156,33286,651,651,11714
69,6853674,6853876,6859470,5796,202,5594,45000,33286,33414,648,648,11586
70,6953727,6953929,6959472,5745,202,5543,45000,33414,33541,644,644,11459
71,7053781,7053983,7059461,5680,202,5478,45000,33541,33666,641,641,11334
72,7153833,7154035,7159465,5632,202,5430,45000,33666,33790,638,638,11210
73,7253886,7254088,7259465,5579,202,5377,45000,33790,33913,634,634,11087
74,7353939,7354140,7359459,5520,201,5319,45000,33913,34034,631,631,10966
75,7453992,7454193,7459467,5475,201,5274,45000,34034,34153,628,628,10847
76,7554045,7554246,7559469,5424,201,5223,45000,34153,34272,625,625,10728
77,7654097,7654298,7659461,5364,201,5163,45000,34272,34389,621,621,10611
78,7754150,7754352,7759457,5307,202,5105,45000,34389,34504,618,618,10496
79,7854203,7854405,7859466,5263,202,5061,45000,34504,34618,615,615,10382
80,7954256,7954457,7959474,5218,201,5017,45000,34618,34731,612,612,10269
81,8054309,8054510,8059461,5152,201,4951,45000,34731,34843,609,609,10157
82,8154361,8154563,8159456,5095,202,4893,45000,34843,34953,606,606,10047
83,8254414,8254615,8259467,5053,201,4852,45000,34953,35062,603,603,9938
84,8354487,8354689,8359467,4980,202,4778,45000,35062,35170,600,600,9830
85,8454540,8454741,8459457,4917,201,4716,45000,35170,35276,597,597,9724
86,8554592,8554793,8559468,4876,201,4675,45000,35276,35382,595,595,9618
87,8654645,8654846,8659474,4829,201,4628,45000,35382,35486,592,592,9514
88,8754698,8754899,8759461,4763,201,4562,45000,35486,35589,589,589,9411
89,8854750,8854952,8859451,4701,202,4499,45000,35589,35691,586,586,9309
90,8954802,8955005,8959471,4669,203,4466,45000,35691,35792,584,584,9208
91,9054855,9055056,9059472,4617,201,4416,45000,35792,35891,581,581,9109
