sequence,input0_bits,input1_bits,input2_bits,input3_bits,output_bits,actuator_permille,wall_ns
1,3f000000,3ea00000,00000000,00000000,3f73851e,951,17172167
2,3efd46b2,3ea00000,3e883127,3f7374bc,3f7dd67b,992,165375
3,3efa708f,3ea00000,3e8dd2f2,3f7df3b6,3f7c896d,986,152834
4,3ef7a249,3ea00000,3e8c49ba,3f7c6a7f,3f7ab29f,979,148458
5,3ef4dbe0,3ea00000,3e8ac083,3f7a9fbe,3f78da5c,972,146417
6,3ef21d54,3ea00000,3e89374c,3f78d4fe,3f770739,965,147292
7,3eef6944,3ea00000,3e872b02,3f770a3d,3f7546b1,958,144667
8,3eecba73,3ea00000,3e8624dd,3f753f7d,3f7371fa,951,144958
9,3eea137f,3ea00000,3e849ba6,3f7374bc,3f71ae2c,944,144958
10,3ee77469,3ea00000,3e83126f,3f71a9fc,3f6fef7c,937,144958
11,3ee4dfce,3ea00000,3e810625,3f6fdf3b,3f6e4366,931,144958
12,3ee25072,3ea00000,3e800000,3f6e5604,3f6c89b0,924,144083
13,3edfc654,3ea00000,3e7df3b6,3f6c8b44,3f6accd5,917,144666
14,3edd46b2,3ea00000,3e79db23,3f6ac083,3f692e62,911,143791
15,3edaceee,3ea00000,3e76c8b4,3f69374c,3f678fcc,905,144084
16,3ed85c68,3ea00000,3e74bc6a,3f67ae14,3f65e8d4,898,145542
17,3ed5f1bf,3ea00000,3e71a9fc,3f65e354,3f644c37,892,144666
18,3ed38ef3,3ea00000,3e6e978d,3f645a1d,3f62bb45,886,144084
19,3ed13166,3ea00000,3e6c8b44,3f62d0e5,3f6121ed,879,144083
20,3ecedbb6,3ea00000,3e6978d5,3f610625,3f5f92f2,873,144083
21,3ecc8de3,3ea00000,3e666666,3f5f7cee,3f5e0fa1,867,144958
22,3eca454e,3ea00000,3e645a1d,3f5df3b6,3f5c83ed,861,144375
23,3ec80496,3ea00000,3e6147ae,3f5c6a7f,3f5b091f,856,166833
24,3ec5c91d,3ea00000,3e5f3b64,3f5b22d1,3f598c7e,850,164792
25,3ec39581,3ea00000,3e5c28f6,3f59999a,3f581a36,844,144083
26,3ec16723,3ea00000,3e5a1cac,3f581062,3f569f8c,838,144667
27,3ebf40a3,3ea00000,3e570a3d,3f56872b,3f5535c9,833,144667
28,3ebd1f60,3ea00000,3e54fdf4,3f553f7d,3f53ca31,827,143791
29,3ebb05fb,3ea00000,3e51eb85,3f53b646,3f5268f4,822,144083
30,3eb8ef35,3ea00000,3e50e560,3f526e98,3f50f861,816,144958
31,3eb6e2eb,3ea00000,3e4ccccd,3f50e560,3f4fab74,811,144084
32,3eb4d940,3ea00000,3e4bc6a8,3f4f9db2,3f4e4366,806,144375
