sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,1300,24281,146822,145522,22981,122541,45000,20000,20266,951,951,24734
2,147378,149424,160934,13556,2046,11510,45000,20266,20543,991,991,24457
3,247436,249389,259975,12539,1953,10586,45000,20543,20817,986,986,24183
4,347487,349339,360003,12516,1852,10664,45000,20817,21087,979,979,23913
5,447556,449372,460006,12450,1816,10634,45000,21087,21355,972,972,23645
6,547607,549351,559993,12386,1744,10642,45000,21355,21620,965,965,23380
7,647658,649375,660005,12347,1717,10630,45000,21620,21882,958,958,23118
8,747709,749428,760004,12295,1719,10576,45000,21882,22141,951,951,22859
9,847760,849479,859984,12224,1719,10505,45000,22141,22396,944,944,22604
10,947810,949526,960002,12192,1716,10476,45000,22396,22649,938,938,22351
11,1047883,1049601,1060009,12126,1718,10408,45000,22649,22899,931,931,22101
12,1147934,1149658,1159997,12063,1724,10339,45000,22899,23147,924,924,21853
13,1247985,1249701,1259994,12009,1716,10293,45000,23147,23391,917,917,21609
14,1348037,1349752,1360013,11976,1715,10261,45000,23391,23632,911,911,21368
15,1448088,1449805,1460004,11916,1717,10199,45000,23632,23871,904,904,21129
16,1548138,1549854,1559990,11852,1716,10136,45000,23871,24107,898,898,20893
17,1648188,1649908,1660003,11815,1720,10095,45000,24107,24340,892,892,20660
18,1748239,1749954,1760000,11761,1715,10046,45000,24340,24571,885,885,20429
19,1848289,1850004,1859996,11707,1715,9992,45000,24571,24798,879,879,20202
20,1948340,1950055,1959991,11651,1715,9936,45000,24798,25024,874,874,19976
21,2048390,2050107,2060004,11614,1717,9897,45000,25024,25247,867,867,19753
22,2148440,2150162,2159998,11558,1722,9836,45000,25247,25467,861,861,19533
23,2248491,2250207,2259990,11499,1716,9783,45000,25467,25684,855,855,19316
24,2348542,2350281,2360003,11461,1739,9722,45000,25684,25900,850,850,19100
25,2448593,2450338,2459997,11404,1745,9659,45000,25900,26112,844,844,18888
26,2548644,2550396,2559999,11355,1752,9603,45000,26112,26322,838,838,18678
27,2648695,2650454,2659985,11290,1759,9531,45000,26322,26530,833,833,18470
28,2748746,2750511,2760004,11258,1765,9493,45000,26530,26736,827,827,18264
29,2848797,2850561,2860005,11208,1764,9444,45000,26736,26939,822,822,18061
30,2948848,2950609,2959992,11144,1761,9383,45000,26939,27140,816,816,17860
31,3048898,3050659,3059994,11096,1761,9335,45000,27140,27338,811,811,17662
32,3148949,3150709,3160037,11088,1760,9328,45000,27338,27535,806,806,17465
33,3249001,3250763,3260039,11038,1762,9276,45000,27535,27728,800,800,17272
34,3349051,3350813,3360028,10977,1762,9215,45000,27728,27920,795,795,17080
35,3449102,3450867,3460004,10902,1765,9137,45000,27920,28110,790,790,16890
36,3549152,3550915,3559995,10843,1763,9080,45000,28110,28297,785,785,16703
37,3649204,3650965,3659991,10787,1761,9026,45000,28297,28482,780,780,16518
38,3749254,3751014,3759998,10744,1760,8984,45000,28482,28665,775,775,16335
39,3849304,3851063,3860003,10699,1759,8940,45000,28665,28847,771,771,16153
40,3949355,3951113,3959991,10636,1758,8878,45000,28847,29025,765,765,15975
41,4049406,4051166,4060004,10598,1760,8838,45000,29025,29202,761,761,15798
42,4149456,4151219,4160009,10553,1763,8790,45000,29202,29377,756,756,15623
43,4249507,4251269,4259997,10490,1762,8728,45000,29377,29550,751,751,15450
44,4349557,4351319,4359992,10435,1762,8673,45000,29550,29721,747,747,15279
45,4449608,4451370,4460001,10393,1762,8631,45000,29721,29890,742,742,15110
46,4549659,4551423,4560002,10343,1764,8579,45000,29890,30057,738,738,14943
47,4649710,4651472,4660007,10297,1762,8535,45000,30057,30222,733,733,14778
48,4749761,4751519,4760001,10240,1758,8482,45000,30222,30385,729,729,14615
49,4849811,4851569,4859999,10188,1758,8430,45000,30385,30547,725,725,14453
50,4949863,4951623,4959994,10131,1760,8371,45000,30547,30706,720,720,14294
51,5049914,5051666,5059992,10078,1752,8326,45000,30706,30864,716,716,14136
52,5149964,5151723,5159999,10035,1759,8276,45000,30864,31020,712,712,13980
53,5250015,5251775,5260001,9986,1760,8226,45000,31020,31174,708,708,13826
54,5350065,5351819,5359993,9928,1754,8174,45000,31174,31326,704,704,13674
55,5450115,5451866,5460001,9886,1751,8135,45000,31326,31477,700,700,13523
56,5550166,5551913,5560004,9838,1747,8091,45000,31477,31626,696,696,13374
57,5650216,5651961,5660006,9790,1745,8045,45000,31626,31773,692,692,13227
58,5750268,5752003,5759998,9730,1735,7995,45000,31773,31919,688,688,13081
59,5850320,5852034,5860017,9697,1714,7983,45000,31919,32062,684,684,12938
60,5950387,5952101,5960005,9618,1714,7904,45000,32062,32205,680,680,12795
61,6050436,6052151,6059997,9561,1715,7846,45000,32205,32345,676,676,12655
62,6150485,6152204,6159998,9513,1719,7794,45000,32345,32484,673,673,12516
63,6250535,6252248,6260023,9488,1713,7775,45000,32484,32622,669,669,12378
64,6350586,6352296,6360011,9425,1710,7715,45000,32622,32757,665,665,12243
65,6450635,6452350,6460000,9365,1715,7650,45000,32757,32892,662,662,12108
66,6550684,6552406,6559998,9314,1722,7592,45000,32892,33024,658,658,11976
67,6650734,6652449,6659996,9262,1715,7547,45000,33024,33156,655,655,11844
68,6750784,6752500,6759992,9208,1716,7492,45000,33156,33285,651,651,11715
69,6850833,6852552,6860004,9171,1719,7452,45000,33285,33413,647,647,11587
70,6950883,6952600,6959998,9115,1717,7398,45000,33413,33540,644,644,11460
71,7050932,7052646,7059993,9061,1714,7347,45000,33540,33665,641,641,11335
72,7150981,7152703,7159995,9014,1722,7292,45000,33665,33789,638,638,11211
73,7251031,7252749,7260004,8973,1718,7255,45000,33789,33912,634,634,11088
74,7351080,7352801,7359997,8917,1721,7196,45000,33912,34033,631,631,10967
75,7451130,7452846,7459992,8862,1716,7146,45000,34033,34152,627,627,10848
76,7551179,7552896,7559999,8820,1717,7103,45000,34152,34270,625,625,10730
77,7651229,7652940,7660001,8772,1711,7061,45000,34270,34387,622,622,10613
78,7751277,7752996,7759986,8709,1719,6990,45000,34387,34503,618,618,10497
79,7851327,7853039,7860002,8675,1712,6963,45000,34503,34617,615,615,10383
80,7951376,7953092,7960012,8636,1716,6920,45000,34617,34730,612,612,10270
81,8051425,8053140,8059997,8572,1715,6857,45000,34730,34842,609,609,10158
82,8151475,8153195,8159991,8516,1720,6796,45000,34842,34952,606,606,10048
83,8251523,8253238,8260004,8481,1715,6766,45000,34952,35061,603,603,9939
84,8351574,8353294,8359995,8421,1720,6701,45000,35061,35169,600,600,9831
85,8451623,8453339,8459994,8371,1716,6655,45000,35169,35275,597,597,9725
86,8551672,8553392,8559996,8324,1720,6604,45000,35275,35381,595,595,9619
87,8651721,8653435,8660002,8281,1714,6567,45000,35381,35485,592,592,9515
88,8751771,8753487,8760010,8239,1716,6523,45000,35485,35588,589,589,9412
89,8851820,8853532,8859995,8175,1712,6463,45000,35588,35690,586,586,9310
90,8951869,8953587,8960011,8142,1718,6424,45000,35690,35790,583,583,9210
91,9051919,9053631,9060004,8085,1712,6373,45000,35790,35890,581,581,9110
92,9151968,9153691,9160014,8046,1723,6323,45000,35890,35988,578,578,9012
93,9252018,9253736,9260000,7982,1718,6264,45000,35988,36085,576,576,8915
94,9352067,9353786,9359994,7927,1719,6208,45000,36085,36181,573,573,8819
95,9452117,9453830,9460007,7890,1713,6177,45000,36181,36276,570,570,8724
96,9552167,9553882,9560012,7845,1715,6130,45000,36276,36370,568,568,8630
97,9652217,9653929,9659998,7781,1712,6069,45000,36370,36463,565,565,8537
98,9752266,9753986,9759999,7733,1720,6013,45000,36463,36555,563,563,8445
99,9852315,9854028,9860002,7687,1713,5974,45000,36555,36646,561,561,8354
100,9952365,9954078,9962763,10398,1713,8685,45000,36646,36735,558,558,8265
101,10052418,10054181,10059951,7533,1763,5770,45000,36735,36824,556,556,8176
102,10152467,10154188,10159998,7531,1721,5810,45000,36824,36912,553,553,8088
103,10252521,10254237,10260001,7480,1716,5764,45000,36912,36998,551,551,8002
104,10352571,10354290,10360012,7441,1719,5722,45000,36998,37084,549,549,7916
105,10452622,10454335,10459999,7377,1713,5664,45000,37084,37168,546,546,7832
106,10552671,10554385,10559993,7322,1714,5608,45000,37168,37252,544,544,7748
107,10652721,10654432,10660003,7282,1711,5571,45000,37252,37335,542,542,7665
108,10752771,10754489,10759999,7228,1718,5510,45000,37335,37417,540,540,7583
109,10852821,10854533,10859992,7171,1712,5459,45000,37417,37498,538,538,7502
110,10952870,10954588,10960001,7131,1718,5413,45000,37498,37578,536,536,7422
111,11052920,11054666,11060002,7082,1746,5336,45000,37578,37657,533,533,7343
112,11152969,11154745,11159997,7028,1776,5252,45000,37657,37735,531,531,7265
113,11253018,11254784,11259992,6974,1766,5208,45000,37735,37812,529,529,7188
114,11353068,11354847,11360013,6945,1779,5166,45000,37812,37888,527,527,7112
115,11453118,11454899,11460000,6882,1781,5101,45000,37888,37964,525,525,7036
116,11553167,11554951,11559994,6827,1784,5043,45000,37964,38038,523,523,6962
117,11653216,11654994,11660000,6784,1778,5006,45000,38038,38112,521,521,6888
118,11753266,11755045,11760009,6743,1779,4964,45000,38112,38185,519,519,6815
119,11853315,11855094,11859998,6683,1779,4904,45000,38185,38257,517,517,6743
120,11953365,11955146,11959992,6627,1781,4846,45000,38257,38328,515,515,6672
121,12053414,12055200,12060019,6605,1786,4819,45000,38328,38398,513,513,6602
122,12153464,12155256,12160010,6546,1792,4754,45000,38398,38468,512,512,6532
123,12253514,12255296,12260002,6488,1782,4706,45000,38468,38537,510,510,6463
124,12353564,12355347,12360017,6453,1783,4670,45000,38537,38605,508,508,6395
125,12453613,12460640,12469947,16334,7027,9307,45000,38605,38672,506,506,6328
126,12553662,12555444,12559952,6290,1782,4508,45000,38672,38739,504,504,6261
127,12653712,12655494,12660004,6292,1782,4510,45000,38739,38804,502,502,6196
128,12753763,12755542,12760011,6248,1779,4469,45000,38804,38870,501,501,6130
129,12853812,12855594,12859996,6184,1782,4402,45000,38870,38934,499,499,6066
130,12953862,12955681,12959993,6131,1819,4312,45000,38934,38997,497,497,6003
131,13053911,13055693,13060013,6102,1782,4320,45000,38997,39060,496,496,5940
132,13153961,13155741,13160000,6039,1780,4259,45000,39060,39122,494,494,5878
133,13254010,13255788,13259993,5983,1778,4205,45000,39122,39183,492,492,5817
134,13354060,13355848,13359991,5931,1788,4143,45000,39183,39244,491,491,5756
135,13454110,13455891,13460003,5893,1781,4112,45000,39244,39304,489,489,5696
136,13554160,13555936,13559994,5834,1776,4058,45000,39304,39363,487,487,5637
137,13654209,13655981,13659993,5784,1772,4012,45000,39363,39422,486,486,5578
138,13754260,13756038,13760009,5749,1778,3971,45000,39422,39480,484,484,5520
139,13854310,13856085,13859998,5688,1775,3913,45000,39480,39537,483,483,5463
140,13954358,13956130,13959995,5637,1772,3865,45000,39537,39594,481,481,5406
141,14054408,14056186,14059998,5590,1778,3812,45000,39594,39649,479,479,5351
142,14154458,14156237,14160003,5545,1779,3766,45000,39649,39705,478,478,5295
143,14254508,14256274,14259994,5486,1766,3720,45000,39705,39759,477,477,5241
144,14354556,14356319,14359993,5437,1763,3674,45000,39759,39813,475,475,5187
145,14454623,14456361,14460003,5380,1738,3642,45000,39813,39867,474,474,5133
146,14554658,14556389,14560003,5345,1731,3614,45000,39867,39919,472,472,5081
147,14654719,14656436,14660013,5294,1717,3577,45000,39919,39972,471,471,5028
148,14754769,14756482,14760003,5234,1713,3521,45000,39972,40023,469,469,4977
149,14854818,14856535,14860000,5182,1717,3465,45000,40023,40074,468,468,4926
150,14954867,14956579,14959997,5130,1712,3418,45000,40074,40124,467,467,4876
151,15054915,15056631,15059992,5077,1716,3361,45000,40124,40174,466,466,4826
152,15154964,15156682,15160021,5057,1718,3339,45000,40174,40224,464,464,4776
153,15255032,15256747,15260016,4984,1715,3269,45000,40224,40272,463,463,4728
154,15355081,15356795,15360027,4946,1714,3232,45000,40272,40321,462,462,4679
155,15455131,15456847,15460006,4875,1716,3159,45000,40321,40368,460,460,4632
156,15555179,15556893,15559996,4817,1714,3103,45000,40368,40415,459,459,4585
157,15655228,15656945,15659988,4760,1717,3043,45000,40415,40462,458,458,4538
158,15755277,15756993,15760005,4728,1716,3012,45000,40462,40508,457,457,4492
159,15855326,15857042,15859998,4672,1716,2956,45000,40508,40553,455,455,4447
160,15955374,15957092,15959995,4621,1718,2903,45000,40553,40598,454,454,4402
161,16055423,16057140,16060005,4582,1717,2865,45000,40598,40643,453,453,4357
162,16155474,16157192,16160167,4693,1718,2975,45000,40643,40687,452,452,4313
163,16255524,16257238,16260249,4725,1714,3011,45000,40687,40730,451,451,4270
164,16355574,16357288,16360316,4742,1714,3028,45000,40730,40773,449,449,4227
165,16455624,16457340,16460391,4767,1716,3051,45000,40773,40815,448,448,4185
166,16555675,16557389,16560464,4789,1714,3075,45000,40815,40857,447,447,4143
167,16655725,16657440,16660531,4806,1715,3091,45000,40857,40899,446,446,4101
168,16755775,16757490,16760600,4825,1715,3110,45000,40899,40940,445,445,4060
169,16855824,16857542,16860677,4853,1718,3135,45000,40940,40980,444,444,4020
170,16955874,16957591,16960761,4887,1717,3170,45000,40980,41020,443,443,3980
171,17055924,17057638,17060827,4903,1714,3189,45000,41020,41060,442,442,3940
172,17155975,17157695,17160903,4928,1720,3208,45000,41060,41099,441,441,3901
173,17256041,17257758,17260956,4915,1717,3198,45000,41099,41138,440,440,3862
