sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5223,5567,21384,16161,344,15817,45000,20000,20266,951,951,24734
2,105609,105626,117229,11620,17,11603,45000,20266,20543,992,992,24457
3,205654,205671,217311,11657,17,11640,45000,20543,20817,986,986,24183
4,305699,305715,317343,11644,16,11628,45000,20817,21088,979,979,23912
5,405763,405794,528017,122254,31,122223,45000,21088,21356,972,972,23644
6,528042,528057,531069,3027,15,3012,45000,21356,21620,965,965,23380
7,628089,628105,637508,9419,16,9403,45000,21620,21882,958,958,23118
8,728136,728152,737544,9408,16,9392,45000,21882,22141,951,951,22859
9,828184,828201,837538,9354,17,9337,45000,22141,22397,944,944,22603
10,928230,928246,1048882,120652,16,120636,45000,22397,22649,937,937,22351
11,1048907,1048922,1057506,8599,15,8584,45000,22649,22899,931,931,22101
12,1148954,1148971,1157541,8587,17,8570,45000,22899,23147,924,924,21853
13,1249003,1249020,1257546,8543,17,8526,45000,23147,23391,917,917,21609
14,1349049,1349065,1357546,8497,16,8481,45000,23391,23632,911,911,21368
15,1449095,1449112,1568877,119782,17,119765,45000,23632,23871,905,905,21129
16,1568903,1568918,1577513,8610,15,8595,45000,23871,24107,898,898,20893
17,1668968,1668984,1677548,8580,16,8564,45000,24107,24340,892,892,20660
18,1769029,1769046,1777540,8511,17,8494,45000,24340,24571,886,886,20429
19,1869075,1869091,1877551,8476,16,8460,45000,24571,24799,879,879,20201
20,1969121,1969138,2088882,119761,17,119744,45000,24799,25024,873,873,19976
21,2088907,2088923,2097507,8600,16,8584,45000,25024,25247,867,867,19753
22,2188955,2188972,2197565,8610,17,8593,45000,25247,25467,861,861,19533
23,2289002,2289018,2297543,8541,16,8525,45000,25467,25685,856,856,19315
24,2389047,2389064,2397543,8496,17,8479,45000,25685,25900,850,850,19100
25,2489093,2489110,2608883,119790,17,119773,45000,25900,26113,844,844,18887
26,2608909,2608924,2617512,8603,15,8588,45000,26113,26323,838,838,18677
27,2708974,2708990,2717547,8573,16,8557,45000,26323,26531,833,833,18469
28,2809036,2809052,2817540,8504,16,8488,45000,26531,26736,827,827,18264
29,2909081,2909097,2917576,8495,16,8479,45000,26736,26940,822,822,18060
30,3009130,3009147,3128906,119776,17,119759,45000,26940,27140,816,816,17860
31,3128931,3128947,3137534,8603,16,8587,45000,27140,27339,811,811,17661
32,3228979,3228995,3237545,8566,16,8550,45000,27339,27535,806,806,17465
33,3329025,3329042,3337541,8516,17,8499,45000,27535,27729,801,801,17271
34,3429072,3429088,3437544,8472,16,8456,45000,27729,27921,795,795,17079
35,3529117,3529134,3648881,119764,17,119747,65000,27921,28169,1000,1000,36831
36,3648906,3648921,3657508,8602,15,8587,65000,28169,28417,1000,1000,36583
37,3748955,3748971,3757542,8587,16,8571,65000,28417,28663,1000,1000,36337
