sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5400,5769,112164,106764,369,106395,45000,20000,20266,951,951,24734
2,112725,112742,122210,9485,17,9468,45000,20266,20543,992,992,24457
3,213129,213146,222285,9156,17,9139,45000,20543,20817,986,986,24183
4,313174,313191,322368,9194,17,9177,45000,20817,21088,979,979,23912
5,413220,413237,422434,9214,17,9197,45000,21088,21356,972,972,23644
6,513267,513283,522480,9213,16,9197,45000,21356,21620,965,965,23380
7,613333,613350,622575,9242,17,9225,45000,21620,21882,958,958,23118
8,713380,713397,722621,9241,17,9224,45000,21882,22141,951,951,22859
9,813456,813473,822717,9261,17,9244,45000,22141,22397,944,944,22603
10,913503,913519,922775,9272,16,9256,45000,22397,22649,937,937,22351
11,1013564,1013581,1022840,9276,17,9259,45000,22649,22899,931,931,22101
12,1113630,1113646,1121950,8320,16,8304,45000,22899,23147,924,924,21853
13,1213675,1213691,1222017,8342,16,8326,45000,23147,23391,917,917,21609
14,1313722,1313739,1321966,8244,17,8227,45000,23391,23632,911,911,21368
15,1413771,1413788,1421970,8199,17,8182,45000,23632,23871,905,905,21129
16,1513818,1513834,1521960,8142,16,8126,45000,23871,24107,898,898,20893
17,1613864,1613880,1621954,8090,16,8074,45000,24107,24340,892,892,20660
18,1713910,1713926,1721965,8055,16,8039,45000,24340,24571,886,886,20429
19,1813956,1813973,1821960,8004,17,7987,45000,24571,24799,879,879,20201
20,1914002,1914019,1921967,7965,17,7948,45000,24799,25024,873,873,19976
21,2014049,2014066,2021966,7917,17,7900,45000,25024,25247,867,867,19753
22,2114096,2114112,2121973,7877,16,7861,45000,25247,25467,861,861,19533
23,2214142,2214159,2221962,7820,17,7803,45000,25467,25685,856,856,19315
24,2314188,2314204,2321967,7779,16,7763,45000,25685,25900,850,850,19100
25,2414234,2414251,2421962,7728,17,7711,45000,25900,26113,844,844,18887
26,2514280,2514297,2521958,7678,17,7661,45000,26113,26323,838,838,18677
27,2614327,2614343,2621955,7628,16,7612,45000,26323,26531,833,833,18469
28,2714374,2714391,2721973,7599,17,7582,45000,26531,26736,827,827,18264
29,2814421,2814438,2821972,7551,17,7534,45000,26736,26940,822,822,18060
30,2914467,2914484,2921961,7494,17,7477,45000,26940,27140,816,816,17860
31,3014513,3014529,3021956,7443,16,7427,45000,27140,27339,811,811,17661
32,3114559,3114576,3122027,7468,17,7451,45000,27339,27535,806,806,17465
33,3214605,3214622,3222006,7401,17,7384,45000,27535,27729,801,801,17271
34,3314651,3314668,3321998,7347,17,7330,45000,27729,27921,795,795,17079
35,3414698,3414715,3421966,7268,17,7251,45000,27921,28110,790,790,16890
36,3514744,3514761,3521959,7215,17,7198,45000,28110,28298,785,785,16702
37,3614790,3614807,3621958,7168,17,7151,45000,28298,28483,780,780,16517
38,3714837,3714853,3721977,7140,16,7124,45000,28483,28666,775,775,16334
39,3814883,3814900,3821964,7081,17,7064,45000,28666,28847,770,770,16153
40,3914929,3914946,3921970,7041,17,7024,45000,28847,29026,766,766,15974
41,4014976,4014993,4021963,6987,17,6970,45000,29026,29203,761,761,15797
42,4115022,4115039,4121972,6950,17,6933,45000,29203,29378,756,756,15622
43,4215069,4215086,4221962,6893,17,6876,45000,29378,29551,752,752,15449
44,4315115,4315131,4321968,6853,16,6837,45000,29551,29722,747,747,15278
45,4415162,4415178,4421965,6803,16,6787,45000,29722,29891,742,742,15109
46,4515207,4515224,4521959,6752,17,6735,45000,29891,30058,738,738,14942
47,4615254,4615271,4621956,6702,17,6685,45000,30058,30223,733,733,14777
48,4715300,4715317,4721974,6674,17,6657,45000,30223,30386,729,729,14614
49,4815348,4815365,4821966,6618,17,6601,45000,30386,30548,725,725,14452
50,4915395,4915411,4921973,6578,16,6562,45000,30548,30707,720,720,14293
51,5015442,5015459,5021959,6517,17,6500,45000,30707,30865,716,716,14135
52,5115488,5115505,5121968,6480,17,6463,45000,30865,31021,712,712,13979
53,5215535,5215552,5221973,6438,17,6421,45000,31021,31175,708,708,13825
54,5315582,5315599,5321958,6376,17,6359,45000,31175,31327,704,704,13673
55,5415628,5415645,5421962,6334,17,6317,45000,31327,31478,700,700,13522
56,5515675,5515692,5521966,6291,17,6274,45000,31478,31627,696,696,13373
57,5615723,5615740,5621973,6250,17,6233,45000,31627,31774,692,692,13226
58,5715769,5715786,5721959,6190,17,6173,45000,31774,31920,688,688,13080
59,5815815,5815832,5821973,6158,17,6141,45000,31920,32063,684,684,12937
60,5915863,5915879,5921967,6104,16,6088,45000,32063,32206,680,680,12794
61,6015910,6015926,6021961,6051,16,6035,45000,32206,32346,676,676,12654
62,6115957,6115974,6121957,6000,17,5983,45000,32346,32485,673,673,12515
63,6216003,6216020,6221989,5986,17,5969,45000,32485,32622,669,669,12378
64,6316069,6316086,6321975,5906,17,5889,45000,32622,32758,665,665,12242
65,6416116,6416133,6421978,5862,17,5845,45000,32758,32893,662,662,12107
66,6516163,6516179,6521966,5803,16,5787,45000,32893,33025,658,658,11975
67,6616210,6616226,6621960,5750,16,5734,45000,33025,33156,655,655,11844
68,6716257,6716273,6721955,5698,16,5682,45000,33156,33286,651,651,11714
69,6816303,6816320,6821976,5673,17,5656,45000,33286,33414,648,648,11586
70,6916352,6916368,6921964,5612,16,5596,45000,33414,33541,644,644,11459
71,7016398,7016415,7021957,5559,17,5542,45000,33541,33666,641,641,11334
72,7116445,7116462,7121963,5518,17,5501,45000,33666,33790,638,638,11210
73,7216505,7216521,7221971,5466,16,5450,45000,33790,33913,634,634,11087
74,7316551,7316568,7321961,5410,17,5393,45000,33913,34034,631,631,10966
75,7416598,7416614,7421958,5360,16,5344,45000,34034,34153,628,628,10847
76,7516645,7516661,7521976,5331,16,5315,45000,34153,34272,625,625,10728
77,7616691,7616708,7621964,5273,17,5256,45000,34272,34389,621,621,10611
78,7716737,7716754,7721969,5232,17,5215,45000,34389,34504,618,618,10496
79,7816784,7816801,7821963,5179,17,5162,45000,34504,34618,615,615,10382
80,7916830,7916846,7921964,5134,16,5118,45000,34618,34731,612,612,10269
81,8016876,8016894,8021958,5082,18,5064,45000,34731,34843,609,609,10157
82,8116923,8116940,8121954,5031,17,5014,45000,34843,34953,606,606,10047
83,8216970,8216986,8221968,4998,16,4982,45000,34953,35062,603,603,9938
84,8317016,8317033,8321972,4956,17,4939,45000,35062,35170,600,600,9830
85,8417063,8417080,8421959,4896,17,4879,45000,35170,35276,597,597,9724
86,8517110,8517126,8521963,4853,16,4837,45000,35276,35382,595,595,9618
87,8617156,8617172,8621972,4816,16,4800,45000,35382,35486,592,592,9514
88,8717202,8717219,8721960,4758,17,4741,45000,35486,35589,589,589,9411
89,8817249,8817266,8821955,4706,17,4689,45000,35589,35691,586,586,9309
90,8917296,8917312,8921983,4687,16,4671,45000,35691,35792,584,584,9208
91,9017360,9017376,9021970,4610,16,4594,45000,35792,35891,581,581,9109
92,9117406,9117423,9121977,4571,17,4554,45000,35891,35989,578,578,9011
93,9217452,9217469,9221963,4511,17,4494,45000,35989,36087,576,576,8913
94,9317498,9317515,9321957,4459,17,4442,45000,36087,36183,573,573,8817
95,9417545,9417562,9421972,4427,17,4410,45000,36183,36278,571,571,8722
96,9517592,9517609,9521969,4377,17,4360,45000,36278,36372,568,568,8628
97,9617638,9617654,9621973,4335,16,4319,45000,36372,36465,565,565,8535
98,9717684,9717701,9721963,4279,17,4262,45000,36465,36556,563,563,8444
99,9817731,9817747,9821956,4225,16,4209,45000,36556,36647,561,561,8353
100,9917777,9917794,9924718,6941,17,6924,45000,36647,36737,558,558,8263
101,10017828,10017845,10021913,4085,17,4068,45000,36737,36826,556,556,8174
102,10117874,10117890,10121961,4087,16,4071,45000,36826,36913,553,553,8087
103,10217921,10217937,10221953,4032,16,4016,45000,36913,37000,551,551,8000
104,10317967,10317983,10321965,3998,16,3982,45000,37000,37085,549,549,7915
105,10418013,10418030,10421960,3947,17,3930,45000,37085,37170,547,547,7830
106,10518060,10518076,10521967,3907,16,3891,45000,37170,37254,544,544,7746
107,10618106,10618122,10621969,3863,16,3847,45000,37254,37337,542,542,7663
108,10718152,10718169,10721970,3818,17,3801,45000,37337,37419,540,540,7581
109,10818199,10818216,10821963,3764,17,3747,45000,37419,37499,538,538,7501
110,10918245,10918262,10921951,3706,17,3689,45000,37499,37580,536,536,7420
111,11018291,11018308,11021965,3674,17,3657,45000,37580,37658,533,533,7342
112,11118338,11118355,11121971,3633,17,3616,45000,37658,37737,531,531,7263
113,11218384,11218401,11221956,3572,17,3555,45000,37737,37814,529,529,7186
114,11318431,11318448,11321968,3537,17,3520,45000,37814,37890,527,527,7110
115,11418477,11418494,11421973,3496,17,3479,45000,37890,37965,525,525,7035
116,11518524,11518541,11521957,3433,17,3416,45000,37965,38040,523,523,6960
