sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5400,5416,132133,126733,16,126717,45000,20000,20140,500,500,24860
2,132660,132675,142291,9631,15,9616,45000,20140,20279,500,500,24721
3,233065,233081,242301,9236,16,9220,45000,20279,20418,500,500,24582
4,333111,333127,342298,9187,16,9171,45000,20418,20557,500,500,24443
5,433158,433174,442296,9138,16,9122,45000,20557,20694,500,500,24306
6,533204,533220,542289,9085,16,9069,45000,20694,20832,500,500,24168
7,633251,633267,642303,9052,16,9036,45000,20832,20968,500,500,24032
8,733298,733315,742298,9000,17,8983,45000,20968,21104,500,500,23896
9,833344,833361,842303,8959,17,8942,45000,21104,21240,500,500,23760
10,933391,933408,942300,8909,17,8892,45000,21240,21375,500,500,23625
11,1033437,1033453,1042309,8872,16,8856,45000,21375,21510,500,500,23490
12,1133484,1133500,1142297,8813,16,8797,45000,21510,21644,500,500,23356
13,1233532,1233548,1242303,8771,16,8755,45000,21644,21777,500,500,23223
14,1333578,1333594,1342300,8722,16,8706,45000,21777,21910,500,500,23090
15,1433624,1433640,1442294,8670,16,8654,45000,21910,22042,500,500,22958
16,1533672,1533688,1542292,8620,16,8604,45000,22042,22174,500,500,22826
17,1633718,1633734,1642310,8592,16,8576,45000,22174,22305,500,500,22695
18,1733765,1733782,1742301,8536,17,8519,45000,22305,22436,500,500,22564
19,1833812,1833828,1842306,8494,16,8478,45000,22436,22566,500,500,22434
20,1933859,1933875,1942293,8434,16,8418,45000,22566,22696,500,500,22304
21,2033905,2033922,2042306,8401,17,8384,45000,22696,22825,500,500,22175
22,2133953,2133969,2142302,8349,16,8333,45000,22825,22954,500,500,22046
23,2234000,2234016,2242293,8293,16,8277,45000,22954,23082,500,500,21918
24,2334047,2334063,2342303,8256,16,8240,45000,23082,23210,500,500,21790
25,2434093,2434109,2442306,8213,16,8197,45000,23210,23337,500,500,21663
26,2534139,2534155,2542294,8155,16,8139,45000,23337,23464,500,500,21536
27,2634186,2634202,2642302,8116,16,8100,45000,23464,23590,500,500,21410
28,2734233,2734249,2742304,8071,16,8055,45000,23590,23715,500,500,21285
29,2834279,2834295,2842298,8019,16,8003,45000,23715,23841,500,500,21159
30,2934326,2934342,2942307,7981,16,7965,45000,23841,23965,500,500,21035
31,3034373,3034389,3042293,7920,16,7904,45000,23965,24089,500,500,20911
32,3134419,3134435,3142342,7923,16,7907,45000,24089,24213,500,500,20787
33,3234468,3234484,3242337,7869,16,7853,45000,24213,24336,500,500,20664
34,3334513,3334529,3342341,7828,16,7812,45000,24336,24459,500,500,20541
35,3434560,3434576,3442300,7740,16,7724,45000,24459,24581,500,500,20419
36,3534607,3534623,3542301,7694,16,7678,45000,24581,24703,500,500,20297
37,3634653,3634669,3642294,7641,16,7625,45000,24703,24824,500,500,20176
38,3734699,3734715,3742300,7601,16,7585,45000,24824,24945,500,500,20055
39,3834746,3834762,3842295,7549,16,7533,45000,24945,25065,500,500,19935
40,3934792,3934808,3942303,7511,16,7495,45000,25065,25185,500,500,19815
41,4034839,4034855,4042298,7459,16,7443,45000,25185,25304,500,500,19696
42,4134886,4134902,4142307,7421,16,7405,45000,25304,25423,500,500,19577
43,4234933,4234950,4242296,7363,17,7346,45000,25423,25541,500,500,19459
44,4334979,4334995,4342289,7310,16,7294,45000,25541,25659,500,500,19341
45,4435026,4435042,4442311,7285,16,7269,45000,25659,25776,500,500,19224
46,4535073,4535090,4542299,7226,17,7209,45000,25776,25893,500,500,19107
47,4635120,4635136,4642292,7172,16,7156,45000,25893,26009,500,500,18991
48,4735165,4735182,4742299,7134,17,7117,45000,26009,26125,500,500,18875
49,4835212,4835229,4842307,7095,17,7078,45000,26125,26241,500,500,18759
50,4935259,4935275,4942295,7036,16,7020,45000,26241,26356,500,500,18644
51,5035306,5035322,5042293,6987,16,6971,45000,26356,26470,500,500,18530
52,5135352,5135368,5142311,6959,16,6943,45000,26470,26585,500,500,18415
53,5235399,5235415,5242299,6900,16,6884,45000,26585,26698,500,500,18302
54,5335445,5335462,5342302,6857,17,6840,45000,26698,26811,500,500,18189
55,5435492,5435509,5442297,6805,17,6788,45000,26811,26924,500,500,18076
56,5535539,5535555,5542298,6759,16,6743,45000,26924,27037,500,500,17963
57,5635586,5635602,5642305,6719,16,6703,45000,27037,27148,500,500,17852
58,5735633,5735649,5742291,6658,16,6642,45000,27148,27260,500,500,17740
59,5835679,5835695,5842307,6628,16,6612,45000,27260,27371,500,500,17629
60,5935727,5935743,5942301,6574,16,6558,45000,27371,27481,500,500,17519
61,6035773,6035790,6042295,6522,17,6505,45000,27481,27591,500,500,17409
62,6135820,6135837,6142294,6474,17,6457,45000,27591,27701,500,500,17299
63,6235868,6235884,6242322,6454,16,6438,45000,27701,27810,500,500,17190
64,6335933,6335949,6342307,6374,16,6358,45000,27810,27919,500,500,17081
65,6435979,6435996,6442303,6324,17,6307,45000,27919,28027,500,500,16973
66,6536026,6536043,6542309,6283,17,6266,45000,28027,28135,500,500,16865
67,6636074,6636090,6642296,6222,16,6206,45000,28135,28243,500,500,16757
68,6736120,6736136,6742289,6169,16,6153,45000,28243,28350,500,500,16650
69,6836167,6836183,6842300,6133,16,6117,45000,28350,28456,500,500,16544
70,6936214,6936230,6942306,6092,16,6076,45000,28456,28562,500,500,16438
71,7036261,7036277,7042292,6031,16,6015,45000,28562,28668,500,500,16332
72,7136307,7136323,7142299,5992,16,5976,45000,28668,28773,500,500,16227
73,7236355,7236371,7242307,5952,16,5936,45000,28773,28878,500,500,16122
74,7336402,7336418,7342295,5893,16,5877,45000,28878,28983,500,500,16017
75,7436449,7436465,7442290,5841,16,5825,45000,28983,29087,500,500,15913
76,7536496,7536512,7542311,5815,16,5799,45000,29087,29191,500,500,15809
77,7636545,7636561,7642299,5754,16,5738,45000,29191,29294,500,500,15706
78,7736591,7736607,7742291,5700,16,5684,45000,29294,29397,500,500,15603
79,7836637,7836654,7842295,5658,17,5641,45000,29397,29499,500,500,15501
80,7936684,7936701,7942300,5616,17,5599,45000,29499,29601,500,500,15399
81,8036731,8036747,8042305,5574,16,5558,45000,29601,29703,500,500,15297
82,8136778,8136794,8142293,5515,16,5499,45000,29703,29804,500,500,15196
83,8236825,8236841,8242302,5477,16,5461,45000,29804,29905,500,500,15095
84,8336872,8336888,8342306,5434,16,5418,45000,29905,30005,500,500,14995
85,8436919,8436935,8442293,5374,16,5358,45000,30005,30105,500,500,14895
86,8536966,8536982,8542298,5332,16,5316,45000,30105,30205,500,500,14795
87,8637013,8637029,8642300,5287,16,5271,45000,30205,30304,500,500,14696
88,8737059,8737075,8742307,5248,16,5232,45000,30304,30403,500,500,14597
89,8837108,8837124,8842294,5186,16,5170,45000,30403,30501,500,500,14499
90,8937154,8937170,8942308,5154,16,5138,45000,30501,30599,500,500,14401
91,9037202,9037218,9042312,5110,16,5094,45000,30599,30697,500,500,14303
92,9137248,9137264,9142298,5050,16,5034,45000,30697,30794,500,500,14206
93,9237295,9237311,9242293,4998,16,4982,45000,30794,30891,500,500,14109
94,9337342,9337358,9342302,4960,16,4944,45000,30891,30987,500,500,14013
95,9437390,9437406,9442307,4917,16,4901,45000,30987,31083,500,500,13917
96,9537436,9537453,9542299,4863,17,4846,45000,31083,31179,500,500,13821
97,9637483,9637499,9642296,4813,16,4797,45000,31179,31274,500,500,13726
98,9737529,9737546,9742305,4776,17,4759,45000,31274,31369,500,500,13631
99,9837577,9837593,9842294,4717,16,4701,45000,31369,31463,500,500,13537
100,9937624,9937640,9945143,7519,16,7503,45000,31463,31558,500,500,13442
101,10037673,10037690,10042248,4575,17,4558,45000,31558,31651,500,500,13349
102,10137720,10137736,10142294,4574,16,4558,45000,31651,31745,500,500,13255
103,10237770,10237786,10242300,4530,16,4514,45000,31745,31838,500,500,13162
104,10337817,10337832,10342308,4491,15,4476,45000,31838,31930,500,500,13070
105,10437863,10437879,10442298,4435,16,4419,45000,31930,32023,500,500,12977
106,10537910,10537926,10542300,4390,16,4374,45000,32023,32115,500,500,12885
107,10637958,10637974,10642298,4340,16,4324,45000,32115,32206,500,500,12794
108,10738004,10738021,10742294,4290,17,4273,45000,32206,32297,500,500,12703
109,10838051,10838067,10842302,4251,16,4235,45000,32297,32388,500,500,12612
110,10938098,10938114,10942297,4199,16,4183,45000,32388,32479,500,500,12521
111,11038145,11038161,11042307,4162,16,4146,45000,32479,32569,500,500,12431
112,11138192,11138208,11142296,4104,16,4088,45000,32569,32658,500,500,12342
113,11238238,11238255,11242291,4053,17,4036,45000,32658,32748,500,500,12252
114,11338287,11338302,11342311,4024,15,4009,45000,32748,32837,500,500,12163
115,11438333,11438348,11442299,3966,15,3951,45000,32837,32925,500,500,12075
116,11538380,11538396,11542292,3912,16,3896,45000,32925,33014,500,500,11986
117,11638426,11638442,11642283,3857,16,3841,45000,33014,33102,500,500,11898
118,11738472,11738489,11742301,3829,17,3812,45000,33102,33189,500,500,11811
119,11838521,11838537,11842294,3773,16,3757,45000,33189,33277,500,500,11723
120,11938582,11938601,11942301,3719,19,3700,45000,33277,33363,500,500,11637
121,12038608,12038624,12042307,3699,16,3683,45000,33363,33450,500,500,11550
122,12138654,12138670,12142302,3648,16,3632,45000,33450,33536,500,500,11464
123,12238700,12238717,12242308,3608,17,3591,45000,33536,33622,500,500,11378
124,12338747,12338763,12342300,3553,16,3537,45000,33622,33708,500,500,11292
125,12438793,12438809,12442303,3510,16,3494,45000,33708,33793,500,500,11207
126,12538840,12538856,12542299,3459,16,3443,45000,33793,33878,500,500,11122
127,12638887,12638903,12642311,3424,16,3408,45000,33878,33962,500,500,11038
128,12738933,12738949,12742300,3367,16,3351,45000,33962,34046,500,500,10954
129,12838980,12838995,12842302,3322,15,3307,45000,34046,34130,500,500,10870
130,12939026,12939042,12942292,3266,16,3250,45000,34130,34213,500,500,10787
131,13039072,13039089,13042313,3241,17,3224,45000,34213,34297,500,500,10703
132,13139119,13139135,13142299,3180,16,3164,45000,34297,34379,500,500,10621
133,13239165,13239181,13242302,3137,16,3121,45000,34379,34462,500,500,10538
134,13339211,13339228,13342298,3087,17,3070,45000,34462,34544,500,500,10456
135,13439258,13439274,13442306,3048,16,3032,45000,34544,34626,500,500,10374
136,13539304,13539320,13542295,2991,16,2975,45000,34626,34707,500,500,10293
137,13639351,13639367,13642288,2937,16,2921,45000,34707,34789,500,500,10211
138,13739397,13739413,13742311,2914,16,2898,45000,34789,34869,500,500,10131
139,13839444,13839460,13842298,2854,16,2838,45000,34869,34950,500,500,10050
140,13939489,13939505,13942446,2957,16,2941,45000,34950,35030,500,500,9970
141,14039535,14039551,14042541,3006,16,2990,45000,35030,35110,500,500,9890
142,14139581,14139598,14142605,3024,17,3007,45000,35110,35190,500,500,9810
143,14239627,14239643,14242671,3044,16,3028,45000,35190,35269,500,500,9731
144,14339672,14339688,14342733,3061,16,3045,45000,35269,35348,500,500,9652
145,14439718,14439734,14442805,3087,16,3071,45000,35348,35426,500,500,9574
146,14539764,14539780,14542872,3108,16,3092,45000,35426,35505,500,500,9495
147,14639809,14639826,14642940,3131,17,3114,45000,35505,35583,500,500,9417
148,14739855,14739871,14743008,3153,16,3137,45000,35583,35660,500,500,9340
149,14839902,14839918,14843072,3170,16,3154,45000,35660,35738,500,500,9262
150,14939967,14939983,14943154,3187,16,3171,45000,35738,35815,500,500,9185
151,15040012,15040029,15043198,3186,17,3169,45000,35815,35891,500,500,9109
152,15140077,15140093,15143254,3177,16,3161,45000,35891,35968,500,500,9032
153,15240125,15240141,15243248,3123,16,3107,45000,35968,36044,500,500,8956
154,15340171,15340187,15343249,3078,16,3062,45000,36044,36120,500,500,8880
155,15440216,15440232,15443238,3022,16,3006,45000,36120,36195,500,500,8805
156,15540273,15540289,15543234,2961,16,2945,45000,36195,36271,500,500,8729
157,15640318,15640334,15643235,2917,16,2901,45000,36271,36345,500,500,8655
158,15740363,15740379,15743245,2882,16,2866,45000,36345,36420,500,500,8580
159,15840408,15840424,15843239,2831,16,2815,45000,36420,36494,500,500,8506
160,15940453,15940469,15942253,1800,16,1784,45000,36494,36568,500,500,8432
161,16040498,16040514,16042359,1861,16,1845,45000,36568,36642,500,500,8358
162,16140544,16140560,16152285,11741,16,11725,45000,36642,36716,500,500,8284
163,16240612,16240628,16252305,11693,16,11677,45000,36716,36789,500,500,8211
164,16340657,16340674,16352310,11653,17,11636,45000,36789,36862,500,500,8138
165,16440704,16440720,16452297,11593,16,11577,45000,36862,36934,500,500,8066
166,16540749,16540766,16552316,11567,17,11550,45000,36934,37006,500,500,7994
167,16640795,16640811,16652320,11525,16,11509,45000,37006,37078,500,500,7922
168,16740842,16740859,16752310,11468,17,11451,45000,37078,37150,500,500,7850
169,16840889,16840905,16852325,11436,16,11420,45000,37150,37221,500,500,7779
170,16940935,16940951,16952297,11362,16,11346,45000,37221,37293,500,500,7707
171,17040983,17040999,17052292,11309,16,11293,45000,37293,37363,500,500,7637
172,17141029,17141045,17152296,11267,16,11251,45000,37363,37434,500,500,7566
173,17241076,17241092,17252299,11223,16,11207,45000,37434,37504,500,500,7496
174,17341121,17341137,17352304,11183,16,11167,45000,37504,37574,500,500,7426
175,17441169,17441185,17452292,11123,16,11107,45000,37574,37644,500,500,7356
176,17541216,17541232,17552310,11094,16,11078,45000,37644,37713,500,500,7287
177,17641264,17641280,17652299,11035,16,11019,45000,37713,37782,500,500,7218
178,17741312,17741328,17752293,10981,16,10965,45000,37782,37851,500,500,7149
179,17841359,17841376,17852307,10948,17,10931,45000,37851,37920,500,500,7080
180,17941408,17941424,17952319,10911,16,10895,45000,37920,37988,500,500,7012
181,18041455,18041471,18052324,10869,16,10853,45000,37988,38056,500,500,6944
182,18141503,18141519,18152306,10803,16,10787,45000,38056,38124,500,500,6876
183,18241551,18241566,18252306,10755,15,10740,45000,38124,38192,500,500,6808
184,18341598,18341614,18352296,10698,16,10682,45000,38192,38259,500,500,6741
185,18441646,18441662,18452295,10649,16,10633,45000,38259,38326,500,500,6674
186,18541694,18541710,18552301,10607,16,10591,45000,38326,38392,500,500,6608
187,18641741,18641758,18652307,10566,17,10549,45000,38392,38459,500,500,6541
188,18741789,18741805,18752296,10507,16,10491,45000,38459,38525,500,500,6475
189,18841837,18841853,18852297,10460,16,10444,45000,38525,38591,500,500,6409
190,18941885,18941901,18952299,10414,16,10398,45000,38591,38657,500,500,6343
191,19041932,19041948,19052303,10371,16,10355,45000,38657,38722,500,500,6278
192,19141980,19141996,19152293,10313,16,10297,45000,38722,38787,500,500,6213
193,19242027,19242044,19252309,10282,17,10265,45000,38787,38852,500,500,6148
194,19342076,19342092,19352297,10221,16,10205,45000,38852,38917,500,500,6083
195,19442123,19442139,19452290,10167,16,10151,45000,38917,38981,500,500,6019
196,19542171,19542187,19552298,10127,16,10111,45000,38981,39045,500,500,5955
197,19642219,19642235,19652297,10078,16,10062,45000,39045,39109,500,500,5891
198,19742266,19742282,19752303,10037,16,10021,45000,39109,39172,500,500,5828
199,19842314,19842330,19852293,9979,16,9963,45000,39172,39236,500,500,5764
200,19942361,19942378,19955143,12782,17,12765,45000,39236,39299,500,500,5701
201,20042412,20042428,20052249,9837,16,9821,45000,39299,39361,500,500,5639
202,20142460,20142476,20152294,9834,16,9818,45000,39361,39424,500,500,5576
203,20242509,20242525,20252298,9789,16,9773,45000,39424,39486,500,500,5514
204,20342557,20342593,20352310,9753,36,9717,45000,39486,39548,500,500,5452
205,20442617,20442633,20452299,9682,16,9666,45000,39548,39610,500,500,5390
206,20542664,20542680,20552302,9638,16,9622,45000,39610,39672,500,500,5328
207,20642710,20642727,20652328,9618,17,9601,45000,39672,39733,500,500,5267
208,20742758,20742774,20752323,9565,16,9549,45000,39733,39794,500,500,5206
209,20842804,20842820,20852316,9512,16,9496,45000,39794,39855,500,500,5145
210,20942851,20942867,20952306,9455,16,9439,45000,39855,39916,500,500,5084
211,21042896,21042912,21052294,9398,16,9382,45000,39916,39976,500,500,5024
212,21142942,21142958,21152291,9349,16,9333,45000,39976,40036,500,500,4964
213,21242989,21243005,21252310,9321,16,9305,45000,40036,40096,500,500,4904
214,21343036,21343052,21352298,9262,16,9246,45000,40096,40155,500,500,4845
215,21443082,21443097,21452302,9220,15,9205,45000,40155,40215,500,500,4785
216,21543128,21543144,21552298,9170,16,9154,45000,40215,40274,500,500,4726
217,21643174,21643190,21652304,9130,16,9114,45000,40274,40333,500,500,4667
218,21743221,21743237,21752309,9088,16,9072,45000,40333,40392,500,500,4608
219,21843267,21843283,21852295,9028,16,9012,45000,40392,40450,500,500,4550
220,21943313,21943329,21952290,8977,16,8961,45000,40450,40508,500,500,4492
