sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,236817,236833,247078,10261,16,10245,45000,20000,20266,951,951,24734
2,336868,336884,344732,7864,16,7848,45000,20266,20543,992,992,24457
3,436914,436930,444769,7855,16,7839,45000,20543,20817,986,986,24183
4,536962,536979,544769,7807,17,7790,45000,20817,21088,979,979,23912
5,637007,637024,644767,7760,17,7743,45000,21088,21356,972,972,23644
6,737054,737070,744765,7711,16,7695,45000,21356,21620,965,965,23380
7,837099,837116,844762,7663,17,7646,45000,21620,21882,958,958,23118
8,937145,937162,944769,7624,17,7607,45000,21882,22141,951,951,22859
9,1037192,1037208,1044765,7573,16,7557,45000,22141,22397,944,944,22603
10,1137237,1137254,1144763,7526,17,7509,45000,22397,22649,937,937,22351
11,1237283,1237299,1244774,7491,16,7475,45000,22649,22899,931,931,22101
12,1337329,1337345,1344765,7436,16,7420,45000,22899,23147,924,924,21853
13,1437375,1437391,1444768,7393,16,7377,45000,23147,23391,917,917,21609
14,1537421,1537438,1544760,7339,17,7322,45000,23391,23632,911,911,21368
15,1637466,1637483,1644773,7307,17,7290,45000,23632,23871,905,905,21129
16,1737513,1737529,1744766,7253,16,7237,45000,23871,24107,898,898,20893
17,1837559,1837575,1844765,7206,16,7190,45000,24107,24340,892,892,20660
18,1937605,1937621,1944775,7170,16,7154,45000,24340,24571,886,886,20429
19,2037651,2037668,2044767,7116,17,7099,45000,24571,24799,879,879,20201
20,2137697,2137713,2144765,7068,16,7052,45000,24799,25024,873,873,19976
21,2237743,2237759,2244762,7019,16,7003,45000,25024,25247,867,867,19753
22,2337788,2337805,2344770,6982,17,6965,45000,25247,25467,861,861,19533
23,2437835,2437851,2444764,6929,16,6913,45000,25467,25685,856,856,19315
24,2537880,2537896,2544763,6883,16,6867,45000,25685,25900,850,850,19100
25,2637926,2637943,2644775,6849,17,6832,45000,25900,26113,844,844,18887
26,2737972,2737988,2744768,6796,16,6780,45000,26113,26323,838,838,18677
27,2838017,2838033,2844766,6749,16,6733,45000,26323,26531,833,833,18469
28,2938063,2938079,2944764,6701,16,6685,45000,26531,26736,827,827,18264
29,3038109,3038125,3044802,6693,16,6677,45000,26736,26940,822,822,18060
30,3138157,3138174,3144794,6637,17,6620,45000,26940,27140,816,816,17860
31,3238203,3238219,3244792,6589,16,6573,45000,27140,27339,811,811,17661
32,3338248,3338265,3344768,6520,17,6503,45000,27339,27535,806,806,17465
33,3438295,3438311,3444765,6470,16,6454,45000,27535,27729,801,801,17271
34,3538341,3538358,3544762,6421,17,6404,45000,27729,27921,795,795,17079
35,3638387,3638404,3644772,6385,17,6368,65000,27921,28169,1000,1000,36831
36,3738434,3738450,3744765,6331,16,6315,65000,28169,28417,1000,1000,36583
37,3838479,3838496,3844766,6287,17,6270,65000,28417,28663,1000,1000,36337
38,3938526,3938542,3944763,6237,16,6221,65000,28663,28908,1000,1000,36092
39,4038572,4038588,4044770,6198,16,6182,65000,28908,29153,1000,1000,35847
40,4138619,4138635,4144764,6145,16,6129,65000,29153,29396,1000,1000,35604
41,4238664,4238680,4244765,6101,16,6085,65000,29396,29638,1000,1000,35362
42,4338709,4338726,4344771,6062,17,6045,65000,29638,29880,1000,1000,35120
43,4438756,4438772,4444765,6009,16,5993,65000,29880,30120,1000,1000,34880
44,4538801,4538818,4544765,5964,17,5947,65000,30120,30360,1000,1000,34640
45,4638847,4638864,4644762,5915,17,5898,65000,30360,30598,1000,1000,34402
46,4738893,4738910,4744771,5878,17,5861,65000,30598,30836,1000,1000,34164
47,4838940,4838956,4844764,5824,16,5808,65000,30836,31073,1000,1000,33927
48,4938986,4939002,4944765,5779,16,5763,65000,31073,31308,1000,1000,33692
49,5039032,5039048,5044774,5742,16,5726,65000,31308,31543,1000,1000,33457
50,5139079,5139095,5144767,5688,16,5672,65000,31543,31777,1000,1000,33223
51,5239124,5239140,5244766,5642,16,5626,65000,31777,32010,1000,1000,32990
52,5339170,5339186,5344765,5595,16,5579,65000,32010,32242,1000,1000,32758
53,5439216,5439233,5444772,5556,17,5539,65000,32242,32473,1000,1000,32527
54,5539263,5539279,5544767,5504,16,5488,65000,32473,32703,1000,1000,32297
55,5639308,5639324,5644765,5457,16,5441,65000,32703,32932,1000,1000,32068
56,5739354,5739370,5744775,5421,16,5405,65000,32932,33160,1000,1000,31840
57,5839400,5839416,5844770,5370,16,5354,65000,33160,33388,1000,1000,31612
58,5939446,5939462,5944768,5322,16,5306,65000,33388,33614,1000,1000,31386
59,6039491,6039508,6044768,5277,17,5260,65000,33614,33840,1000,1000,31160
60,6139537,6139553,6144761,5224,16,5208,65000,33840,34064,1000,1000,30936
61,6239583,6239599,6244777,5194,16,5178,65000,34064,34288,1000,1000,30712
62,6339644,6339660,6344770,5126,16,5110,65000,34288,34511,1000,1000,30489
63,6439689,6439706,6444770,5081,17,5064,65000,34511,34733,1000,1000,30267
64,6539736,6539752,6544765,5029,16,5013,65000,34733,34954,1000,1000,30046
65,6639782,6639798,6644765,4983,16,4967,65000,34954,35174,1000,1000,29826
66,6739827,6739844,6744770,4943,17,4926,65000,35174,35394,1000,1000,29606
67,6839874,6839890,6844765,4891,16,4875,65000,35394,35612,1000,1000,29388
68,6939919,6939935,6944767,4848,16,4832,50000,35612,35771,792,792,14229
69,7039965,7039981,7044760,4795,16,4779,50000,35771,35926,778,778,14074
70,7140011,7140027,7144771,4760,16,4744,50000,35926,36079,773,773,13921
71,7240057,7240074,7244764,4707,17,4690,50000,36079,36230,769,769,13770
72,7340103,7340119,7344765,4662,16,4646,50000,36230,36379,765,765,13621
73,7440149,7440166,7444773,4624,17,4607,50000,36379,36527,761,761,13473
74,7540195,7540212,7544765,4570,17,4553,50000,36527,36672,757,757,13328
75,7640241,7640258,7644765,4524,17,4507,50000,36672,36817,754,754,13183
76,7740287,7740303,7744762,4475,16,4459,50000,36817,36960,750,750,13040
77,7840333,7840350,7844774,4441,17,4424,50000,36960,37101,746,746,12899
78,7940380,7940397,7944765,4385,17,4368,50000,37101,37240,742,742,12760
79,8040426,8040442,8044766,4340,16,4324,50000,37240,37378,738,738,12622
80,8140472,8140488,8144769,4297,16,4281,50000,37378,37514,735,735,12486
81,8240518,8240534,8244765,4247,16,4231,50000,37514,37649,731,731,12351
82,8340563,8340580,8344766,4203,17,4186,50000,37649,37782,727,727,12218
83,8440610,8440626,8444763,4153,16,4137,50000,37782,37913,724,724,12087
84,8540655,8540672,8544773,4118,17,4101,50000,37913,38043,721,721,11957
85,8640702,8640718,8644768,4066,16,4050,50000,38043,38172,717,717,11828
86,8740747,8740764,8744761,4014,17,3997,50000,38172,38299,714,714,11701
87,8840794,8840810,8844772,3978,16,3962,50000,38299,38425,710,710,11575
88,8940841,8940857,8944769,3928,16,3912,50000,38425,38549,707,707,11451
89,9040887,9040903,9044771,3884,16,3868,50000,38549,38672,704,704,11328
90,9140933,9140950,9144767,3834,17,3817,50000,38672,38793,700,700,11207
91,9240980,9240996,9244767,3787,16,3771,50000,38793,38913,697,697,11087
92,9341026,9341042,9344776,3750,16,3734,50000,38913,39032,694,694,10968
93,9441072,9441088,9444769,3697,16,3681,50000,39032,39149,691,691,10851
94,9541118,9541134,9544775,3657,16,3641,50000,39149,39265,688,688,10735
95,9641164,9641180,9644770,3606,16,3590,50000,39265,39380,685,685,10620
96,9741210,9741226,9744763,3553,16,3537,50000,39380,39493,681,681,10507
97,9841255,9841272,9844772,3517,17,3500,50000,39493,39605,678,678,10395
98,9941302,9941318,9944765,3463,16,3447,50000,39605,39716,675,675,10284
