sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,160384,160401,169728,9344,17,9327,45000,20000,20266,951,951,24734
2,260432,260449,265997,5565,17,5548,45000,20266,20543,992,992,24457
3,360478,360494,366040,5562,16,5546,45000,20543,20817,986,986,24183
4,460528,460545,466046,5518,17,5501,45000,20817,21088,979,979,23912
5,560575,560591,566055,5480,16,5464,45000,21088,21356,972,972,23644
6,660623,660639,666043,5420,16,5404,45000,21356,21620,965,965,23380
7,760669,760686,766035,5366,17,5349,45000,21620,21882,958,958,23118
8,860716,860732,866052,5336,16,5320,45000,21882,22141,951,951,22859
9,960763,960779,966049,5286,16,5270,45000,22141,22397,944,944,22603
10,1060809,1060826,1066037,5228,17,5211,45000,22397,22649,937,937,22351
11,1160856,1160873,1166053,5197,17,5180,45000,22649,22899,931,931,22101
12,1260903,1260920,1266045,5142,17,5125,45000,22899,23147,924,924,21853
13,1360950,1360967,1366051,5101,17,5084,45000,23147,23391,917,917,21609
14,1460997,1461014,1466038,5041,17,5024,45000,23391,23632,911,911,21368
15,1561044,1561060,1566049,5005,16,4989,45000,23632,23871,905,905,21129
16,1661091,1661108,1666052,4961,17,4944,45000,23871,24107,898,898,20893
17,1761137,1761154,1766040,4903,17,4886,45000,24107,24340,892,892,20660
18,1861184,1861201,1866042,4858,17,4841,45000,24340,24571,886,886,20429
19,1961231,1961247,1966046,4815,16,4799,45000,24571,24799,879,879,20201
20,2061277,2061294,2066038,4761,17,4744,45000,24799,25024,873,873,19976
21,2161324,2161340,2166037,4713,16,4697,45000,25024,25247,867,867,19753
22,2261371,2261387,2266058,4687,16,4671,45000,25247,25467,861,861,19533
23,2361418,2361434,2366045,4627,16,4611,45000,25467,25685,856,856,19315
24,2461464,2461481,2466048,4584,17,4567,45000,25685,25900,850,850,19100
25,2561511,2561527,2566044,4533,16,4517,45000,25900,26113,844,844,18887
26,2661557,2661574,2666048,4491,17,4474,45000,26113,26323,838,838,18677
27,2761604,2761621,2766052,4448,17,4431,45000,26323,26531,833,833,18469
28,2861650,2861667,2866040,4390,17,4373,45000,26531,26736,827,827,18264
29,2961696,2961713,2966083,4387,17,4370,45000,26736,26940,822,822,18060
30,3061745,3061762,3066085,4340,17,4323,45000,26940,27140,816,816,17860
31,3161792,3161808,3166079,4287,16,4271,45000,27140,27339,811,811,17661
32,3261839,3261855,3266064,4225,16,4209,45000,27339,27535,806,806,17465
33,3361885,3361902,3366040,4155,17,4138,45000,27535,27729,801,801,17271
34,3461932,3461948,3466048,4116,16,4100,45000,27729,27921,795,795,17079
35,3561979,3561996,3566042,4063,17,4046,65000,27921,28169,1000,1000,36831
36,3662026,3662042,3666053,4027,16,4011,65000,28169,28417,1000,1000,36583
37,3762074,3762090,3766042,3968,16,3952,65000,28417,28663,1000,1000,36337
38,3862120,3862137,3866034,3914,17,3897,65000,28663,28908,1000,1000,36092
39,3962167,3962184,3966046,3879,17,3862,65000,28908,29153,1000,1000,35847
40,4062214,4062231,4066041,3827,17,3810,65000,29153,29396,1000,1000,35604
41,4162260,4162277,4166048,3788,17,3771,65000,29396,29638,1000,1000,35362
42,4262308,4262325,4266043,3735,17,3718,65000,29638,29880,1000,1000,35120
43,4362354,4362371,4366054,3700,17,3683,65000,29880,30120,1000,1000,34880
44,4462402,4462418,4466040,3638,16,3622,65000,30120,30360,1000,1000,34640
45,4562448,4562464,4566031,3583,16,3567,65000,30360,30598,1000,1000,34402
46,4662494,4662511,4666048,3554,17,3537,65000,30598,30836,1000,1000,34164
47,4762542,4762558,4766041,3499,16,3483,65000,30836,31073,1000,1000,33927
48,4862587,4862604,4866037,3450,17,3433,65000,31073,31308,1000,1000,33692
49,4962634,4962650,4966052,3418,16,3402,65000,31308,31543,1000,1000,33457
50,5062682,5062698,5066042,3360,16,3344,65000,31543,31777,1000,1000,33223
51,5162727,5162744,5166040,3313,17,3296,65000,31777,32010,1000,1000,32990
52,5262775,5262791,5266046,3271,16,3255,65000,32010,32242,1000,1000,32758
53,5362822,5362838,5366043,3221,16,3205,65000,32242,32473,1000,1000,32527
54,5462868,5462884,5466040,3172,16,3156,65000,32473,32703,1000,1000,32297
55,5562914,5562930,5566046,3132,16,3116,65000,32703,32932,1000,1000,32068
56,5662961,5662978,5666043,3082,17,3065,65000,32932,33160,1000,1000,31840
57,5763007,5763023,5766058,3051,16,3035,65000,33160,33388,1000,1000,31612
58,5863054,5863071,5866044,2990,17,2973,65000,33388,33614,1000,1000,31386
59,5963101,5963117,5966038,2937,16,2921,65000,33614,33840,1000,1000,31160
60,6063147,6063164,6066048,2901,17,2884,65000,33840,34064,1000,1000,30936
61,6163194,6163211,6166057,2863,17,2846,65000,34064,34288,1000,1000,30712
62,6263241,6263258,6266216,2975,17,2958,65000,34288,34511,1000,1000,30489
63,6363287,6363304,6366296,3009,17,2992,65000,34511,34733,1000,1000,30267
64,6463334,6463351,6466360,3026,17,3009,65000,34733,34954,1000,1000,30046
65,6563380,6563397,6566428,3048,17,3031,65000,34954,35174,1000,1000,29826
66,6663426,6663442,6666496,3070,16,3054,65000,35174,35394,1000,1000,29606
67,6763472,6763489,6766562,3090,17,3073,65000,35394,35612,1000,1000,29388
68,6863518,6863535,6866629,3111,17,3094,50000,35612,35771,792,792,14229
69,6963564,6963581,6966680,3116,17,3099,50000,35771,35926,778,778,14074
70,7063630,7063646,7066764,3134,16,3118,50000,35926,36079,773,773,13921
71,7163676,7163693,7166821,3145,17,3128,50000,36079,36230,769,769,13770
72,7263741,7263757,7266913,3172,16,3156,50000,36230,36379,765,765,13621
73,7363787,7363804,7366968,3181,17,3164,50000,36379,36527,761,761,13473
74,7463834,7463850,7466983,3149,16,3133,50000,36527,36672,757,757,13328
75,7563880,7563896,7566982,3102,16,3086,50000,36672,36817,754,754,13183
76,7663924,7663940,7666975,3051,16,3035,50000,36817,36960,750,750,13040
77,7763969,7763985,7766987,3018,16,3002,50000,36960,37101,746,746,12899
78,7864014,7864031,7866980,2966,17,2949,50000,37101,37240,742,742,12760
79,7964059,7964075,7966981,2922,16,2906,50000,37240,37378,738,738,12622
80,8064104,8064120,8066986,2882,16,2866,50000,37378,37514,735,735,12486
81,8164149,8164165,8166982,2833,16,2817,50000,37514,37649,731,731,12351
82,8264196,8264213,8266002,1806,17,1789,50000,37649,37782,727,727,12218
83,8364243,8364260,8376052,11809,17,11792,50000,37782,37913,724,724,12087
84,8464302,8464318,8476070,11768,16,11752,50000,37913,38043,721,721,11957
85,8564362,8564379,8576053,11691,17,11674,50000,38043,38172,717,717,11828
86,8664408,8664425,8676057,11649,17,11632,50000,38172,38299,714,714,11701
87,8764455,8764471,8776060,11605,16,11589,50000,38299,38425,710,710,11575
88,8864501,8864517,8876068,11567,16,11551,50000,38425,38549,707,707,11451
89,8964547,8964564,8976062,11515,17,11498,50000,38549,38672,704,704,11328
90,9064594,9064611,9076060,11466,17,11449,50000,38672,38793,700,700,11207
91,9164642,9164658,9176066,11424,16,11408,50000,38793,38913,697,697,11087
92,9264688,9264705,9276045,11357,17,11340,50000,38913,39032,694,694,10968
93,9364735,9364751,9376061,11326,16,11310,50000,39032,39149,691,691,10851
94,9464782,9464799,9476047,11265,17,11248,50000,39149,39265,688,688,10735
95,9564828,9564845,9576040,11212,17,11195,50000,39265,39380,685,685,10620
96,9664875,9664892,9676037,11162,17,11145,50000,39380,39493,681,681,10507
97,9764921,9764938,9776040,11119,17,11102,50000,39493,39605,678,678,10395
98,9864968,9864985,9876043,11075,17,11058,50000,39605,39716,675,675,10284
99,9965014,9965031,9976052,11038,17,11021,50000,39716,39825,672,672,10175
100,10065061,10065078,10078791,13730,17,13713,50000,39825,39933,670,670,10067
