sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,5302,5649,27692,22390,347,22043,45000,20000,25585,951,951,19415
2,105692,105709,112539,6847,17,6830,45000,25585,25563,0,0,19437
3,205738,205755,212563,6825,17,6808,45000,25563,25768,811,811,19232
4,305786,305803,312559,6773,17,6756,45000,25768,25981,845,845,19019
5,405833,405849,412558,6725,16,6709,45000,25981,26193,842,842,18807
6,505880,505897,512553,6673,17,6656,45000,26193,26403,836,836,18597
7,605929,605945,612543,6614,16,6598,45000,26403,26610,831,831,18390
8,705975,705992,712565,6590,17,6573,45000,26610,26814,825,825,18186
9,806023,806039,812567,6544,16,6528,45000,26814,27016,820,820,17984
10,906070,906087,912552,6482,17,6465,45000,27016,27216,814,814,17784
11,1006118,1006152,1012568,6450,34,6416,45000,27216,27414,809,809,17586
12,1106162,1106179,1112559,6397,17,6380,45000,27414,27609,804,804,17391
13,1206208,1206225,1212556,6348,17,6331,45000,27609,27803,799,799,17197
14,1306254,1306271,1312563,6309,17,6292,45000,27803,27994,793,793,17006
15,1406301,1406318,1412561,6260,17,6243,45000,27994,28182,788,788,16818
16,1506348,1506365,1512555,6207,17,6190,45000,28182,28369,783,783,16631
17,1606394,1606411,1612555,6161,17,6144,45000,28369,28553,778,778,16447
18,1706441,1706457,1712551,6110,16,6094,45000,28553,28736,774,774,16264
19,1806488,1806505,1812560,6072,17,6055,45000,28736,28916,769,769,16084
20,1906534,1906551,1912554,6020,17,6003,45000,28916,29094,764,764,15906
21,2006580,2006597,2012561,5981,17,5964,45000,29094,29270,759,759,15730
22,2106627,2106644,2112563,5936,17,5919,45000,29270,29444,754,754,15556
23,2206674,2206691,2212557,5883,17,5866,45000,29444,29617,750,750,15383
24,2306721,2306737,2312549,5828,16,5812,45000,29617,29787,745,745,15213
25,2406767,2406784,2412563,5796,17,5779,45000,29787,29955,741,741,15045
26,2506814,2506830,2512568,5754,16,5738,45000,29955,30121,736,736,14879
27,2606860,2606877,2612556,5696,17,5679,45000,30121,30286,732,732,14714
28,2706907,2706924,2712553,5646,17,5629,45000,30286,30448,727,727,14552
29,2806953,2806970,2812596,5643,17,5626,45000,30448,30609,723,723,14391
30,2907020,2907037,2912600,5580,17,5563,45000,30609,30768,719,719,14232
31,3007067,3007083,3012600,5533,16,5517,45000,30768,30925,715,715,14075
32,3107114,3107131,3112575,5461,17,5444,45000,30925,31080,710,710,13920
33,3207160,3207176,3212557,5397,16,5381,45000,31080,31233,706,706,13767
34,3307206,3307223,3312551,5345,17,5328,45000,31233,31385,702,702,13615
35,3407253,3407270,3412557,5304,17,5287,65000,31385,31619,1000,1000,33381
36,3507299,3507316,3512559,5260,17,5243,65000,31619,31853,1000,1000,33147
37,3607346,3607363,3612553,5207,17,5190,65000,31853,32086,1000,1000,32914
38,3707392,3707409,3712560,5168,17,5151,65000,32086,32317,1000,1000,32683
39,3807438,3807455,3812562,5124,17,5107,65000,32317,32548,1000,1000,32452
40,3907484,3907501,3912554,5070,17,5053,65000,32548,32778,1000,1000,32222
41,4007531,4007548,4012551,5020,17,5003,65000,32778,33007,1000,1000,31993
42,4107578,4107595,4112556,4978,17,4961,65000,33007,33235,1000,1000,31765
43,4207624,4207641,4212560,4936,17,4919,65000,33235,33462,1000,1000,31538
44,4307670,4307687,4312563,4893,17,4876,65000,33462,33688,1000,1000,31312
45,4407717,4407734,4412552,4835,17,4818,65000,33688,33913,1000,1000,31087
46,4507764,4507780,4512570,4806,16,4790,65000,33913,34137,1000,1000,30863
47,4607811,4607827,4612559,4748,16,4732,65000,34137,34361,1000,1000,30639
48,4707857,4707874,4712552,4695,17,4678,65000,34361,34583,1000,1000,30417
49,4807903,4807920,4812567,4664,17,4647,65000,34583,34805,1000,1000,30195
50,4907950,4907967,4912560,4610,17,4593,65000,34805,35026,1000,1000,29974
51,5007997,5008013,5012564,4567,16,4551,65000,35026,35246,1000,1000,29754
52,5108044,5108061,5112554,4510,17,4493,65000,35246,35465,1000,1000,29535
53,5208090,5208107,5212571,4481,17,4464,65000,35465,35683,1000,1000,29317
54,5308136,5308153,5312557,4421,17,4404,65000,35683,35900,1000,1000,29100
55,5408182,5408198,5412552,4370,16,4354,65000,35900,36117,1000,1000,28883
56,5508228,5508245,5512570,4342,17,4325,65000,36117,36332,1000,1000,28668
57,5608275,5608291,5612564,4289,16,4273,65000,36332,36547,1000,1000,28453
58,5708322,5708339,5712558,4236,17,4219,65000,36547,36761,1000,1000,28239
59,5808368,5808385,5812564,4196,17,4179,65000,36761,36974,1000,1000,28026
60,5908415,5908432,5912553,4138,17,4121,65000,36974,37186,1000,1000,27814
61,6008461,6008478,6012572,4111,17,4094,65000,37186,37397,1000,1000,27603
62,6108508,6108524,6112565,4057,16,4041,65000,37397,37607,1000,1000,27393
