sequence,cycle_started_us,command_sent_us,response_completed_us,full_loop_us,pre_send_us,transport_us,setpoint_milli_c,observed_milli_c,measured_milli_c,command_actuator_permille,status_actuator_permille,error_milli_c
1,9113,9461,133426,124313,348,123965,45000,20000,20266,951,951,24734
2,137048,137064,145418,8370,16,8354,45000,20266,20543,992,992,24457
3,237460,237477,245457,7997,17,7980,45000,20543,20817,986,986,24183
4,337506,337523,345450,7944,17,7927,45000,20817,21088,979,979,23912
5,437552,437569,445449,7897,17,7880,45000,21088,21356,972,972,23644
6,537597,537614,545444,7847,17,7830,45000,21356,21620,965,965,23380
7,637642,637659,645456,7814,17,7797,45000,21620,21882,958,958,23118
8,737689,737705,745449,7760,16,7744,65000,21882,22155,1000,1000,42845
9,837733,837750,845446,7713,17,7696,65000,22155,22426,1000,1000,42574
10,937778,937795,945455,7677,17,7660,65000,22426,22696,1000,1000,42304
11,1037824,1037841,1045449,7625,17,7608,65000,22696,22965,1000,1000,42035
12,1137868,1137885,1145451,7583,17,7566,65000,22965,23234,1000,1000,41766
13,1237914,1237931,1244480,6566,17,6549,65000,23234,23501,1000,1000,41499
14,1337959,1337975,1344604,6645,16,6629,65000,23501,23767,1000,1000,41233
15,1438006,1438022,1444531,6525,16,6509,50000,23767,24032,1000,1000,25968
16,1538054,1538070,1544519,6465,16,6449,50000,24032,24295,1000,1000,25705
17,1638100,1638117,1644512,6412,17,6395,50000,24295,24558,1000,1000,25442
18,1738149,1738165,1744514,6365,16,6349,50000,24558,24820,1000,1000,25180
19,1838196,1838213,1844518,6322,17,6305,50000,24820,25081,1000,1000,24919
20,1938242,1938260,1944505,6263,18,6245,50000,25081,25340,1000,1000,24660
