index,input0_f32_bits,input1_f32_bits,input2_f32_bits,input3_f32_bits,expected_output_f32_bits,expected_actuator_permille,rknn_output_f32_bits,rknn_actuator_permille,wall_ns,device_us
0,3e99999a,3ee00000,3dcccccd,3ecccccd,3f53645b,826,3f536000,826,130666,123
1,00000000,00000000,00000000,00000000,3ca3d70a,20,3ca3e000,20,129790,123
2,3f99999a,00000000,00000000,00000000,3f800000,1000,3f800000,1000,125124,119
3,c0266666,00000000,00000000,00000000,00000000,0,00000000,0,126290,120
4,bf99999a,bf400000,00000000,00000000,00000000,0,00000000,0,126290,119
5,40266666,3fd00000,00000000,00000000,3f800000,1000,3f800000,1000,124833,117
6,00000000,00000000,c1200000,00000000,3f800000,1000,3f800000,1000,125415,119
7,00000000,00000000,41200000,00000000,00000000,0,00000000,0,129791,123
8,00000000,00000000,00000000,3f800000,3df5c290,120,3df5c000,120,128332,123
9,3f333333,3f000000,3e800000,3e800000,3f800000,1000,3f800000,1000,121623,116
10,bf000000,3ea00000,be800000,3f400000,3e2f5c29,171,3e2f6000,171,127457,121
11,c0733333,bf400000,41200000,00000000,00000000,0,00000000,0,126582,119
12,40733333,3fd00000,c1200000,3f800000,3f800000,1000,3f800000,1000,124832,118
13,be99999a,3ec00000,bf9e0419,3f266666,3efd4aa0,495,3efd4000,495,126291,119
14,3f19999a,3f100000,3f9e0419,3eb33333,3f800000,1000,3f800000,1000,127166,120
15,37a7c5ac,3ec00000,38d1b717,3f000000,3ed0a4e3,408,3ed0a000,407,126874,121
16,3fa03127,3f55999a,40b276c9,3f666666,3f800000,1000,3f800000,1000,125999,119
17,bf231e3a,3f99b98c,3eef7660,3e3c6a7f,3f376ca4,717,3f376000,716,126582,120
18,c0120371,bdf55326,c0e79ce0,3ebf7cee,3e60c280,219,3e616000,220,125124,118
19,3fa93f29,3fceb22d,40ff5cfb,3f43126f,3f800000,1000,3f800000,1000,124540,117
20,bfe716b1,bc9a6b51,c0c4bc6a,3f353f7d,3e96e978,295,3e970000,295,125707,119
21,c0049b52,3d76872b,41065dcc,3e96872b,00000000,0,00000000,0,126291,119
22,bfadba0a,3eeaf007,c0e17a78,3eee978d,3f800000,1000,3f800000,1000,125707,119
23,3f78a32f,3ed88312,40c2978d,3ed70a3d,3f1c518d,611,3f1c2000,610,124833,118
24,c0138961,beecc7e3,c0a12bd4,3f589375,00000000,0,00000000,0,124249,117
25,3f0d68c7,3f8518fc,c09f93de,3ed78d50,3f800000,1000,3f800000,1000,122499,117
26,3fa3b795,3ea18106,3f96cbfb,3f2b020c,3f800000,1000,3f800000,1000,121332,115
27,c0028eb4,be8dcfab,40f620c5,3f178d50,00000000,0,00000000,0,121915,116
28,3f8aa1b6,3f3ff7cf,409260aa,3e75c28f,3f800000,1000,3f800000,1000,124540,118
29,3f8b8716,3f998ce7,c04068dc,3f5c28f6,3f800000,1000,3f800000,1000,121915,115
30,c0343e96,bf3d3f7d,3fb42268,3e72b021,00000000,0,00000000,0,121041,115
31,bff94e3c,beceb852,41024ea5,3f71a9fc,00000000,0,00000000,0,122790,117
32,3f5685db,3de10625,41190c4a,3f547ae1,00000000,0,00000000,0,123957,118
33,c04810b6,bf0110cb,406a2681,3f5126e9,00000000,0,00000000,0,122207,115
34,3fd22920,3fbd8106,c00afd22,3f79999a,3f800000,1000,3f800000,1000,120749,115
35,3ed84f4c,be70624e,40869ba6,3e8ccccd,00000000,0,00000000,0,124249,118
36,bf4eaf25,3cc538ef,40f66b51,3f076c8b,00000000,0,00000000,0,156624,150
37,bf69ec2d,be8b020c,40eefb7f,3f4f5c29,00000000,0,00000000,0,128041,122
38,bfb4aff7,bf377dbf,406afec5,3f11a9fc,00000000,0,00000000,0,128624,121
39,3f084b5e,3f328db9,3f9e83e4,3d79db23,3f800000,1000,3f800000,1000,125708,120
40,bf90e022,bee44b5e,4115daba,3f456042,00000000,0,00000000,0,125415,119
41,c009cd60,be981a37,c0e4bb99,3e981062,3e84fce7,260,3e858000,261,125415,118
42,3f8f8a09,3e488312,c11f56d6,3f424dd3,3f800000,1000,3f800000,1000,126583,121
43,c037e9b8,bf01a36e,406c5d64,3d1374bc,00000000,0,00000000,0,126582,120
44,bf81a21f,3ef01062,c030f27c,3f5a1cac,3f04ba8c,518,3f04e000,519,126290,120
45,403166cf,3f9e27bb,40e3a787,3ea1cac1,3f800000,1000,3f800000,1000,125707,119
46,3f25e4a4,3fac089a,c0a83a2a,3ee0c49c,3f800000,1000,3f800000,1000,126291,119
47,bfeaf2fa,bdda6b51,3f1a8c15,3c9374bc,00000000,0,00000000,0,126582,119
48,3fc4e9a3,3eda3055,c0d24ea5,3f1d70a4,3f800000,1000,3f800000,1000,125999,120
49,3f118a87,3fc76cf4,c0ecac08,3f170a3d,3f800000,1000,3f800000,1000,125124,119
50,3f15eb31,bd9dd97f,bfb257a8,3ee1cac1,3f800000,1000,3f800000,1000,126290,120
51,3fed6580,3fc8f06f,c00fb4a2,3f791687,3f800000,1000,3f800000,1000,124249,118
52,400dc77a,3f6f6c8b,c092538f,3e072b02,3f800000,1000,3f800000,1000,125999,119
53,bf3691a7,3f8a47ae,40d927bb,3e570a3d,00000000,0,00000000,0,124249,118
54,bda43fe6,3f75e1b1,c0f845a2,3ecd4fdf,3f800000,1000,3f800000,1000,126874,120
55,bfb69058,3f11a858,c0f558e2,3f316873,3f800000,1000,3f800000,1000,123666,117
56,400abb99,3fa26320,c0767525,3edd2f1b,3f800000,1000,3f800000,1000,127166,121
