commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,0,6289657,6287078,30734
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,1,6292286,6297715,29779
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,2,6266596,6273662,29275
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,3,6304926,6706621,77009
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,4,6913132,7320965,39084
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,5,7705330,7033242,36033
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,6,7102484,7003151,36380
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,7,6482990,6372553,30146
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,8,6407342,6214493,32869
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,9,6865970,7738775,44179
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,10,6955838,6635411,35231
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,11,6507023,6871017,37408
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,12,6707684,6797850,38151
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,13,6688137,7474386,42556
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,14,6651012,7831013,47367
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,15,7036594,6808593,38403
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,16,6618087,7131381,36650
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,17,6926050,6494021,34418
dad8b5da29364b0a5d1b85c9aaec912645c72b42,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,50,18,6418745,6218774,30494
