commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6266214,6145436,27581
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6350286,6189763,28530
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6374161,6353005,30145
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6273551,6265527,28135
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6284639,6167429,28392
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6314552,6146874,28033
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6351501,6103203,28082
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6182961,6130145,27991
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6176034,6120296,27111
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6181397,6069220,27937
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6209993,6125649,28164
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6181195,6119519,27511
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6173523,6106835,27334
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6312606,6109523,27372
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6174031,6352432,27607
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6176311,6345557,47959
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6540862,6833113,31996
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6709066,7154001,61344
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6883781,6636064,32992
367160c3b1f6da4c3299a94b814150dd8db42be2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6586925,6215293,28535
