commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,7123843,7332003,36225
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,7367016,7507421,44619
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,7227933,6881731,37746
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6692831,6630579,30832
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6623628,6379755,31902
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6388510,6395275,30903
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6377865,6257210,30968
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6467905,6342371,31653
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6482415,6168355,29975
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6523775,6696617,31352
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6577483,6575530,31175
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6354512,6358891,30746
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6282775,6525709,31585
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6884385,6823408,37894
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6571017,6252458,32506
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6286172,6170725,32073
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6306913,6110158,30510
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6327511,6350120,33252
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6310603,6132073,31402
4bba3dc12d0c05b5deec3a8558cdaa02d91d944f,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6283617,6111788,30585
