commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6351082,6120148,28313
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6249015,6136122,28151
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6228635,6062950,28326
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6239036,6079714,28396
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6484061,6311926,29350
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6375635,6101207,28941
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6277717,6222999,29124
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6375154,6103914,29719
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6289654,6221041,29169
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6245929,6233995,29457
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6228174,6203932,59332
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6312878,6292824,29082
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6165732,6076311,28005
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6486303,6076812,28277
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6138647,6234755,27979
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6691329,6873813,37816
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6939358,7000385,34578
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6917725,6853420,34000
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6586356,6525057,29445
b55692634f4b888ef83f9bb3f666dd230108883b,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6539107,6304094,29842
