sample_set,commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,9152258,13289486,51880
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,9035098,13521370,51034
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,9324080,14254505,55585
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,9481877,12724478,46038
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,9390917,13720961,50382
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,9499330,12446333,70541
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,9392746,12068715,49222
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,9310397,12883769,53175
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,9662753,12371226,52798
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,9149017,12700386,49116
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,9594971,13205192,52225
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,9685420,12778695,49752
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7359111,11788979,51389
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,10172142,13228939,48392
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,11470813,11923656,48220
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,9062326,12461956,49955
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,9168330,12822218,48883
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,9249039,12714054,50047
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,9283140,13765920,50772
first,1ffabfbb5,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,9298325,13454222,51247
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6362457,6421019,58098
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6354585,6351372,32176
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6386432,6262329,31883
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6431147,6696358,32693
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6475994,7465477,32755
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6378523,6548991,31810
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6434853,7288561,51945
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,9123576,9902722,32627
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6798689,7975048,32725
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,7151323,7602883,53846
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6752789,8656543,52099
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6756908,7851564,67047
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6883775,7231532,32453
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6571347,7614430,32388
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6934366,7298452,34953
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6866586,7258507,31502
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6767343,7680723,32107
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6515647,7308436,32275
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6637492,7285812,32006
repeat,1ffabfbb5-repeat,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6635219,6754569,34237
