commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,7469736,7938611,44232
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,7733222,7986689,41238
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,7427273,7409019,37476
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,7079516,6979981,41133
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,7007741,6900737,42214
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6970222,7709210,53439
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6982020,7235475,40862
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6813998,7676951,37239
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,7691747,9102480,60844
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,7279598,7358989,40585
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,8119700,7646862,50414
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,7238489,7169623,43147
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,7313896,7195271,44289
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,7162232,6849131,40282
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,7088900,6844511,39757
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,7452429,10266510,46805
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,7148360,6758025,38358
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,7103552,7158332,42591
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,7641006,6995558,52076
e3181fb4dac47922ee68db7267182e141d92f763,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,7484152,7405650,41157
