commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,14424605,7764677,318167
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,13059167,6903241,300954
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,13030872,6312368,284239
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,13290334,6733651,369742
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,13447364,6007698,280245
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,13124009,6567071,281165
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,12820686,6837737,281132
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,13151344,6501784,306942
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,13034147,6399351,280492
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,13507828,6116249,309702
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,13300298,6525344,282754
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,13282615,6437570,276484
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,13101476,6370781,290585
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,12937404,6924631,281381
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,13801859,6770880,286106
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,15017180,6169416,345254
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,13412273,6221662,277736
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,13068394,6699622,283976
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,12868873,6621269,279632
e4f4286d6b079fd639fcd14a7bd74691aa1dbbc2,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,13640910,6983230,289185
