commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6247040,6436775,32088
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6524295,6960653,33006
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6376598,6331510,32569
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6787524,7378537,37303
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,7731632,9592953,63135
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,8978381,10034736,41631
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,7026773,7398817,34564
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6639884,7762987,39767
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,7674597,7086785,33823
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6627636,6622936,33499
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,7405438,8637724,40222
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6647117,7227297,32626
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6516209,7416830,32947
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,8584700,9150444,41324
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6304025,6287430,31819
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6409845,6118280,31147
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6332000,6131752,31088
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6293735,6132568,32211
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6245069,6207165,31169
dadce8ebee8ae8e985e2acfeb59d075aebb7f8ae,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6388158,6157093,31226
