phase,commit,arch,backend,feature,workload,value_bytes,warmups,runs,run,set_sync_ns,get_ns,remove_sync_ns
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,0,35692,2996,24205
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,1,35673,3308,24065
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,2,35463,3108,24123
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,3,35619,3032,24186
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,4,36230,3020,24549
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,5,35970,3127,24240
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,6,35668,3053,24404
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,7,35735,3198,24388
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,8,35496,2988,24322
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,9,35677,3011,24246
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,10,35551,2963,24440
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,11,35537,3040,24375
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,12,35547,3136,24511
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,13,36927,3384,24229
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,14,36366,3306,24352
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,15,36670,3484,24507
pre-transaction,783661ce7-pretxn,x86_64,memory,metadata_csum+64bit+journal,xattr-external,512,3,20,16,36850,3401,24605
