commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6164869,5871871,32039
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6403840,6197752,32407
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6293056,5950186,32085
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6370722,5882946,33375
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6179875,5890891,31351
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6233172,6111061,32625
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6219545,6644613,35025
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6921408,6757199,32512
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6853818,7412576,33201
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6712709,7331847,33007
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6671982,6528420,33487
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6706211,5999018,32453
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6278497,5962395,33283
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6321881,6008607,33121
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6271944,5938120,32949
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6311198,6211464,31976
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6279170,6153094,33014
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6343756,5914128,32326
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6316198,5904829,31494
9eb326e2d,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6242738,5912052,31510
