commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,dirty_sync_ns,clean_sync_ns,unmount_ns
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,22136,275,9451
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,22474,273,9533
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,21724,234,9430
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,21181,211,9361
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,21586,247,9291
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,21987,220,9342
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,21400,241,9268
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,21449,262,9347
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,21623,248,9448
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,21578,238,9507
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,20884,266,9148
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,20779,228,9173
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,53651,316,9568
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,21605,275,9214
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,20802,237,9103
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,21786,192,9254
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,20783,258,9188
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,21723,280,9589
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,20862,227,9060
46784bf62,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,21447,259,9383
