commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6697610,6171411,32257
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6416524,5953025,33565
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6286787,5900161,31891
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6302246,6214768,33054
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6286437,5935753,31431
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6307562,5906864,30567
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6307624,6112545,32787
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6350459,5997941,32672
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6735837,6373769,32847
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6342972,5902095,31672
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6204101,5859717,31707
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6230125,6043942,32403
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6434224,5926490,32800
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6363241,7845349,39172
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6755486,6413099,32676
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6405041,7192768,34825
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6314525,6595210,34374
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6542293,7162921,33906
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6724256,7186381,34309
1983fc88e,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6487139,7269978,33138
