commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,7230443,7577594,37514
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6971943,8396453,34659
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6968690,6505658,33435
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6606088,6036570,33448
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6304805,5923350,31611
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6320688,5927877,31693
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6322386,5932433,32200
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6305941,5882015,32263
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6307915,5940001,31678
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6310535,5929151,34724
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6310395,5938989,32751
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6309883,5919267,31965
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6307760,5940213,31856
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6219228,5918686,31375
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6300206,5889904,32558
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6218173,5954808,31409
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6230244,6076534,31190
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6225270,6005568,31290
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,7661100,6832847,31551
6ae468a65b88ae0be3821813baf2dc5e42dc1550,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6450676,6289941,31249
