commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6298813,5914141,33438
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6341602,5918726,32357
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6287294,6074592,32613
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6301980,6175653,35658
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,7015732,8306646,37286
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6752584,6941552,36458
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,7426449,9004776,44483
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,7395983,9142349,36993
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6700482,7499805,49102
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6910317,8249020,36196
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,7154837,7400465,55591
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,7005241,8681581,41451
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6697640,7543933,34457
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6937680,7435442,35858
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6956431,7084907,35779
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6701571,8328472,63672
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6650889,7700001,51681
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,7073023,7237174,36801
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6543189,7201881,35777
5adaafb44,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6405441,6687442,34631
