commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6409154,6006827,33842
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6332764,6126906,33948
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6349942,5882541,32566
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6337960,6025592,32025
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6310709,6005172,49147
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6352406,6146730,32636
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6384823,5932620,33453
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6237503,5999463,32788
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6245357,5916421,32778
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6237836,5885922,31303
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6352874,6314174,32059
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6387234,6187999,32779
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6289045,5951841,31577
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6257342,6262131,33296
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6215508,5951789,32303
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6233763,5918016,31008
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6223060,5886377,32500
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6283638,5890708,31133
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6221247,5893721,31060
ed5577756e4ab07b0b92fdf3bfa1b487fb418b27,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6361326,5910334,32351
