commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,dirty_sync_ns,clean_sync_ns,unmount_ns
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,0,21416,258,10326
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,1,20038,226,10679
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,2,19395,240,9799
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,3,18900,224,9775
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,4,19313,210,9644
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,5,18935,212,9729
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,6,19013,233,9661
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,7,19303,215,9581
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,8,19132,208,9475
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,9,19547,211,9616
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,10,19310,195,9559
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,11,18866,200,9586
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,12,19165,207,9746
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,13,19160,170,9527
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,14,22365,240,11293
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,15,20017,235,10268
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,16,21850,225,10258
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,17,20817,218,10359
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,18,21276,220,10527
b1bafeabd,x86_64,memory,metadata_csum+64bit+journal,sync-cycle,4096,20971520,3,20,19,23769,225,11948
