commit,arch,backend,feature,workload,block_size,bytes,warmups,runs,run,write_ns,read_ns,sync_ns
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,0,6334862,5876642,34831
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,1,6320316,5868387,32554
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,2,6313914,5856157,31531
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,3,6435425,6302817,33046
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,4,6433774,5889614,30759
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,5,6310735,5862342,30522
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,6,6353990,5903130,32024
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,7,6464653,5968866,34911
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,8,6334817,5869876,31177
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,9,6471216,5966911,32813
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,10,6306260,6157190,31915
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,11,6362445,5978000,33672
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,12,6400286,5941441,33602
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,13,6386578,6034842,32061
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,14,6365680,5932807,31497
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,15,6441655,5862473,31849
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,16,6309854,6429426,32170
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,17,6357845,6144243,33427
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,18,6305713,6380433,32388
d4bbc59cd,x86_64,memory,metadata_csum+64bit+journal,sequential,4096,20971520,3,20,19,6471608,6214781,32803
