workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,4cf9505a3,0,0,6531703,6650869,19481,,,
sequential,baseline,4cf9505a3,0,1,6472136,6568429,19278,,,
sequential,baseline,4cf9505a3,0,2,6691981,7923125,19272,,,
sequential,baseline,4cf9505a3,0,3,6642318,7564684,19498,,,
sequential,baseline,4cf9505a3,0,4,6893649,7238911,20758,,,
sequential,baseline,4cf9505a3,0,5,6669804,6328499,19083,,,
sequential,baseline,4cf9505a3,0,6,6335621,5993595,18819,,,
sequential,baseline,4cf9505a3,0,7,6319935,6217199,18103,,,
sequential,baseline,4cf9505a3,0,8,6308444,6256407,19134,,,
sequential,baseline,4cf9505a3,0,9,6305476,6206382,18135,,,
sequential,baseline,4cf9505a3,0,10,6308245,6036486,17163,,,
sequential,baseline,4cf9505a3,0,11,6300490,6206549,18556,,,
sequential,baseline,4cf9505a3,0,12,6447657,6410055,18157,,,
sequential,baseline,4cf9505a3,0,13,6256740,6417585,18208,,,
sequential,baseline,4cf9505a3,0,14,6219069,6203648,18516,,,
sequential,baseline,4cf9505a3,0,15,6481008,7735033,35341,,,
sequential,baseline,4cf9505a3,0,16,6397193,6825204,19338,,,
sequential,baseline,4cf9505a3,0,17,6688927,7700274,19309,,,
sequential,baseline,4cf9505a3,0,18,6780811,7100064,18772,,,
sequential,baseline,4cf9505a3,0,19,6614180,6426073,17456,,,
sequential,implementation,9ea3c593b,0,0,6322849,5946144,17817,,,
sequential,implementation,9ea3c593b,0,1,6319872,6101043,17667,,,
sequential,implementation,9ea3c593b,0,2,6448175,6543670,18005,,,
sequential,implementation,9ea3c593b,0,3,6371659,6069146,17220,,,
sequential,implementation,9ea3c593b,0,4,6318817,6043383,18533,,,
sequential,implementation,9ea3c593b,0,5,6323004,6062547,19307,,,
sequential,implementation,9ea3c593b,0,6,6326773,6103722,18535,,,
sequential,implementation,9ea3c593b,0,7,6902875,6728382,17893,,,
sequential,implementation,9ea3c593b,0,8,6754304,7529953,18917,,,
sequential,implementation,9ea3c593b,0,9,6740068,7660413,18135,,,
sequential,implementation,9ea3c593b,0,10,6698391,6368902,17926,,,
sequential,implementation,9ea3c593b,0,11,6359976,5963879,18627,,,
sequential,implementation,9ea3c593b,0,12,6327605,5929984,18037,,,
sequential,implementation,9ea3c593b,0,13,6308142,5984525,17496,,,
sequential,implementation,9ea3c593b,0,14,6299320,5939043,16812,,,
sequential,implementation,9ea3c593b,0,15,6315458,5934595,17698,,,
sequential,implementation,9ea3c593b,0,16,6419570,6407990,21395,,,
sequential,implementation,9ea3c593b,0,17,6385262,6493689,17852,,,
sequential,implementation,9ea3c593b,0,18,6692214,6497728,18743,,,
sequential,implementation,9ea3c593b,0,19,6276462,6794866,18103,,,
sync-cycle,baseline,4cf9505a3,0,0,,,,9949,256,7097
