workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,4cf9505a3,0,0,7901595,11001657,30706,,,
sequential,baseline,4cf9505a3,0,1,7702702,9978848,23775,,,
sequential,baseline,4cf9505a3,0,2,8077742,10848907,21345,,,
sequential,baseline,4cf9505a3,0,3,7006181,10373114,22394,,,
sequential,baseline,4cf9505a3,0,4,7148931,7246145,18841,,,
sequential,baseline,4cf9505a3,0,5,7455561,8520658,21189,,,
sequential,baseline,4cf9505a3,0,6,7461762,9476602,46764,,,
sequential,baseline,4cf9505a3,0,7,7517344,9945301,21990,,,
sequential,baseline,4cf9505a3,0,8,7872100,9958260,28525,,,
sequential,baseline,4cf9505a3,0,9,7365079,10970037,21350,,,
sequential,baseline,4cf9505a3,0,10,7333984,8511492,41577,,,
sequential,baseline,4cf9505a3,0,11,7490724,9296934,20266,,,
sequential,baseline,4cf9505a3,0,12,8880335,9239997,20968,,,
sequential,baseline,4cf9505a3,0,13,7777140,8978078,19777,,,
sequential,baseline,4cf9505a3,0,14,8089997,8757413,20961,,,
sequential,baseline,4cf9505a3,0,15,7936826,10103410,19190,,,
sequential,baseline,4cf9505a3,0,16,7293106,9911571,20768,,,
sequential,baseline,4cf9505a3,0,17,7436781,10063901,23614,,,
sequential,baseline,4cf9505a3,0,18,7157069,7479575,18821,,,
sequential,baseline,4cf9505a3,0,19,7364038,8814152,19012,,,
sequential,implementation,dae8d9499,0,0,6465814,7483464,18618,,,
sequential,implementation,dae8d9499,0,1,7031035,8394059,19245,,,
sequential,implementation,dae8d9499,0,2,7037467,7592465,28721,,,
sequential,implementation,dae8d9499,0,3,6407900,7984395,18299,,,
sequential,implementation,dae8d9499,0,4,6664600,8679390,19016,,,
sequential,implementation,dae8d9499,0,5,7376028,9426408,19215,,,
sequential,implementation,dae8d9499,0,6,7595262,8971264,20252,,,
sequential,implementation,dae8d9499,0,7,7615215,9212788,19676,,,
sequential,implementation,dae8d9499,0,8,8286742,9482372,20197,,,
sequential,implementation,dae8d9499,0,9,7845503,9307944,68590,,,
sequential,implementation,dae8d9499,0,10,7199118,7544666,20219,,,
sequential,implementation,dae8d9499,0,11,6696755,7528214,18770,,,
sequential,implementation,dae8d9499,0,12,6566573,8194293,18319,,,
sequential,implementation,dae8d9499,0,13,6968465,8812490,21286,,,
sequential,implementation,dae8d9499,0,14,7215149,7326034,19743,,,
sequential,implementation,dae8d9499,0,15,7101501,9752854,35935,,,
sequential,implementation,dae8d9499,0,16,6460701,7887208,20326,,,
sequential,implementation,dae8d9499,0,17,6840049,8113002,19965,,,
sequential,implementation,dae8d9499,0,18,7428433,7821770,19055,,,
sequential,implementation,dae8d9499,0,19,7774809,8638470,18852,,,
