workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,3acc11385,0,0,7125387,6399119,19027,,,
sequential,baseline,3acc11385,0,1,6308864,6058980,18021,,,
sequential,baseline,3acc11385,0,2,6457519,6050627,19510,,,
sequential,baseline,3acc11385,0,3,6309483,6006736,17173,,,
sequential,baseline,3acc11385,0,4,6946976,6842908,18308,,,
sequential,baseline,3acc11385,0,5,6656656,6184979,18558,,,
sequential,baseline,3acc11385,0,6,6311590,6247962,18511,,,
sequential,baseline,3acc11385,0,7,6429988,6147427,17532,,,
sequential,baseline,3acc11385,0,8,6312965,6033447,17924,,,
sequential,baseline,3acc11385,0,9,6316959,6077202,17015,,,
sequential,baseline,3acc11385,0,10,6326257,6049366,17819,,,
sequential,baseline,3acc11385,0,11,6310421,6007929,17515,,,
sequential,baseline,3acc11385,0,12,6550035,6034783,18928,,,
sequential,baseline,3acc11385,0,13,6361489,6001850,17960,,,
sequential,baseline,3acc11385,0,14,6424156,6037990,18851,,,
sequential,baseline,3acc11385,0,15,6459994,6014298,18821,,,
sequential,baseline,3acc11385,0,16,6376671,6065680,18855,,,
sequential,baseline,3acc11385,0,17,6330788,6014616,17250,,,
sequential,baseline,3acc11385,0,18,6313706,6040805,17096,,,
sequential,baseline,3acc11385,0,19,6470529,5997027,18270,,,
sequential,implementation,b80dd453f,0,0,6988138,7938101,20602,,,
sequential,implementation,b80dd453f,0,1,7090586,6810319,19748,,,
sequential,implementation,b80dd453f,0,2,6886528,6372536,17982,,,
sequential,implementation,b80dd453f,0,3,6295451,6298443,17644,,,
sequential,implementation,b80dd453f,0,4,6304070,6332428,16810,,,
sequential,implementation,b80dd453f,0,5,6302252,6422322,17010,,,
sequential,implementation,b80dd453f,0,6,6300304,6157364,16990,,,
sequential,implementation,b80dd453f,0,7,6678535,6646222,17385,,,
sequential,implementation,b80dd453f,0,8,6693583,6578853,17684,,,
sequential,implementation,b80dd453f,0,9,6399978,6516042,17364,,,
sequential,implementation,b80dd453f,0,10,6738766,6368842,17861,,,
sequential,implementation,b80dd453f,0,11,6575997,6759175,19355,,,
sequential,implementation,b80dd453f,0,12,6822731,6896750,19996,,,
sequential,implementation,b80dd453f,0,13,6495903,7523289,18743,,,
sequential,implementation,b80dd453f,0,14,6713822,6315146,17610,,,
sequential,implementation,b80dd453f,0,15,6440809,6123221,17878,,,
sequential,implementation,b80dd453f,0,16,6588424,6270967,17376,,,
sequential,implementation,b80dd453f,0,17,6391918,6210140,16787,,,
sequential,implementation,b80dd453f,0,18,6393273,6009897,18453,,,
sequential,implementation,b80dd453f,0,19,6417613,6044720,18307,,,
sync-cycle,baseline,3acc11385,0,0,,,,8610,227,6357
sync-cycle,baseline,3acc11385,0,1,,,,8484,230,5656
sync-cycle,baseline,3acc11385,0,2,,,,8449,198,5770
sync-cycle,baseline,3acc11385,0,3,,,,11000,230,6013
sync-cycle,baseline,3acc11385,0,4,,,,8618,226,5852
sync-cycle,baseline,3acc11385,0,5,,,,7886,221,5936
