commit,arch,backend,feature,workload,block_size,entries,batch_entries,warmups,runs,run,readdir_ns,returned_entries,calls
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,0,69438861,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,1,68595739,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,2,66826889,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,3,68715306,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,4,74392227,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,5,69924540,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,6,69121663,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,7,68644211,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,8,68109732,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,9,67847852,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,0,8377560,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,1,8346343,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,2,8404085,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,3,8412118,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,4,8393949,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,5,8328633,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,6,8285259,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,7,8370758,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,8,8364110,802,802
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,1,3,10,9,9328437,802,802
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,0,708136,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,1,700695,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,2,702752,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,3,697988,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,4,696383,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,5,727698,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,6,701628,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,7,698853,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,8,804165,802,7
6db697494,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,9,738784,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,0,184753,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,1,181481,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,2,183039,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,3,184405,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,4,184410,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,5,182773,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,6,182283,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,7,181589,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,8,239969,802,7
d5cacf015,x86_64,memory,metadata_csum+64bit+journal,htree-readdir,4096,800,128,3,10,9,195885,802,7
