workload,variant,commit,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,4d1f03698,0,6304592,5896281,15664,,,
sequential,baseline,4d1f03698,1,6302521,5913461,18349,,,
sequential,baseline,4d1f03698,2,6302242,6339664,24244,,,
sequential,baseline,4d1f03698,3,6293462,5959387,16728,,,
sequential,baseline,4d1f03698,4,6274765,5974452,16699,,,
sequential,baseline,4d1f03698,5,6281437,5927525,15765,,,
sequential,baseline,4d1f03698,6,6566608,7728161,46174,,,
sequential,baseline,4d1f03698,7,6287816,5879711,16852,,,
sequential,baseline,4d1f03698,8,6285708,5898900,16284,,,
sequential,baseline,4d1f03698,9,6282158,5916700,16190,,,
sequential,baseline,4d1f03698,10,7703955,10134515,26805,,,
sequential,baseline,4d1f03698,11,8218055,6574728,18950,,,
sequential,baseline,4d1f03698,12,6965606,8106962,22486,,,
sequential,baseline,4d1f03698,13,8293302,10996501,27378,,,
sequential,baseline,4d1f03698,14,7395017,7127447,20245,,,
sequential,baseline,4d1f03698,15,6302376,6811268,18713,,,
sequential,baseline,4d1f03698,16,6435021,7448717,19819,,,
sequential,baseline,4d1f03698,17,6431174,5916293,17158,,,
sequential,baseline,4d1f03698,18,6290180,5930473,17790,,,
sequential,baseline,4d1f03698,19,6309448,5931101,18672,,,
sequential,baseline,4d1f03698,20,6299025,5957194,17932,,,
sequential,baseline,4d1f03698,21,6296416,5899578,17812,,,
sequential,baseline,4d1f03698,22,6292487,5875043,17086,,,
sequential,baseline,4d1f03698,23,6386435,6081427,16504,,,
sequential,baseline,4d1f03698,24,6161691,6576454,18553,,,
sequential,baseline,4d1f03698,25,6236890,5975005,17395,,,
sequential,baseline,4d1f03698,26,6157432,5925788,16047,,,
sequential,baseline,4d1f03698,27,6309322,6170631,17070,,,
sequential,baseline,4d1f03698,28,6148502,5866531,16325,,,
sequential,baseline,4d1f03698,29,6204055,5977396,17897,,,
sequential,baseline,4d1f03698,30,6203760,5861951,17824,,,
sequential,baseline,4d1f03698,31,6240403,5893775,17230,,,
sequential,baseline,4d1f03698,32,6210016,5896028,17441,,,
sequential,baseline,4d1f03698,33,6232626,6134014,17569,,,
sequential,baseline,4d1f03698,34,6251987,5858308,17815,,,
sequential,baseline,4d1f03698,35,6208081,5874328,17105,,,
sequential,baseline,4d1f03698,36,6203898,5842060,17453,,,
sequential,baseline,4d1f03698,37,6243387,5987301,17075,,,
sequential,baseline,4d1f03698,38,6198586,5848129,17095,,,
sequential,baseline,4d1f03698,39,6211897,6086007,16579,,,
sequential,baseline,4d1f03698,40,6115919,5965462,16473,,,
sequential,baseline,4d1f03698,41,6705361,8059590,20455,,,
sequential,baseline,4d1f03698,42,6973759,7052109,19713,,,
sequential,baseline,4d1f03698,43,7059251,6861341,19008,,,
sequential,baseline,4d1f03698,44,6731325,6524498,17629,,,
sequential,baseline,4d1f03698,45,6302075,5968932,18305,,,
sequential,baseline,4d1f03698,46,6301508,5890180,17370,,,
sequential,baseline,4d1f03698,47,6295418,5919779,17740,,,
sequential,baseline,4d1f03698,48,6298383,5933440,17962,,,
sequential,baseline,4d1f03698,49,6290181,5937609,17219,,,
