commit,batch,position,run,dirty_sync_ns,clean_sync_ns,unmount_ns
a91e89cd8,0,0,0,19029,445,13133
a91e89cd8,0,0,1,14847,349,10540
a91e89cd8,0,0,2,13393,284,8591
a91e89cd8,0,0,3,10051,235,6416
a91e89cd8,0,0,4,13036,344,6311
a91e89cd8,0,0,5,10001,231,6301
a91e89cd8,0,0,6,8780,181,6313
a91e89cd8,0,0,7,8292,200,5622
a91e89cd8,0,0,8,8561,260,5728
a91e89cd8,0,0,9,10375,211,6622
a91e89cd8,0,0,10,9773,213,6281
a91e89cd8,0,0,11,8852,238,5930
a91e89cd8,0,0,12,9880,216,6639
a91e89cd8,0,0,13,9715,217,6581
a91e89cd8,0,0,14,8427,519,5438
a91e89cd8,0,0,15,9375,186,6489
a91e89cd8,0,0,16,8679,210,6086
a91e89cd8,0,0,17,9513,234,6682
a91e89cd8,0,0,18,9238,227,6442
a91e89cd8,0,0,19,9069,217,5964
aaf882ecf,0,1,0,8401,200,6014
aaf882ecf,0,1,1,8970,213,5977
aaf882ecf,0,1,2,9649,203,7058
aaf882ecf,0,1,3,9643,187,6394
aaf882ecf,0,1,4,9911,249,6574
aaf882ecf,0,1,5,12222,263,8068
aaf882ecf,0,1,6,9206,202,6805
aaf882ecf,0,1,7,12395,228,8621
aaf882ecf,0,1,8,11195,216,7381
aaf882ecf,0,1,9,11461,277,7851
aaf882ecf,0,1,10,12143,247,7303
aaf882ecf,0,1,11,12173,231,8038
aaf882ecf,0,1,12,12049,209,7975
aaf882ecf,0,1,13,11222,233,8047
aaf882ecf,0,1,14,10856,260,6858
aaf882ecf,0,1,15,8768,286,6072
aaf882ecf,0,1,16,8290,200,5568
aaf882ecf,0,1,17,9135,247,6396
aaf882ecf,0,1,18,8762,253,6297
aaf882ecf,0,1,19,9465,226,5824
aaf882ecf,1,0,0,10745,216,7422
aaf882ecf,1,0,1,9843,199,6990
aaf882ecf,1,0,2,11225,185,7385
aaf882ecf,1,0,3,12800,209,8089
aaf882ecf,1,0,4,9743,187,6475
aaf882ecf,1,0,5,12578,224,7152
aaf882ecf,1,0,6,12889,223,8223
aaf882ecf,1,0,7,11642,230,7782
aaf882ecf,1,0,8,12272,187,8596
aaf882ecf,1,0,9,11943,185,7144
aaf882ecf,1,0,10,14359,219,8146
aaf882ecf,1,0,11,10131,219,6899
aaf882ecf,1,0,12,9400,173,6778
aaf882ecf,1,0,13,8483,183,6068
