workload,variant,commit,batch,run,write_ns,read_ns,sync_ns,dirty_sync_ns,clean_sync_ns,unmount_ns
sequential,baseline,e5f6e295a,0,0,6524377,6468420,19200,,,
sequential,baseline,e5f6e295a,0,1,6304067,6436211,22544,,,
sequential,baseline,e5f6e295a,0,2,6291778,6718834,19024,,,
sequential,baseline,e5f6e295a,0,3,6292534,7820518,18738,,,
sequential,baseline,e5f6e295a,0,4,6345573,6862524,20261,,,
sequential,baseline,e5f6e295a,0,5,6334574,7061124,18364,,,
sequential,baseline,e5f6e295a,0,6,6294498,7266514,18604,,,
sequential,baseline,e5f6e295a,0,7,6369649,6324333,19324,,,
sequential,baseline,e5f6e295a,0,8,6358012,6263035,19592,,,
sequential,baseline,e5f6e295a,0,9,6364450,6132683,18960,,,
sequential,baseline,e5f6e295a,0,10,6297322,6409820,18248,,,
sequential,baseline,e5f6e295a,0,11,6605792,8027148,18659,,,
sequential,baseline,e5f6e295a,0,12,6963613,7950806,18643,,,
sequential,baseline,e5f6e295a,0,13,7030871,7248241,21159,,,
sequential,baseline,e5f6e295a,0,14,6716698,6411374,19145,,,
sequential,baseline,e5f6e295a,0,15,6328953,6241048,18536,,,
sequential,baseline,e5f6e295a,0,16,6298735,6677739,20467,,,
sequential,baseline,e5f6e295a,0,17,6292685,6699282,19650,,,
sequential,baseline,e5f6e295a,0,18,6294838,6266305,18902,,,
sequential,baseline,e5f6e295a,0,19,6283004,6076235,19293,,,
sequential,baseline,e5f6e295a,1,0,6938242,7269933,18334,,,
sequential,baseline,e5f6e295a,1,1,6712021,6352277,18237,,,
sequential,baseline,e5f6e295a,1,2,6315255,6361661,19559,,,
sequential,baseline,e5f6e295a,1,3,6337797,6073775,18196,,,
sequential,baseline,e5f6e295a,1,4,6323685,6146352,17995,,,
sequential,baseline,e5f6e295a,1,5,6519376,6063215,17990,,,
sequential,baseline,e5f6e295a,1,6,6351858,6461357,17773,,,
sequential,baseline,e5f6e295a,1,7,6329695,6097724,17194,,,
sequential,baseline,e5f6e295a,1,8,6306215,6062131,18328,,,
sequential,baseline,e5f6e295a,1,9,6317815,6123442,17410,,,
sequential,baseline,e5f6e295a,1,10,6306777,6576558,18232,,,
sequential,baseline,e5f6e295a,1,11,6322520,6113892,17621,,,
sequential,baseline,e5f6e295a,1,12,6262323,6006116,18610,,,
sequential,baseline,e5f6e295a,1,13,6432952,6022874,18425,,,
sequential,baseline,e5f6e295a,1,14,6262125,6116191,17310,,,
sequential,baseline,e5f6e295a,1,15,6348521,6048797,17416,,,
sequential,baseline,e5f6e295a,1,16,6307425,6121444,17739,,,
sequential,baseline,e5f6e295a,1,17,6269125,6821114,19778,,,
sequential,baseline,e5f6e295a,1,18,6403146,6898232,18207,,,
sequential,baseline,e5f6e295a,1,19,6279850,6468690,33685,,,
sequential,baseline,e5f6e295a,2,0,6998001,7449752,19576,,,
sequential,baseline,e5f6e295a,2,1,6708072,7775398,19251,,,
sequential,baseline,e5f6e295a,2,2,7009027,7255658,25269,,,
sequential,baseline,e5f6e295a,2,3,7208382,7110810,18519,,,
sequential,baseline,e5f6e295a,2,4,6939385,7436327,33879,,,
sequential,baseline,e5f6e295a,2,5,6674235,6463137,20673,,,
sequential,baseline,e5f6e295a,2,6,6201732,6210091,17894,,,
sequential,baseline,e5f6e295a,2,7,6297293,6087167,16715,,,
sequential,baseline,e5f6e295a,2,8,6405995,6441325,19737,,,
sequential,baseline,e5f6e295a,2,9,6305354,6063707,17667,,,
sequential,baseline,e5f6e295a,2,10,6390204,6160074,18346,,,
sequential,baseline,e5f6e295a,2,11,6296054,6069690,18014,,,
sequential,baseline,e5f6e295a,2,12,6194722,6284086,16810,,,
sequential,baseline,e5f6e295a,2,13,6323599,6087863,18022,,,
sequential,baseline,e5f6e295a,2,14,6411369,6985331,17984,,,
sequential,baseline,e5f6e295a,2,15,6457137,6450343,19090,,,
sequential,baseline,e5f6e295a,2,16,6533142,7009395,18523,,,
sequential,baseline,e5f6e295a,2,17,6315747,6984378,18897,,,
