sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10812016,27006864,27818880,812016
1,20198560,37006864,37205424,198560
2,30165552,47006864,47172416,165552
3,40275136,57006864,57282000,275136
4,50257968,67006864,67264832,257968
5,60148384,77006864,77155248,148384
6,70211920,87006864,87218784,211920
7,80272528,97006864,97279392,272528
8,90144432,107006864,107151296,144432
9,100267840,117006864,117274704,267840
10,110283360,127006864,127290224,283360
11,120285360,137006864,137292224,285360
12,130274160,147006864,147281024,274160
13,140223168,157006864,157230032,223168
14,150267968,167006864,167274832,267968
15,160193248,177006864,177200112,193248
16,170248832,187006864,187255696,248832
17,180126736,197006864,197133600,126736
18,190189104,207006864,207195968,189104
19,200269920,217006864,217276784,269920
20,210124928,227006864,227131792,124928
21,220208896,237006864,237215760,208896
22,230091552,247006864,247098416,91552
23,240170848,257006864,257177712,170848
24,250205216,267006864,267212080,205216
25,260144240,277006864,277151104,144240
26,270237120,287006864,287243984,237120
27,280124512,297006864,297131376,124512
28,290199680,307006864,307206544,199680
29,300155584,317006864,317162448,155584
30,310160064,327006864,327166928,160064
31,320240784,337006864,337247648,240784
32,330168464,347006864,347175328,168464
33,340231952,357006864,357238816,231952
34,350162624,367006864,367169488,162624
35,360306864,377006864,377313728,306864
36,370167472,387006864,387174336,167472
37,380256544,397006864,397263408,256544
38,390184832,407006864,407191696,184832
39,400137472,417006864,417144336,137472
40,410161424,427006864,427168288,161424
41,420080880,437006864,437087744,80880
42,430153200,447006864,447160064,153200
43,440272064,457006864,457278928,272064
44,450155920,467006864,467162784,155920
45,460285344,477006864,477292208,285344
46,470163920,487006864,487170784,163920
47,480261808,497006864,497268672,261808
48,490177440,507006864,507184304,177440
49,500112928,517006864,517119792,112928
50,510168448,527006864,527175312,168448
51,520285952,537006864,537292816,285952
52,530179488,547006864,547186352,179488
53,540263968,557006864,557270832,263968
54,550158464,567006864,567165328,158464
55,560217792,577006864,577224656,217792
56,570175904,587006864,587182768,175904
57,580183120,597006864,597189984,183120
58,590074848,607006864,607081712,74848
59,600152128,617006864,617158992,152128
60,610168832,627006864,627175696,168832
61,620285424,637006864,637292288,285424
62,630175680,647006864,647182544,175680
63,640278848,657006864,657285712,278848
64,650163120,667006864,667169984,163120
65,660152896,677006864,677159760,152896
66,670167120,687006864,687173984,167120
67,680257616,697006864,697264480,257616
68,690164304,707006864,707171168,164304
69,700254080,717006864,717260944,254080
70,710168128,727006864,727174992,168128
71,720286336,737006864,737293200,286336
72,730174512,747006864,747181376,174512
73,740257280,757006864,757264144,257280
74,750169984,767006864,767176848,169984
75,760190752,777006864,777197616,190752
76,770166816,787006864,787173680,166816
77,780213200,797006864,797220064,213200
78,790137392,807006864,807144256,137392
79,800218144,817006864,817225008,218144
80,810173904,827006864,827180768,173904
81,820301392,837006864,837308256,301392
82,830166128,847006864,847172992,166128
