*** Booting Zephyr OS build v3.7.0 ***
sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10836048,16006912,16842960,836048
1,20354112,26006912,26361024,354112
2,30506480,36006912,36513392,506480
3,40349072,46006912,46355984,349072
4,50436640,56006912,56443552,436640
5,60454592,66006912,66461504,454592
6,70310992,76006912,76317904,310992
7,80225968,86006912,86232880,225968
8,90337536,96006912,96344448,337536
9,100372256,106006912,106379168,372256
10,110458384,116006912,116465296,458384
11,120449216,126006912,126456128,449216
12,130317696,136006912,136324608,317696
13,140283840,146006912,146290752,283840
14,150409008,156006912,156415920,409008
15,160424832,166006912,166431744,424832
16,170518688,176006912,176525600,518688
17,180219216,186006912,186226128,219216
18,190084064,196006912,196090976,84064
19,200323712,206006912,206330624,323712
20,210550704,216006912,216557616,550704
21,220452784,226006912,226459696,452784
22,230496560,236006912,236503472,496560
23,240362320,246006912,246369232,362320
24,250481024,256006912,256487936,481024
25,260304384,266006912,266311296,304384
26,270171888,276006912,276178800,171888
27,280286160,286006912,286293072,286160
28,290242480,296006912,296249392,242480
29,300207200,306006912,306214112,207200
30,310462320,316006912,316469232,462320
31,320369888,326006912,326376800,369888
32,330461104,336006912,336468016,461104
33,340391488,346006912,346398400,391488
34,350326720,356006912,356333632,326720
35,360428000,366006912,366434912,428000
36,370492256,376006912,376499168,492256
37,380394336,386006912,386401248,394336
38,390325360,396006912,396332272,325360
39,400415680,406006912,406422592,415680
40,410499552,416006912,416506464,499552
41,420173200,426006912,426180112,173200
42,430451056,436006912,436457968,451056
43,440465232,446006912,446472144,465232
44,450429216,456006912,456436128,429216
45,460403440,466006912,466410352,403440
46,470436880,476006912,476443792,436880
47,480315952,486006912,486322864,315952
48,490192912,496006912,496199824,192912
49,500153264,506006912,506160176,153264
50,510380272,516006912,516387184,380272
51,520337296,526006912,526344208,337296
52,530399952,536006912,536406864,399952
53,540343040,546006912,546349952,343040
54,550183792,556006912,556190704,183792
55,560483024,566006912,566489936,483024
56,570445408,576006912,576452320,445408
57,580367360,586006912,586374272,367360
58,590400384,596006912,596407296,400384
59,600426768,606006912,606433680,426768
60,610305392,616006912,616312304,305392
61,620437792,626006912,626444704,437792
62,630428560,636006912,636435472,428560
63,640533440,646006912,646540352,533440
64,650242336,656006912,656249248,242336
65,660279072,666006912,666285984,279072
66,670383792,676006912,676390704,383792
67,680486992,686006912,686493904,486992
68,690443472,696006912,696450384,443472
69,700561120,706006912,706568032,561120
70,710452112,716006912,716459024,452112
71,720413536,726006912,726420448,413536
72,730453120,736006912,736460032,453120
73,740226160,746006912,746233072,226160
74,750367088,756006912,756374000,367088
75,760522496,766006912,766529408,522496
76,770558672,776006912,776565584,558672
77,780327664,786006912,786334576,327664
78,790261360,796006912,796268272,261360
79,800475024,806006912,806481936,475024
80,810541792,816006912,816548704,541792
