sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10932272,27010272,27942544,932272
1,20104688,37010272,37114960,104688
2,30164512,47010272,47174784,164512
3,40253360,57010272,57263632,253360
4,50222432,67010272,67232704,222432
5,60300688,77010272,77310960,300688
6,70236672,87010272,87246944,236672
7,80228368,97010272,97238640,228368
8,90161792,107010272,107172064,161792
9,100136368,117010272,117146640,136368
10,110161840,127010272,127172112,161840
11,120172560,137010272,137182832,172560
12,130198432,147010272,147208704,198432
13,140223696,157010272,157233968,223696
14,150061632,167010272,167071904,61632
15,160116464,177010272,177126736,116464
16,170173296,187010272,187183568,173296
17,180285024,197010272,197295296,285024
18,190223728,207010272,207234000,223728
19,200072480,217010272,217082752,72480
20,210125072,227010272,227135344,125072
21,220035008,237010272,237045280,35008
22,230195296,247010272,247205568,195296
23,240145408,257010272,257155680,145408
24,250222816,267010272,267233088,222816
25,260288784,277010272,277299056,288784
26,270170144,287010272,287180416,170144
27,280173952,297010272,297184224,173952
28,290120976,307010272,307131248,120976
29,300188336,317010272,317198608,188336
30,310179648,327010272,327189920,179648
31,320166640,337010272,337176912,166640
32,330216032,347010272,347226304,216032
33,340183776,357010272,357194048,183776
34,350285696,367010272,367295968,285696
35,360171008,377010272,377181280,171008
36,370242384,387010272,387252656,242384
37,380238224,397010272,397248496,238224
38,390124384,407010272,407134656,124384
39,400045728,417010272,417056000,45728
40,410136544,427010272,427146816,136544
41,420127120,437010272,437137392,127120
42,430142512,447010272,447152784,142512
43,440129648,457010272,457139920,129648
44,450129424,467010272,467139696,129424
45,460151984,477010272,477162256,151984
46,470129584,487010272,487139856,129584
47,480128720,497010272,497138992,128720
48,490132064,507010272,507142336,132064
49,500152432,517010272,517162704,152432
50,510126336,527010272,527136608,126336
51,520126640,537010272,537136912,126640
52,530146576,547010272,547156848,146576
53,540141984,557010272,557152256,141984
54,550129056,567010272,567139328,129056
55,560129104,577010272,577139376,129104
56,570133424,587010272,587143696,133424
57,580134608,597010272,597144880,134608
58,590142640,607010272,607152912,142640
59,600150960,617010272,617161232,150960
60,610137168,627010272,627147440,137168
61,620030384,637010272,637040656,30384
62,630143856,647010272,647154128,143856
63,640133568,657010272,657143840,133568
64,650121616,667010272,667131888,121616
65,660122032,677010272,677132304,122032
66,670137808,687010272,687148080,137808
67,680122592,697010272,697132864,122592
68,690121376,707010272,707131648,121376
69,700152112,717010272,717162384,152112
70,710131904,727010272,727142176,131904
71,720130896,737010272,737141168,130896
72,730126048,747010272,747136320,126048
73,740129248,757010272,757139520,129248
74,750120256,767010272,767130528,120256
75,760123488,777010272,777133760,123488
76,770178176,787010272,787188448,178176
77,780124528,797010272,797134800,124528
78,790118192,807010272,807128464,118192
79,800063568,817010272,817073840,63568
80,810135520,827010272,827145792,135520
81,820121520,837010272,837131792,121520
