sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10869792,28008768,28878560,869792
1,20130608,38008768,38139376,130608
2,30158224,48008768,48166992,158224
3,40258272,58008768,58267040,258272
4,50240896,68008768,68249664,240896
5,60231104,78008768,78239872,231104
6,70247472,88008768,88256240,247472
7,80241536,98008768,98250304,241536
8,90162928,108008768,108171696,162928
9,100163440,118008768,118172208,163440
10,110240192,128008768,128248960,240192
11,120167440,138008768,138176208,167440
12,130238496,148008768,148247264,238496
13,140197024,158008768,158205792,197024
14,150201024,168008768,168209792,201024
15,160169104,178008768,178177872,169104
16,170094288,188008768,188103056,94288
17,180208048,198008768,198216816,208048
18,190213488,208008768,208222256,213488
19,200216000,218008768,218224768,216000
20,210213232,228008768,228222000,213232
21,220088960,238008768,238097728,88960
22,230231168,248008768,248239936,231168
23,240074224,258008768,258082992,74224
24,250090320,268008768,268099088,90320
25,260098144,278008768,278106912,98144
26,270162480,288008768,288171248,162480
27,280295232,298008768,298304000,295232
28,290281504,308008768,308290272,281504
29,300147328,318008768,318156096,147328
30,310200160,328008768,328208928,200160
31,320271328,338008768,338280096,271328
32,330200048,348008768,348208816,200048
33,340308176,358008768,358316944,308176
34,350162992,368008768,368171760,162992
35,360183040,378008768,378191808,183040
36,370174864,388008768,388183632,174864
37,380261456,398008768,398270224,261456
38,390156512,408008768,408165280,156512
39,400285296,418008768,418294064,285296
40,410161760,428008768,428170528,161760
41,420266816,438008768,438275584,266816
42,430140816,448008768,448149584,140816
43,440177232,458008768,458186000,177232
44,450157440,468008768,468166208,157440
45,460215472,478008768,478224240,215472
46,470159472,488008768,488168240,159472
47,480273344,498008768,498282112,273344
48,490160320,508008768,508169088,160320
49,500287968,518008768,518296736,287968
50,510160880,528008768,528169648,160880
51,520260224,538008768,538268992,260224
52,530197152,548008768,548205920,197152
53,540264400,558008768,558273168,264400
54,550153104,568008768,568161872,153104
55,560257408,578008768,578266176,257408
56,570113952,588008768,588122720,113952
57,580218016,598008768,598226784,218016
58,590112288,608008768,608121056,112288
59,600217472,618008768,618226240,217472
60,610108400,628008768,628117168,108400
61,620210656,638008768,638219424,210656
62,630100656,648008768,648109424,100656
63,640208544,658008768,658217312,208544
64,650100384,668008768,668109152,100384
65,660163728,678008768,678172496,163728
66,670106752,688008768,688115520,106752
67,680213248,698008768,698222016,213248
68,690117376,708008768,708126144,117376
69,700207584,718008768,718216352,207584
70,710105008,728008768,728113776,105008
71,720209376,738008768,738218144,209376
72,730096560,748008768,748105328,96560
73,740204784,758008768,758213552,204784
74,750103696,768008768,768112464,103696
75,760129024,778008768,778137792,129024
76,770115328,788008768,788124096,115328
77,780208304,798008768,798217072,208304
78,790107696,808008768,808116464,107696
79,800213280,818008768,818222048,213280
80,810110160,828008768,828118928,110160
81,820211792,838008768,838220560,211792
82,830100912,848008768,848109680,100912
83,840207136,858008768,858215904,207136
84,850107840,868008768,868116608,107840
85,860148352,878008768,878157120,148352
86,870112080,888008768,888120848,112080
87,880216112,898008768,898224880,216112
88,890217120,908008768,908225888,217120
89,900228880,918008768,918237648,228880
90,910152576,928008768,928161344,152576
91,920249888,938008768,938258656,249888
92,930170384,948008768,948179152,170384
93,940241120,958008768,958249888,241120
94,950167456,968008768,968176224,167456
95,960166864,978008768,978175632,166864
96,970164160,988008768,988172928,164160
97,980242576,998008768,998251344,242576
98,990369440,1008008768,1008378208,369440
99,1000239520,1018008768,1018248288,239520
100,1010149360,1028008768,1028158128,149360
101,1020239856,1038008768,1038248624,239856
102,1030226128,1048008768,1048234896,226128
103,1040251664,1058008768,1058260432,251664
104,1050146576,1068008768,1068155344,146576
105,1060258656,1078008768,1078267424,258656
106,1070242880,1088008768,1088251648,242880
107,1080168096,1098008768,1098176864,168096
108,1090121104,1108008768,1108129872,121104
109,1100232576,1118008768,1118241344,232576
110,1110149024,1128008768,1128157792,149024
111,1120260432,1138008768,1138269200,260432
112,1130166512,1148008768,1148175280,166512
113,1140244192,1158008768,1158252960,244192
114,1150151104,1168008768,1168159872,151104
115,1160177968,1178008768,1178186736,177968
116,1170150160,1188008768,1188158928,150160
117,1180244352,1198008768,1198253120,244352
118,1190140912,1208008768,1208149680,140912
119,1200239232,1218008768,1218248000,239232
120,1210146032,1228008768,1228154800,146032
121,1220225424,1238008768,1238234192,225424
122,1230149392,1248008768,1248158160,149392
123,1240239952,1258008768,1258248720,239952
124,1250144000,1268008768,1268152768,144000
125,1260274224,1278008768,1278282992,274224
126,1270145824,1288008768,1288154592,145824
127,1280263296,1298008768,1298272064,263296
128,1290148944,1308008768,1308157712,148944
129,1300238272,1318008768,1318247040,238272
130,1310143888,1328008768,1328152656,143888
131,1320230912,1338008768,1338239680,230912
132,1330148320,1348008768,1348157088,148320
133,1340230336,1358008768,1358239104,230336
134,1350146768,1368008768,1368155536,146768
135,1360250544,1378008768,1378259312,250544
136,1370155728,1388008768,1388164496,155728
137,1380232656,1398008768,1398241424,232656
138,1390152832,1408008768,1408161600,152832
