sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10882480,21019008,21901488,882480
1,20300720,31019008,31319728,300720
2,30260432,41019008,41279440,260432
3,40356000,51019008,51375008,356000
4,50298032,61019008,61317040,298032
5,60417104,71019008,71436112,417104
6,70299136,81019008,81318144,299136
7,80455888,91019008,91474896,455888
8,90416512,101019008,101435520,416512
9,100229536,111019008,111248544,229536
10,110379872,121019008,121398880,379872
11,120410560,131019008,131429568,410560
12,130359008,141019008,141378016,359008
13,140289712,151019008,151308720,289712
14,150268608,161019008,161287616,268608
15,160362128,171019008,171381136,362128
16,170354256,181019008,181373264,354256
17,180406224,191019008,191425232,406224
18,190379072,201019008,201398080,379072
19,200322688,211019008,211341696,322688
20,210344288,221019008,221363296,344288
21,220255072,231019008,231274080,255072
22,230311952,241019008,241330960,311952
23,240274208,251019008,251293216,274208
24,250232736,261019008,261251744,232736
25,260451520,271019008,271470528,451520
26,270309296,281019008,281328304,309296
27,280403424,291019008,291422432,403424
28,290394096,301019008,301413104,394096
29,300287104,311019008,311306112,287104
30,310321360,321019008,321340368,321360
31,320371088,331019008,331390096,371088
32,330361952,341019008,341380960,361952
33,340283072,351019008,351302080,283072
34,350420112,361019008,361439120,420112
35,360473952,371019008,371492960,473952
36,370322608,381019008,381341616,322608
37,380099168,391019008,391118176,99168
38,390411344,401019008,401430352,411344
39,400213504,411019008,411232512,213504
40,410229744,421019008,421248752,229744
41,420606416,431019008,431625424,606416
42,430463600,441019008,441482608,463600
43,440240944,451019008,451259952,240944
44,450358336,461019008,461377344,358336
45,460497504,471019008,471516512,497504
46,470211856,481019008,481230864,211856
47,480254576,491019008,491273584,254576
48,490295504,501019008,501314512,295504
49,500240576,511019008,511259584,240576
50,510133968,521019008,521152976,133968
51,520544560,531019008,531563568,544560
52,530470192,541019008,541489200,470192
53,540253040,551019008,551272048,253040
54,550457184,561019008,561476192,457184
55,560495552,571019008,571514560,495552
56,570110000,581019008,581129008,110000
57,580269200,591019008,591288208,269200
58,590292912,601019008,601311920,292912
59,600214976,611019008,611233984,214976
60,610176144,621019008,621195152,176144
61,620286880,631019008,631305888,286880
62,630373008,641019008,641392016,373008
63,640186592,651019008,651205600,186592
64,650422288,661019008,661441296,422288
65,660297248,671019008,671316256,297248
66,670321040,681019008,681340048,321040
67,680287648,691019008,691306656,287648
68,690400496,701019008,701419504,400496
69,700348752,711019008,711367760,348752
70,710239728,721019008,721258736,239728
71,720394592,731019008,731413600,394592
72,730316256,741019008,741335264,316256
73,740299312,751019008,751318320,299312
74,750409808,761019008,761428816,409808
75,760432496,771019008,771451504,432496
76,770237312,781019008,781256320,237312
77,780298976,791019008,791317984,298976
78,790387232,801019008,801406240,387232
79,800173296,811019008,811192304,173296
80,810233744,821019008,821252752,233744
81,820449424,831019008,831468432,449424
82,830480112,841019008,841499120,480112
83,840260960,851019008,851279968,260960
84,850383856,861019008,861402864,383856
85,860429728,871019008,871448736,429728
86,870250496,881019008,881269504,250496
87,880318400,891019008,891337408,318400
88,890434640,901019008,901453648,434640
89,900226240,911019008,911245248,226240
90,910302080,921019008,921321088,302080
91,920490032,931019008,931509040,490032
92,930397664,941019008,941416672,397664
93,940223216,951019008,951242224,223216
94,950403648,961019008,961422656,403648
95,960418848,971019008,971437856,418848
96,970247808,981019008,981266816,247808
97,980295600,991019008,991314608,295600
98,990378480,1001019008,1001397488,378480
99,1000219120,1011019008,1011238128,219120
100,1010234304,1021019008,1021253312,234304
101,1020247696,1031019008,1031266704,247696
102,1030239680,1041019008,1041258688,239680
103,1040266720,1051019008,1051285728,266720
104,1050207008,1061019008,1061226016,207008
105,1060216320,1071019008,1071235328,216320
106,1070207776,1081019008,1081226784,207776
107,1080365936,1091019008,1091384944,365936
108,1090309616,1101019008,1101328624,309616
109,1100373248,1111019008,1111392256,373248
110,1110312720,1121019008,1121331728,312720
111,1120227136,1131019008,1131246144,227136
112,1130432864,1141019008,1141451872,432864
113,1140266432,1151019008,1151285440,266432
114,1150363488,1161019008,1161382496,363488
115,1160447472,1171019008,1171466480,447472
116,1170238736,1181019008,1181257744,238736
117,1180261696,1191019008,1191280704,261696
118,1190450096,1201019008,1201469104,450096
119,1200418624,1211019008,1211437632,418624
120,1210314016,1221019008,1221333024,314016
121,1220400944,1231019008,1231419952,400944
122,1230444752,1241019008,1241463760,444752
123,1240222560,1251019008,1251241568,222560
124,1250310464,1261019008,1261329472,310464
125,1260449760,1271019008,1271468768,449760
126,1270253856,1281019008,1281272864,253856
127,1280293760,1291019008,1291312768,293760
128,1290440176,1301019008,1301459184,440176
129,1300410048,1311019008,1311429056,410048
130,1310267904,1321019008,1321286912,267904
131,1320517120,1331019008,1331536128,517120
132,1330480288,1341019008,1341499296,480288
133,1340320528,1351019008,1351339536,320528
134,1350298464,1361019008,1361317472,298464
135,1360499632,1371019008,1371518640,499632
136,1370364032,1381019008,1381383040,364032
137,1380449936,1391019008,1391468944,449936
138,1390443152,1401019008,1401462160,443152
139,1400172192,1411019008,1411191200,172192
140,1410251488,1421019008,1421270496,251488
141,1420254864,1431019008,1431273872,254864
142,1430238144,1441019008,1441257152,238144
143,1440177760,1451019008,1451196768,177760
144,1450359792,1461019008,1461378800,359792
145,1460464384,1471019008,1471483392,464384
146,1470201232,1481019008,1481220240,201232
147,1480309936,1491019008,1491328944,309936
148,1490427152,1501019008,1501446160,427152
149,1500291872,1511019008,1511310880,291872
150,1510279792,1521019008,1521298800,279792
151,1520250416,1531019008,1531269424,250416
152,1530423312,1541019008,1541442320,423312
153,1540309584,1551019008,1551328592,309584
154,1550457456,1561019008,1561476464,457456
155,1560518144,1571019008,1571537152,518144
156,1570188208,1581019008,1581207216,188208
157,1580241824,1591019008,1591260832,241824
158,1590471168,1601019008,1601490176,471168
159,1600258832,1611019008,1611277840,258832
160,1610227312,1621019008,1621246320,227312
161,1620233680,1631019008,1631252688,233680
162,1630224816,1641019008,1641243824,224816
163,1640214544,1651019008,1651233552,214544
164,1650356832,1661019008,1661375840,356832
165,1660421104,1671019008,1671440112,421104
166,1670208576,1681019008,1681227584,208576
167,1680252064,1691019008,1691271072,252064
168,1690298720,1701019008,1701317728,298720
169,1700221712,1711019008,1711240720,221712
170,1710339840,1721019008,1721358848,339840
171,1720183584,1731019008,1731202592,183584
172,1730492304,1741019008,1741511312,492304
173,1740277952,1751019008,1751296960,277952
174,1750414464,1761019008,1761433472,414464
175,1760490768,1771019008,1771509776,490768
176,1770222416,1781019008,1781241424,222416
177,1780269440,1791019008,1791288448,269440
178,1790177296,1801019008,1801196304,177296
179,1800213696,1811019008,1811232704,213696
180,1810265328,1821019008,1821284336,265328
181,1820109392,1831019008,1831128400,109392
182,1830253536,1841019008,1841272544,253536
183,1840263088,1851019008,1851282096,263088
184,1850108448,1861019008,1861127456,108448
185,1860108192,1871019008,1871127200,108192
186,1870196800,1881019008,1881215808,196800
187,1880206304,1891019008,1891225312,206304
188,1890267136,1901019008,1901286144,267136
189,1900408640,1911019008,1911427648,408640
190,1910669648,1921019008,1921688656,669648
191,1920191936,1931019008,1931210944,191936
192,1930289296,1941019008,1941308304,289296
193,1940458336,1951019008,1951477344,458336
194,1950417152,1961019008,1961436160,417152
195,1960287968,1971019008,1971306976,287968
196,1970459024,1981019008,1981478032,459024
197,1980270272,1991019008,1991289280,270272
198,1990239584,2001019008,2001258592,239584
199,2000254528,2011019008,2011273536,254528
200,2010529104,2021019008,2021548112,529104
201,2020608464,2031019008,2031627472,608464
202,2030372832,2041019008,2041391840,372832
203,2040525120,2051019008,2051544128,525120
204,2050486672,2061019008,2061505680,486672
205,2060090768,2071019008,2071109776,90768
206,2070463360,2081019008,2081482368,463360
207,2080440928,2091019008,2091459936,440928
208,2090204352,2101019008,2101223360,204352
209,2100260320,2111019008,2111279328,260320
210,2110525728,2121019008,2121544736,525728
211,2120414688,2131019008,2131433696,414688
212,2130367680,2141019008,2141386688,367680
213,2140271392,2151019008,2151290400,271392
214,2150362256,2161019008,2161381264,362256
215,2160275152,2171019008,2171294160,275152
216,2170379968,2181019008,2181398976,379968
217,2180404640,2191019008,2191423648,404640
218,2190356416,2201019008,2201375424,356416
219,2200222800,2211019008,2211241808,222800
220,2210435024,2221019008,2221454032,435024
221,2220418352,2231019008,2231437360,418352
222,2230239552,2241019008,2241258560,239552
223,2240392240,2251019008,2251411248,392240
224,2250512864,2261019008,2261531872,512864
225,2260322544,2271019008,2271341552,322544
226,2270473216,2281019008,2281492224,473216
227,2280496048,2291019008,2291515056,496048
228,2290369808,2301019008,2301388816,369808
229,2300220608,2311019008,2311239616,220608
230,2310398480,2321019008,2321417488,398480
231,2320325648,2331019008,2331344656,325648
232,2330295312,2341019008,2341314320,295312
233,2340362576,2351019008,2351381584,362576
234,2350504384,2361019008,2361523392,504384
235,2360269280,2371019008,2371288288,269280
236,2370496832,2381019008,2381515840,496832
237,2380427280,2391019008,2391446288,427280
238,2390373696,2401019008,2401392704,373696
239,2400241232,2411019008,2411260240,241232
240,2410572704,2421019008,2421591712,572704
241,2420423120,2431019008,2431442128,423120
242,2430310320,2441019008,2441329328,310320
243,2440412928,2451019008,2451431936,412928
244,2450454288,2461019008,2461473296,454288
245,2460360752,2471019008,2471379760,360752
246,2470397872,2481019008,2481416880,397872
247,2480512000,2491019008,2491531008,512000
248,2490348176,2501019008,2501367184,348176
249,2500367776,2511019008,2511386784,367776
250,2510508096,2521019008,2521527104,508096
251,2520418192,2531019008,2531437200,418192
252,2530170352,2541019008,2541189360,170352
253,2540397968,2551019008,2551416976,397968
254,2550312208,2561019008,2561331216,312208
255,2560295424,2571019008,2571314432,295424
256,2570298672,2581019008,2581317680,298672
257,2580397616,2591019008,2591416624,397616
258,2590247056,2601019008,2601266064,247056
259,2600360544,2611019008,2611379552,360544
260,2610391344,2621019008,2621410352,391344
261,2620435600,2631019008,2631454608,435600
262,2630297936,2641019008,2641316944,297936
263,2640412496,2651019008,2651431504,412496
264,2650366912,2661019008,2661385920,366912
265,2660317152,2671019008,2671336160,317152
266,2670389408,2681019008,2681408416,389408
267,2680448256,2691019008,2691467264,448256
268,2690189600,2701019008,2701208608,189600
269,2700317232,2711019008,2711336240,317232
270,2710416416,2721019008,2721435424,416416
271,2720411680,2731019008,2731430688,411680
272,2730236800,2741019008,2741255808,236800
273,2740369504,2751019008,2751388512,369504
274,2750319936,2761019008,2761338944,319936
275,2760313008,2771019008,2771332016,313008
276,2770226880,2781019008,2781245888,226880
277,2780310624,2791019008,2791329632,310624
278,2790234496,2801019008,2801253504,234496
279,2800310576,2811019008,2811329584,310576
280,2810420288,2821019008,2821439296,420288
281,2820396768,2831019008,2831415776,396768
282,2830206320,2841019008,2841225328,206320
283,2840232320,2851019008,2851251328,232320
284,2850272528,2861019008,2861291536,272528
285,2860289920,2871019008,2871308928,289920
286,2870228672,2881019008,2881247680,228672
287,2880290176,2891019008,2891309184,290176
288,2890414848,2901019008,2901433856,414848
289,2900290560,2911019008,2911309568,290560
290,2910375744,2921019008,2921394752,375744
291,2920459376,2931019008,2931478384,459376
292,2930276336,2941019008,2941295344,276336
293,2940253680,2951019008,2951272688,253680
294,2950262288,2961019008,2961281296,262288
295,2960185232,2971019008,2971204240,185232
296,2970306016,2981019008,2981325024,306016
297,2980377488,2991019008,2991396496,377488
298,2990385088,3001019008,3001404096,385088
299,3000256048,3011019008,3011275056,256048
