sequence,timestamp_ns,deadline_ns,actual_ns,jitter_ns
0,10085680,27000816,27086496,85680
1,20062224,37000816,37063040,62224
2,30157520,47000816,47158336,157520
3,40171840,57000816,57172656,171840
4,50188608,67000816,67189424,188608
5,60140448,77000816,77141264,140448
6,70209872,87000816,87210688,209872
7,80224688,97000816,97225504,224688
8,90165552,107000816,107166368,165552
9,100260544,117000816,117261360,260544
10,110268800,127000816,127269616,268800
11,120082944,137000816,137083760,82944
12,130216608,147000816,147217424,216608
13,140185808,157000816,157186624,185808
14,150175776,167000816,167176592,175776
15,160175248,177000816,177176064,175248
16,170197264,187000816,187198080,197264
17,180158624,197000816,197159440,158624
18,190167584,207000816,207168400,167584
19,200241008,217000816,217241824,241008
20,210180416,227000816,227181232,180416
21,220179216,237000816,237180032,179216
22,230164944,247000816,247165760,164944
23,240216736,257000816,257217552,216736
24,250149008,267000816,267149824,149008
25,260174736,277000816,277175552,174736
26,270214528,287000816,287215344,214528
27,280155952,297000816,297156768,155952
28,290234832,307000816,307235648,234832
29,300088336,317000816,317089152,88336
30,310150720,327000816,327151536,150720
31,320088560,337000816,337089376,88560
32,330218528,347000816,347219344,218528
33,340199760,357000816,357200576,199760
34,350190576,367000816,367191392,190576
35,360251696,377000816,377252512,251696
36,370125984,387000816,387126800,125984
37,380056208,397000816,397057024,56208
38,390172976,407000816,407173792,172976
39,400179872,417000816,417180688,179872
40,410140896,427000816,427141712,140896
41,420167776,437000816,437168592,167776
42,430049696,447000816,447050512,49696
43,440159744,457000816,457160560,159744
44,450145104,467000816,467145920,145104
45,460221200,477000816,477222016,221200
46,470156576,487000816,487157392,156576
47,480177808,497000816,497178624,177808
48,490238048,507000816,507238864,238048
49,500072640,517000816,517073456,72640
50,510171840,527000816,527172656,171840
51,520090112,537000816,537090928,90112
52,530086752,547000816,547087568,86752
53,540049520,557000816,557050336,49520
54,550176864,567000816,567177680,176864
55,560237312,577000816,577238128,237312
56,570148768,587000816,587149584,148768
57,580200544,597000816,597201360,200544
58,590219776,607000816,607220592,219776
59,600145648,617000816,617146464,145648
60,610248528,627000816,627249344,248528
61,620233824,637000816,637234640,233824
62,630092704,647000816,647093520,92704
63,640141632,657000816,657142448,141632
64,650079200,667000816,667080016,79200
65,660161104,677000816,677161920,161104
66,670104032,687000816,687104848,104032
67,680225392,697000816,697226208,225392
68,690073680,707000816,707074496,73680
69,700061568,717000816,717062384,61568
70,710143712,727000816,727144528,143712
71,720199392,737000816,737200208,199392
72,730158208,747000816,747159024,158208
73,740210512,757000816,757211328,210512
74,750201136,767000816,767201952,201136
75,760155792,777000816,777156608,155792
76,770166160,787000816,787166976,166160
77,780229296,797000816,797230112,229296
78,790128256,807000816,807129072,128256
79,800243632,817000816,817244448,243632
80,810171904,827000816,827172720,171904
81,820159536,837000816,837160352,159536
82,830086144,847000816,847086960,86144
83,840221456,857000816,857222272,221456
84,850096560,867000816,867097376,96560
85,860050720,877000816,877051536,50720
86,870162848,887000816,887163664,162848
87,880191504,897000816,897192320,191504
88,890153088,907000816,907153904,153088
89,900081968,917000816,917082784,81968
90,910089744,927000816,927090560,89744
91,920149424,937000816,937150240,149424
92,930170112,947000816,947170928,170112
93,940079248,957000816,957080064,79248
94,950155616,967000816,967156432,155616
95,960120576,977000816,977121392,120576
96,970213904,987000816,987214720,213904
97,980055968,997000816,997056784,55968
98,990181104,1007000816,1007181920,181104
99,1000232768,1017000816,1017233584,232768
100,1010141136,1027000816,1027141952,141136
101,1020149632,1037000816,1037150448,149632
102,1030153232,1047000816,1047154048,153232
103,1040231104,1057000816,1057231920,231104
104,1050136208,1067000816,1067137024,136208
105,1060211136,1077000816,1077211952,211136
106,1070169600,1087000816,1087170416,169600
107,1080155104,1097000816,1097155920,155104
108,1090053696,1107000816,1107054512,53696
109,1100201648,1117000816,1117202464,201648
110,1110121120,1127000816,1127121936,121120
111,1120142208,1137000816,1137143024,142208
112,1130207632,1147000816,1147208448,207632
113,1140072512,1157000816,1157073328,72512
114,1150055856,1167000816,1167056672,55856
115,1160222928,1177000816,1177223744,222928
116,1170194528,1187000816,1187195344,194528
117,1180147328,1197000816,1197148144,147328
118,1190201184,1207000816,1207202000,201184
119,1200280208,1217000816,1217281024,280208
120,1210080416,1227000816,1227081232,80416
121,1220166768,1237000816,1237167584,166768
122,1230183824,1247000816,1247184640,183824
123,1240097968,1257000816,1257098784,97968
124,1250201376,1267000816,1267202192,201376
125,1260214160,1277000816,1277214976,214160
126,1270159520,1287000816,1287160336,159520
127,1280215696,1297000816,1297216512,215696
128,1290215536,1307000816,1307216352,215536
129,1300171296,1317000816,1317172112,171296
130,1310165840,1327000816,1327166656,165840
131,1320221472,1337000816,1337222288,221472
132,1330183456,1347000816,1347184272,183456
133,1340153600,1357000816,1357154416,153600
134,1350210976,1367000816,1367211792,210976
135,1360239040,1377000816,1377239856,239040
136,1370138144,1387000816,1387138960,138144
137,1380149488,1397000816,1397150304,149488
138,1390191568,1407000816,1407192384,191568
139,1400167152,1417000816,1417167968,167152
140,1410062080,1427000816,1427062896,62080
141,1420212544,1437000816,1437213360,212544
142,1430142288,1447000816,1447143104,142288
143,1440237136,1457000816,1457237952,237136
144,1450345600,1467000816,1467346416,345600
145,1460116336,1477000816,1477117152,116336
146,1470078384,1487000816,1487079200,78384
147,1480171776,1497000816,1497172592,171776
148,1490092096,1507000816,1507092912,92096
149,1500069136,1517000816,1517069952,69136
150,1510180832,1527000816,1527181648,180832
151,1520202880,1537000816,1537203696,202880
152,1530185504,1547000816,1547186320,185504
153,1540184592,1557000816,1557185408,184592
154,1550292576,1567000816,1567293392,292576
155,1560167264,1577000816,1577168080,167264
156,1570204000,1587000816,1587204816,204000
157,1580208432,1597000816,1597209248,208432
158,1590051760,1607000816,1607052576,51760
159,1600072432,1617000816,1617073248,72432
160,1610258032,1627000816,1627258848,258032
161,1620168992,1637000816,1637169808,168992
162,1630155392,1647000816,1647156208,155392
163,1640201744,1657000816,1657202560,201744
164,1650082640,1667000816,1667083456,82640
165,1660179312,1677000816,1677180128,179312
166,1670150592,1687000816,1687151408,150592
167,1680065296,1697000816,1697066112,65296
168,1690208304,1707000816,1707209120,208304
169,1700161456,1717000816,1717162272,161456
170,1710218112,1727000816,1727218928,218112
171,1720155456,1737000816,1737156272,155456
172,1730215616,1747000816,1747216432,215616
173,1740238880,1757000816,1757239696,238880
174,1750060560,1767000816,1767061376,60560
175,1760224352,1777000816,1777225168,224352
176,1770246320,1787000816,1787247136,246320
177,1780135856,1797000816,1797136672,135856
178,1790221408,1807000816,1807222224,221408
179,1800243344,1817000816,1817244160,243344
180,1810142592,1827000816,1827143408,142592
181,1820084784,1837000816,1837085600,84784
182,1830197056,1847000816,1847197872,197056
183,1840164256,1857000816,1857165072,164256
184,1850206816,1867000816,1867207632,206816
185,1860167088,1877000816,1877167904,167088
186,1870084016,1887000816,1887084832,84016
187,1880160688,1897000816,1897161504,160688
188,1890222208,1907000816,1907223024,222208
189,1900247952,1917000816,1917248768,247952
190,1910133504,1927000816,1927134320,133504
191,1920223280,1937000816,1937224096,223280
192,1930241680,1947000816,1947242496,241680
193,1940206192,1957000816,1957207008,206192
194,1950201904,1967000816,1967202720,201904
195,1960227312,1977000816,1977228128,227312
196,1970092896,1987000816,1987093712,92896
197,1980164128,1997000816,1997164944,164128
198,1990231120,2007000816,2007231936,231120
199,2000088944,2017000816,2017089760,88944
200,2010059968,2027000816,2027060784,59968
201,2020161856,2037000816,2037162672,161856
202,2030076560,2047000816,2047077376,76560
203,2040146896,2057000816,2057147712,146896
204,2050262416,2067000816,2067263232,262416
205,2060078080,2077000816,2077078896,78080
206,2070150208,2087000816,2087151024,150208
207,2080217936,2097000816,2097218752,217936
208,2090222528,2107000816,2107223344,222528
209,2100207792,2117000816,2117208608,207792
210,2110214432,2127000816,2127215248,214432
211,2120227344,2137000816,2137228160,227344
212,2130159184,2147000816,2147160000,159184
213,2140166192,2157000816,2157167008,166192
214,2150261232,2167000816,2167262048,261232
215,2160074608,2177000816,2177075424,74608
216,2170176976,2187000816,2187177792,176976
217,2180239216,2197000816,2197240032,239216
218,2190101232,2207000816,2207102048,101232
219,2200136928,2217000816,2217137744,136928
220,2210238656,2227000816,2227239472,238656
221,2220091952,2237000816,2237092768,91952
222,2230163312,2247000816,2247164128,163312
223,2240199200,2257000816,2257200016,199200
224,2250079088,2267000816,2267079904,79088
225,2260162144,2277000816,2277162960,162144
226,2270078400,2287000816,2287079216,78400
227,2280095344,2297000816,2297096160,95344
228,2290155808,2307000816,2307156624,155808
229,2300224560,2317000816,2317225376,224560
230,2310218320,2327000816,2327219136,218320
231,2320161376,2337000816,2337162192,161376
232,2330208672,2347000816,2347209488,208672
233,2340210352,2357000816,2357211168,210352
234,2350152112,2367000816,2367152928,152112
235,2360157680,2377000816,2377158496,157680
236,2370216512,2387000816,2387217328,216512
237,2380175328,2397000816,2397176144,175328
238,2390160864,2407000816,2407161680,160864
239,2400209712,2417000816,2417210528,209712
240,2410234304,2427000816,2427235120,234304
241,2420149440,2437000816,2437150256,149440
242,2430208352,2447000816,2447209168,208352
243,2440181936,2457000816,2457182752,181936
244,2450169824,2467000816,2467170640,169824
245,2460168272,2477000816,2477169088,168272
246,2470220480,2487000816,2487221296,220480
247,2480085728,2497000816,2497086544,85728
248,2490162768,2507000816,2507163584,162768
249,2500209840,2517000816,2517210656,209840
250,2510193536,2527000816,2527194352,193536
251,2520170816,2537000816,2537171632,170816
252,2530215536,2547000816,2547216352,215536
253,2540172528,2557000816,2557173344,172528
254,2550179536,2567000816,2567180352,179536
255,2560296544,2577000816,2577297360,296544
256,2570253888,2587000816,2587254704,253888
257,2580055920,2597000816,2597056736,55920
258,2590230192,2607000816,2607231008,230192
259,2600232592,2617000816,2617233408,232592
260,2610056512,2627000816,2627057328,56512
261,2620208176,2637000816,2637208992,208176
262,2630175360,2647000816,2647176176,175360
263,2640078720,2657000816,2657079536,78720
264,2650191568,2667000816,2667192384,191568
265,2660212336,2677000816,2677213152,212336
266,2670154432,2687000816,2687155248,154432
267,2680159824,2697000816,2697160640,159824
268,2690241296,2707000816,2707242112,241296
269,2700182432,2717000816,2717183248,182432
270,2710170016,2727000816,2727170832,170016
271,2720172304,2737000816,2737173120,172304
272,2730081680,2747000816,2747082496,81680
273,2740166016,2757000816,2757166832,166016
274,2750079344,2767000816,2767080160,79344
275,2760059712,2777000816,2777060528,59712
276,2770083552,2787000816,2787084368,83552
277,2780226704,2797000816,2797227520,226704
278,2790301008,2807000816,2807301824,301008
279,2800211648,2817000816,2817212464,211648
280,2810132864,2827000816,2827133680,132864
281,2820268880,2837000816,2837269696,268880
282,2830088160,2847000816,2847088976,88160
283,2840241248,2857000816,2857242064,241248
284,2850263744,2867000816,2867264560,263744
285,2860178032,2877000816,2877178848,178032
286,2870245104,2887000816,2887245920,245104
287,2880255760,2897000816,2897256576,255760
288,2890080624,2907000816,2907081440,80624
289,2900195408,2917000816,2917196224,195408
290,2910268256,2927000816,2927269072,268256
291,2920076064,2937000816,2937076880,76064
292,2930157776,2947000816,2947158592,157776
293,2940191280,2957000816,2957192096,191280
294,2950153136,2967000816,2967153952,153136
295,2960055568,2977000816,2977056384,55568
296,2970270240,2987000816,2987271056,270240
297,2980098080,2997000816,2997098896,98080
298,2990096000,3007000816,3007096816,96000
299,3000247600,3017000816,3017248416,247600
