sample,elapsed_ms,target,state_before,control_value,state_after,rtt_ms,model_output,infer_us,mode
1,1005,500,300,400,310,871,400.0,5,yolo
2,1174,419,310,218,252,169,218.0,122,yolo
3,1284,519,252,534,328,110,534.0,2,yolo
4,1390,519,328,382,319,106,382.0,0,yolo
5,1502,419,319,200,251,112,200.0,2,yolo
6,1621,519,251,536,328,119,536.0,2,yolo
7,1730,519,328,382,319,109,382.0,0,yolo
8,1838,419,319,200,251,108,200.0,2,yolo
9,1937,519,251,536,328,99,536.0,2,yolo
10,2059,519,328,382,319,122,382.0,1,yolo
11,2178,419,319,200,401,119,200.0,2,yolo
12,2290,519,401,236,460,112,236.0,3,yolo
13,2638,519,460,118,451,348,118.0,1,yolo
14,2760,419,451,0,405,122,0.0,2,yolo
15,3122,519,405,228,460,362,228.0,2,yolo
16,3232,519,460,118,451,110,118.0,1,yolo
17,3353,419,451,0,405,121,0.0,3,yolo
18,3704,519,405,228,460,351,228.0,2,yolo
19,3816,519,460,118,451,112,118.0,1,yolo
20,3954,419,451,0,405,138,0.0,2,yolo
21,4306,519,405,228,460,352,228.0,3,yolo
22,4427,519,460,118,451,121,118.0,1,yolo
23,4542,419,451,0,405,115,0.0,2,yolo
24,4892,519,405,228,460,350,228.0,3,yolo
25,5013,519,460,118,451,121,118.0,1,yolo
26,5374,419,451,0,405,361,0.0,2,yolo
27,5503,519,405,228,460,129,228.0,3,yolo
28,5614,519,460,118,451,111,118.0,0,yolo
29,5968,419,451,0,405,354,0.0,2,yolo
30,6086,519,405,228,460,118,228.0,3,yolo
31,6204,519,460,118,451,118,118.0,1,yolo
32,6539,419,451,0,405,335,0.0,3,yolo
33,6654,519,405,228,460,115,228.0,2,yolo
34,7017,519,460,118,451,363,118.0,0,yolo
35,7140,419,451,0,405,123,0.0,2,yolo
36,7251,519,405,228,460,111,228.0,3,yolo
37,7612,519,460,118,451,361,118.0,0,yolo
38,7723,419,451,0,405,111,0.0,2,yolo
39,7837,519,405,228,460,114,228.0,2,yolo
40,8178,519,460,118,451,341,118.0,1,yolo
41,8290,419,451,0,405,112,0.0,2,yolo
42,8415,519,405,228,460,125,228.0,2,yolo
43,8750,519,460,118,451,335,118.0,0,yolo
44,8861,419,451,0,405,111,0.0,3,yolo
45,9244,519,405,228,460,383,228.0,2,yolo
46,9353,519,460,118,451,109,118.0,1,yolo
47,9463,419,451,0,405,110,0.0,2,yolo
48,9827,519,405,228,460,364,228.0,10,yolo
49,9946,519,460,118,451,119,118.0,0,yolo
50,10056,419,451,0,405,110,0.0,3,yolo
51,10398,519,405,228,460,342,228.0,3,yolo
52,10515,519,460,118,451,117,118.0,0,yolo
53,10637,419,451,0,405,122,0.0,2,yolo
54,10951,519,405,228,460,314,228.0,2,yolo
55,11063,519,460,118,451,112,118.0,0,yolo
56,11188,419,451,0,255,125,0.0,3,yolo
57,11525,519,255,528,328,337,528.0,2,yolo
58,11636,519,328,382,319,111,382.0,1,yolo
59,11747,419,319,200,251,111,200.0,2,yolo
60,12097,519,251,536,328,350,536.0,3,yolo
61,12221,519,328,382,319,124,382.0,3,yolo
62,12606,419,319,200,251,385,200.0,2,yolo
63,12730,519,251,536,328,124,536.0,2,yolo
64,12840,519,328,382,319,110,382.0,1,yolo
65,13177,419,319,200,251,337,200.0,3,yolo
